Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 
"64/4" 15079 5985 24105 29130 29357 
"64/8" 49961 50346 41885 48781 33698 
"64/16" 75111 74590 37164 32921 69492 
"64/32" 103053 105941 98298 94559 104254 
"64/64" 161241 132770 134702 157273 137602 
"128/4" 28307 28057 30447 23507 10291 
"128/8" 46310 46394 50634 48762 55577 
"128/16" 88580 87784 89258 80360 78377 
"128/32" 127226 106042 117097 124743 129685 
"128/64" 157080 154414 170391 162451 11800 
"128/128" 184694 192164 151111 201542 187402 
"256/4" 31193 30036 14632 26426 14484 
"256/8" 41531 42709 53367 46250 50335 
"256/16" 82896 93769 90904 67084 75632 
"256/32" 120810 127814 118412 133619 143821 
"256/64" 141359 149968 175798 28542 144947 
"256/128" 196483 183803 204179 187953 202676 
"256/256" 345498 305404 254513 345054 237458 
"512/4" 14668 14418 14508 14706 19178 
"512/8" 26183 27082 33952 29936 58374 
"512/16" 86897 86411 91742 90075 96495 
"512/32" 122869 138076 136749 136462 129033 
"512/64" 68047 166448 167212 166875 188230 
"512/128" 206294 213875 190197 201342 54225 
"512/256" 307318 312188 205288 239145 251349 
"512/512" 361845 339051 455960 384384 376500 
"1024/4" 26169 21672 13320 15071 20696 
"1024/8" 35577 17751 29354 28034 25951 
"1024/16" 103123 102186 96231 64427 54185 
"1024/32" 153403 147361 139208 140446 132112 
"1024/64" 176552 190829 195600 182890 177560 
"1024/128" 212929 228118 226805 216711 204348 
"1024/256" 293757 285156 178031 294765 121142 
"1024/512" 356286 366909 482591 352369 404239 
"1024/1024" 431143 492270 610617 485756 630148 
"2048/4" 20808 12597 18846 15078 14489 
"2048/8" 32072 33804 29021 35603 34197 
"2048/16" 98343 75313 89871 74065 65024 
"2048/32" 142797 102077 103848 128781 86223 
"2048/64" 191062 191223 186653 191599 188927 
"2048/128" 229237 229341 181979 225328 213622 
"2048/256" 189594 318844 270150 326802 273976 
"2048/512" 199400 369414 203298 382083 220402 
"2048/1024" 572402 566065 573664 599905 555630 
"2048/2048" 716137 234564 906607 906607 913453 
"4096/4" 18347 24446 15975 23102 20688 
"4096/8" 32806 30510 29384 28835 30299 
"4096/16" 51053 68126 63340 60188 57841 
"4096/32" 146815 149145 147449 143613 147084 
"4096/64" 166117 198036 164511 185196 139996 
"4096/128" 163696 208532 225029 160112 218743 
"4096/256" 193445 309832 274365 325988 174349 
"4096/512" 371586 374502 442725 320676 423318 
"4096/1024" 514971 525124 575678 543824 535134 
"4096/2048" 769334 703521 856731 808852 881796 
"4096/4096" 776919 777974 363673 881253 920047 
"8192/4" 15556 22623 14866 13316 17296 
"8192/8" 21566 27183 30896 22175 24680 
"8192/16" 36701 56907 45409 47230 40894 
"8192/32" 58232 75851 83149 103429 107705 
"8192/64" 199396 200470 163849 198589 188664 
"8192/128" 242108 241275 244706 241866 254434 
"8192/256" 334737 264582 242016 263077 280682 
"8192/512" 352893 331674 462951 328324 471295 
"8192/1024" 537359 557581 535533 548511 600360 
"8192/2048" 755793 770504 764181 827391 526442 
"8192/4096" 871128 860137 729602 899332 541475 
"8192/8192" 748271 880391 746953 902095 727008 
"16384/4" 8337 10677 11168 11086 10185 
"16384/8" 19320 16841 20568 14814 18708 
"16384/16" 28136 30164 31499 36354 26376 
"16384/32" 64678 53195 51568 57693 56405 
"16384/64" 122192 121786 114404 125741 92877 
"16384/128" 245064 239911 243577 244668 248819 
"16384/256" 337563 333069 278990 341781 281076 
"16384/512" 382840 387860 473869 385169 486073 
"16384/1024" 558973 572610 559984 565472 576047 
"16384/2048" 773521 652880 825718 633640 623652 
"16384/4096" 628920 787085 659370 827678 813866 
"16384/8192" 977798 775756 811972 789245 885425 
"16384/16384" 972237 728788 881100 592466 996168 
"32768/64" 84818 86485 92526 83159 79431 
"32768/128" 174091 161118 148569 148835 160894 
"32768/256" 333411 333238 264145 334893 255630 
"32768/512" 385224 388633 478713 383546 467006 
"32768/1024" 553484 553982 558010 556379 589722 
"32768/2048" 773651 814232 834785 812436 817827 
"32768/4096" 854779 846784 856499 858114 857263 
"32768/8192" 982079 817831 871882 875397 872529 
"32768/16384" 914030 988358 996109 997533 1021191 
"65536/64" 74177 68618 72256 72281 81122 
"65536/128" 109090 126817 125423 128833 130387 
"65536/256" 169348 194515 182033 169410 224358 
"65536/512" 256897 260759 304882 289414 283903 
"65536/1024" 415236 444031 430048 426092 432620 
"65536/2048" 792569 769175 834068 806784 812124 
"65536/4096" 857868 794027 840775 990134 859431 
"65536/8192" 983537 869039 872022 869545 958983 
"65536/16384" 1011499 986024 997916 1001067 1001009 
"131072/64" 74171 77587 89642 74216 80324 
"131072/128" 107355 112211 107804 112206 107789 
"131072/256" 161589 157604 149256 149518 164644 
"131072/512" 214954 220480 215176 230373 206055 
"131072/1024" 341387 336062 321581 335993 316194 
"131072/2048" 539543 509238 521565 501791 493975 
"131072/4096" 628100 602838 631651 597550 585890 
"131072/8192" 743692 699035 693187 692593 730479 
"131072/16384" 897200 812059 603207 899960 871408 
"262144/64" 75498 74577 76834 77199 75870 
"262144/128" 106845 110814 116449 104048 113369 
"262144/256" 150319 151719 154283 145602 137597 
"262144/512" 196848 155839 204340 172446 185283 
"262144/1024" 280560 233970 271313 240774 282433 
"262144/2048" 390047 357737 353050 367347 462242 
"262144/4096" 562625 496617 507812 482276 518776 
"262144/8192" 700989 623442 588924 569338 612268 
"262144/16384" 809164 855762 864357 866692 859280 
"524288/64" 73263 74439 77221 78800 75154 
"524288/128" 109261 111395 109458 108690 106134 
"524288/256" 140816 141784 142746 144440 141125 
"524288/512" 170749 168948 194217 177690 202430 
"524288/1024" 248580 239476 265225 244257 263136 
"524288/2048" 363551 379771 362775 379656 367330 
"524288/4096" 510820 491089 466905 495354 488845 
"524288/8192" 637761 583352 632517 587271 593222 
"524288/16384" 802468 810468 800735 834295 780944 
