Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 
"64/4" 4018152 3958892 6271021 2689580 5735102 
"64/8" 3958892 3738358 7940539 4018152 4564786 
"64/16" 3738358 4564786 4274062 3363612 3363612 
"64/32" 4564786 4274062 2892445 4564786 4897948 
"64/64" 5735102 4564786 4564786 4564786 4274062 
"128/4" 2843510 3657016 3297617 3359523 3657016 
"128/8" 3657016 4104338 4267461 5784891 4407601 
"128/16" 6114306 4135958 4407601 5784891 6406138 
"128/32" 4934216 5325799 7082197 5122535 6114306 
"128/64" 7176872 5379161 6727225 7082197 4557257 
"128/128" 4444086 4889281 6114306 5545860 4557257 
"256/4" 3009318 4907284 3511189 5569035 3197509 
"256/8" 3879045 4350555 4496299 4755158 4477549 
"256/16" 4840911 5142301 5022044 5217259 4998665 
"256/32" 4572895 5320671 6891544 4422226 4929815 
"256/64" 5347168 5971678 7735574 5841722 8024634 
"256/128" 4929815 8534922 5217259 8024634 5217259 
"256/256" 4907284 6073004 5938650 6073004 5971678 
"512/4" 3122224 3762197 5331314 4871723 3678421 
"512/8" 6909408 7758090 5624545 7211022 7435738 
"512/16" 5551840 5398323 5398323 6931711 5227492 
"512/32" 7758090 6395018 6395018 4961773 5684095 
"512/64" 5624545 8528336 6571132 5624545 7758090 
"512/128" 5744919 9681823 6319739 6551087 5807059 
"512/256" 5699180 8665997 7540170 6018636 5684095 
"512/512" 7758090 9859630 7758090 5453155 8394979 
"1024/4" 5821271 6172653 5885083 5720477 3984917 
"1024/8" 4550690 8183918 7160597 5251818 7420395 
"1024/16" 5623115 9064828 8061038 8391792 8199542 
"1024/32" 7537599 9064828 5813392 5720477 6208343 
"1024/64" 7590887 10039528 6609617 6519323 8680108 
"1024/128" 6280976 9765601 6479979 8326715 8895850 
"1024/256" 8457895 9320560 10039528 8750850 6819511 
"1024/512" 8391792 6874084 6364746 6692005 6208343 
"1024/1024" 7941793 6479979 6163794 6787181 6059442 
"2048/4" 5689430 6359119 5785224 5750369 6243566 
"2048/8" 7616502 4971585 7237860 6696208 6780783 
"2048/16" 8531869 8221561 8128206 8643474 5953632 
"2048/32" 8866519 6563185 9389900 6851089 8059569 
"2048/64" 8643474 6780783 6670210 6608629 9752360 
"2048/128" 9179186 6851089 9990553 7207495 6603549 
"2048/256" 6498636 9664580 9898453 9101380 9708272 
"2048/512" 6171791 9567698 8987113 6873016 8903279 
"2048/1024" 6523312 9359208 6829301 6759439 9483197 
"2048/2048" 6543188 6114678 6895083 9179186 8036946 
"4096/4" 4352854 6522830 5225329 4275933 4208889 
"4096/8" 7742845 5490871 5476867 7939654 5396016 
"4096/16" 7599002 8292220 6281934 8865630 8811067 
"4096/32" 6068897 9614850 9023961 6919538 9593374 
"4096/64" 8847367 6585338 6883496 8224733 9183139 
"4096/128" 9394037 7173805 9332798 7061751 6989921 
"4096/256" 6941906 6967243 7038605 7364466 9701724 
"4096/512" 9773474 6930704 9891647 9920205 9482180 
"4096/1024" 9707206 7405736 6861502 9868918 9105266 
"4096/2048" 7447471 9868918 6975730 6828774 6758923 
"4096/4096" 8842813 7027089 8447153 8501494 8620945 
"8192/4" 4343393 4620228 4264155 5919188 4354953 
"8192/8" 7823601 7692239 8159896 6522590 6895660 
"8192/16" 9102385 8152152 9131414 6359610 7719891 
"8192/32" 6725591 9296954 9192489 9954134 6590145 
"8192/64" 10463389 9266865 8350269 9471217 7328036 
"8192/128" 7591960 6522590 7134785 7173514 7142200 
"8192/256" 6854392 7523801 7111158 9660279 10343693 
"8192/512" 7550253 7255309 10501766 7218727 9536939 
"8192/1024" 7136266 8885819 9695717 10343693 10315743 
"8192/2048" 9798016 6486879 9558162 9362822 10190307 
"8192/4096" 8419841 7891886 6239504 8376734 6177802 
"8192/8192" 5748846 5748846 6059057 6692839 5588034 
"16384/4" 4899502 4292336 6077171 5983512 5323045 
"16384/8" 7783552 5630526 4658693 7677462 6697931 
"16384/16" 9309304 9324462 8445510 6150051 6056817 
"16384/32" 6759200 9230526 9224331 9880862 9900792 
"16384/64" 7089740 9620796 8622478 7320858 9389438 
"16384/128" 10764656 9729770 7204956 9828573 9599293 
"16384/256" 9893665 10700958 8866107 10482232 10474243 
