Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 
"64/4" 3541098 3791156 4897948 5389653 3057153 
"64/8" 3541098 2892445 6421025 3541098 4207076 
"64/16" 3203069 6421025 3057153 3541098 2662899 
"64/32" 4897948 4564786 2298136 3203069 2561267 
"64/64" 3588436 3738358 3203069 4897948 2662899 
"128/4" 2727923 5122535 2673584 2905056 3053774 
"128/8" 2784517 3560017 5122535 4759253 3759450 
"128/16" 2985839 4889281 3657016 2985839 3759450 
"128/32" 5847904 4267461 3895854 4135958 4012317 
"128/64" 3867787 3124872 3759450 3759450 3657016 
"128/128" 5325799 4135958 4012317 3199360 4135958 
"256/4" 3410808 5455847 3557725 3368013 5117791 
"256/8" 3605511 4264168 5117791 3410808 3245838 
"256/16" 3810220 3499745 3368013 4819184 3410808 
"256/32" 3879045 4264168 3499745 4070199 3545976 
"256/64" 5347168 4264168 4070199 5938650 5687020 
"256/128" 3454704 4264168 5022044 4819184 5810112 
"256/256" 3605511 3654598 4070199 6107548 3705040 
"512/4" 4195896 6395018 5384786 5566231 3710197 
"512/8" 5968453 6843354 5951911 3580298 4973263 
"512/16" 5624545 5177083 3815675 4494470 5886650 
"512/32" 4000485 6338392 4000485 6414119 3913012 
"512/64" 3710197 6246213 4262523 6174377 3905895 
"512/128" 4061007 3510074 4038098 5822804 3788747 
"512/256" 4916336 6395018 4375425 5886650 4000485 
"512/512" 5886650 7410080 3970896 4068701 4061007 
"1024/4" 4920874 5417427 4304412 3821805 3655895 
"1024/8" 3923040 6489770 6692005 4232305 4574926 
"1024/16" 6128613 4949226 6163794 6830356 4374559 
"1024/32" 6609617 4433259 4304412 4304412 4162573 
"1024/64" 6128613 6830356 6733974 4550690 4433259 
"1024/128" 4339202 6402699 4995276 6128613 7319232 
"1024/256" 6016997 6974549 7369466 7008693 5169641 
"1024/512" 6402699 5018624 7269678 4574926 7420395 
"1024/1024" 4451639 4972145 6863100 7113161 5042191 
"2048/4" 5738844 6359119 3841986 4054139 5785224 
"2048/8" 6675393 6202989 4531020 4180412 6845629 
"2048/16" 5640860 6284678 6690992 4621211 6114678 
"2048/32" 6984790 6649556 7262337 4937295 6298503 
"2048/64" 7036283 6608629 4889518 4783331 7343043 
"2048/128" 6543188 4775354 5044577 4911886 7419150 
"2048/256" 7393606 4762117 5071381 7393606 7262337 
"2048/512" 4676561 6459541 7393606 6917293 7368238 
"2048/1024" 4603874 7419150 3991965 5920802 4321315 
"2048/2048" 6732948 7336772 6780783 4889518 7343043 
"4096/4" 3927899 6398924 4311344 4087714 5159420 
"4096/8" 6370451 4437172 4612286 6330545 6389405 
"4096/16" 4729091 7222056 7264812 5433562 7135072 
"4096/32" 4887857 5409609 6858763 5859825 7380284 
"4096/64" 6790983 4975625 7599002 5026578 4887857 
"4096/128" 6941906 6060333 5133213 5051705 5019235 
"4096/256" 4922872 4789740 4681411 5081590 4746074 
"4096/512" 5601877 6953144 6897314 6883496 4910209 
"4096/1024" 7314299 7599002 5063617 7558881 5792648 
"4096/2048" 7061751 7408930 5056165 6883496 4964124 
"4096/4096" 4633432 6703539 6349261 6281934 4551192 
"8192/4" 5227560 6621897 4584473 5442863 4291316 
"8192/8" 6527546 4745947 4667931 4710810 4699856 
"8192/16" 5983092 7173514 5653313 4850463 6692839 
"8192/32" 5004472 4980534 5728718 4989212 4911476 
"8192/64" 7068733 7086227 5227560 6404656 5065711 
"8192/128" 4914286 5505657 5022761 5129233 6965556 
"8192/256" 4694077 5133064 6861236 5110162 5078440 
"8192/512" 4982701 5126172 5120061 4749227 5053790 
"8192/1024" 5117011 6866721 5164698 5110162 7640921 
"8192/2048" 5085204 7008178 5091232 5081444 6917874 
"8192/4096" 5984134 6568727 5919188 4625826 5449769 
"8192/8192" 5188093 5188093 5117011 4309076 5724900 
"16384/4" 5013529 4359596 6095499 4195634 6177694 
"16384/8" 6840613 5383933 6030242 6614761 5659275 
"16384/16" 6829057 6453256 6801345 6769854 5647647 
