Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 
"64/4" 1828508 2467108 1879725 1780008 1828508 
"64/8" 2379626 2067979 3363612 3057153 2133730 
"64/16" 1599680 2358717 1933893 1780008 2379626 
"64/32" 3363612 3363612 2923952 4897948 3541098 
"64/64" 1991276 2067979 1828508 2467108 2358717 
"128/4" 1622919 1705404 1618028 1467639 1705404 
"128/8" 2132084 3380677 3380677 3124872 2166499 
"128/16" 3657016 3759450 2066432 3560017 2621367 
"128/32" 2608629 3199360 4596273 3036502 2673584 
"128/64" 7176872 5603747 5603747 6114306 3199360 
"128/128" 2286447 2367096 3036502 2784517 5122535 
"256/4" 1686137 1743637 1707589 2582316 2330140 
"256/8" 1938842 2266207 2210228 2081678 2223962 
"256/16" 2205688 3770085 3159869 2943325 2458168 
"256/32" 2486631 3123106 2943325 3017775 4197489 
"256/64" 3316006 3159869 4840911 3454704 3368013 
"256/128" 4350555 3935921 6554972 3879045 4819184 
"256/256" 2613746 4422226 3705040 3123106 3123106 
"512/4" 1725155 3099691 1821745 1954379 1753325 
"512/8" 3710197 2548017 3201349 3934520 2625909 
"512/16" 3768799 4296637 3459188 4271001 2575520 
"512/32" 2497638 4068701 2722449 3284589 2910635 
"512/64" 3046915 4571003 2708713 2926501 3163620 
"512/128" 3325278 4827914 3556580 3822466 3481620 
"512/256" 5870558 4610256 4690818 4610256 4610256 
"512/512" 2750343 5177083 3196584 3201349 3239989 
"1024/4" 1872419 3048658 2744728 1947119 2625597 
"1024/8" 2207295 4048778 2419964 3345496 3594699 
"1024/16" 3436508 4451639 4195100 4339202 4029784 
"1024/32" 4114719 4512441 4715569 2968586 4415030 
"1024/64" 4374559 4215688 5018624 5024495 3083680 
"1024/128" 2924122 4995276 3668386 4265934 5048117 
"1024/256" 4594502 4972145 4972145 5169641 3461434 
"1024/512" 4854136 7066349 6235382 6519323 5169641 
"1024/1024" 3984917 5219904 5144870 3544270 3655895 
"2048/4" 1860176 1965297 1848169 2673655 2479196 
"2048/8" 3513544 3709263 2976615 2809182 3271351 
