Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 
"64/4" 1143223 901377 1828508 1163036 852702 
"64/8" 1421755 1734015 2379626 1947927 1124074 
"64/16" 1599680 1392258 1991276 1279447 1933893 
"64/32" 1492919 1599680 1679761 2358717 2379626 
"64/64" 1734015 1933893 1310683 1933893 1484662 
"128/4" 1102844 1085013 1040839 1487977 1057236 
"128/8" 1543594 1231904 1332828 1878447 1243315 
"128/16" 2004703 1911894 1065630 1521718 2248149 
"128/32" 1663139 1684006 1622919 2511022 1658003 
"128/64" 1705404 1705404 2420455 2377579 1684006 
"128/128" 2286447 1579934 1543594 1905110 1487977 
"256/4" 1093639 1123389 1208072 1715775 1842366 
"256/8" 1413179 2081678 1610276 2065659 2187712 
"256/16" 2413957 2242541 1384034 1471270 1481420 
"256/32" 1639786 1740810 1673001 2672291 1696795 
"256/64" 1868008 2911402 2539563 1871263 2692393 
"256/128" 1868008 2000242 1924938 1894373 2582316 
"256/256" 2210228 1694118 1802167 2533571 1707589 
"512/4" 1625889 1999881 1252318 1261144 1064794 
"512/8" 1999881 1518938 2039772 2160868 1426135 
"512/16" 2225819 2625909 1575781 1510391 2424328 
"512/32" 2613128 1764853 2452009 2841317 2413429 
"512/64" 2665014 1862832 2225819 1835760 2600470 
"512/128" 2143612 3437042 2047551 2047551 2521095 
"512/256" 2860238 2105777 2132967 2132967 2135087 
"512/512" 2691737 2024389 1809465 2681653 1834193 
"1024/4" 1878151 1976691 1274922 1973059 1987669 
"1024/8" 1477555 1548960 2382379 2365323 2382379 
"1024/16" 1600327 2666347 1589665 1625769 1743932 
"1024/32" 1654579 2659742 1821595 2541692 2426801 
"1024/64" 1865101 2926114 1907343 1914144 2559871 
"1024/128" 1607514 2744728 2098375 1910737 2008114 
"1024/256" 1892218 2281152 2270300 2019445 2976816 
"1024/512" 3355952 3671521 3229770 3506651 3483896 
"1024/1024" 2805690 2008114 1848247 3074849 2751762 
"2048/4" 1250207 1272808 1280015 1263447 1272054 
"2048/8" 1524983 1536439 2122121 1523901 1562145 
"2048/16" 2343259 2582036 1709505 2332443 2260624 
"2048/32" 2364545 2741930 2199836 2190300 2741930 
"2048/64" 1875201 2522144 1853353 2868277 2111168 
"2048/128" 2398213 1971160 1930406 2060526 2311728 
"2048/256" 2563543 2623036 2270183 1944829 2109095 
"2048/512" 2155672 3169944 2909075 3130664 3199462 
"2048/1024" 2365196 3567536 3612546 2453001 2473485 
"2048/2048" 1992189 2074960 1921339 1994039 2832339 
"4096/4" 1294073 1353618 1280378 1283151 1233671 
"4096/8" 1546230 1535863 1562686 1574862 1653054 
"4096/16" 1878853 2392470 2030764 1707434 1577755 
"4096/32" 1820324 1884004 1796530 1824577 2541097 
"4096/64" 1820324 1832557 2199781 2347038 2732686 
"4096/128" 2505520 2732251 1860943 1857522 2700046 
"4096/256" 2645985 1890222 2500779 2246966 2541097 
"4096/512" 2592090 2366110 2663212 2138713 2046000 
"4096/1024" 2257893 2409584 2921843 2712408 3005151 
"4096/2048" 3311586 3360164 3394019 3643812 2461720 
"4096/4096" 2745350 2696232 1926684 1975877 2901120 
"8192/4" 1295576 1556231 1273818 1481099 1598141 
"8192/8" 1576293 2158030 1534615 1732644 1555949 
"8192/16" 1807569 1979269 1718175 1714574 2138288 
"8192/32" 2529090 1847118 2362174 1829416 1816456 
"8192/64" 2010304 2043421 2089270 1881920 1797263 
"8192/128" 2222520 2499107 1822816 1842562 1805574 
"8192/256" 2463804 2606405 2417349 1822429 1862638 
"8192/512" 2642689 2214641 2651254 2180490 2067645 
"8192/1024" 2612151 2585031 2191476 2452724 2351344 
"8192/2048" 2343166 2853370 3062418 2862403 2659668 
"8192/4096" 2852423 3159282 2360065 3230268 3183872 
"8192/8192" 2387617 2130597 1882848 2304351 2563240 
"16384/4" 1339644 1296305 1302694 1343520 1736488 
"16384/8" 1570845 1567692 1554746 1561884 1562168 
"16384/16" 2164065 2157746 1708597 2255848 1713839 
"16384/32" 2161478 1850042 1841712 2331623 2181584 
"16384/64" 1846265 1870131 1876924 1878669 2146758 
"16384/128" 2013002 1806419 2159509 1836790 2120918 
"16384/256" 1795094 1802439 1798901 1793923 1768531 
"16384/512" 1818417 1825518 1823484 1818851 2072872 
"16384/1024" 1908036 2171793 2167751 2317391 2595263 
"16384/2048" 2419375 1911592 1954878 2681546 2093203 
"16384/4096" 2671435 2780273 2225457 2101268 2403383 
"16384/8192" 3198664 2329884 2838614 2786360 3034668 
"16384/16384" 2735669 2096204 2443549 2131708 2362890 
"32768/64" 1910126 1923788 2071429 2028954 2377597 
"32768/128" 1968537 1812776 2344422 1957602 2431781 
"32768/256" 2341945 2218875 1800334 1894982 2404468 
"32768/512" 2248386 2339234 1894643 1932064 2344422 
"32768/1024" 2259550 2310838 1834211 1920965 2383122 
"32768/2048" 2004774 1835142 1990749 2251628 2325461 
"32768/4096" 1880180 1840696 1979823 2390957 2394623 
"32768/8192" 2344222 2533866 3036868 2221888 2633696 
"32768/16384" 2407838 2559584 3032914 2539953 2639564 
"65536/64" 1956596 2722377 2380600 2362594 2715733 
"65536/128" 2574274 2668618 2091856 2147369 2670563 
"65536/256" 2586798 2565791 2192659 2199343 2532694 
"65536/512" 2196987 2601044 2200822 2506916 1989320 
"65536/1024" 2514231 2180466 2589552 2503286 2586579 
"65536/2048" 2529571 2187372 2445645 2161197 2490156 
"65536/4096" 2522352 2506345 2458134 2467733 2126964 
"65536/8192" 2407201 2657473 2281886 2243373 2312000 
"65536/16384" 3190659 3135091 3178594 3047906 2503970 
"131072/64" 3004510 2948213 2695901 2729077 3013916 
"131072/128" 2781548 2799366 2246387 2422324 2598264 
"131072/256" 2690202 2175615 2173052 2671170 2693128 
"131072/512" 2645297 2184059 2496804 2690031 2659682 
"131072/1024" 2701399 2545887 2641560 2255928 2638593 
"131072/2048" 2448704 2593471 2236991 2433249 2601202 
"131072/4096" 2508367 2536817 2397332 2274916 2542813 
"131072/8192" 2633449 2603012 2619034 2624435 2067055 
"131072/16384" 2982910 2939103 2485628 2552767 3003969 
"262144/64" 2508102 2606634 2610892 3114862 3040905 
"262144/128" 2884798 2641356 2524839 2481134 2668291 
