Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 
"64/4" 32241 31919 32144 32018 29711 
"64/8" 61954 60379 53872 60488 61485 
"64/16" 104538 105276 100469 94793 95399 
"64/32" 154556 152018 146461 137040 137320 
"64/64" 189867 193285 188269 206519 169701 
"128/4" 29385 28218 31105 29411 32104 
"128/8" 56561 53538 61301 55629 61924 
"128/16" 88580 102070 92153 69680 102479 
"128/32" 152571 130758 146974 151495 146613 
"128/64" 206504 207783 215541 206107 210471 
"128/128" 196597 239695 242949 232230 205162 
"256/4" 32189 31999 32278 29489 28816 
"256/8" 62224 61012 60822 61624 58594 
"256/16" 99449 84801 103555 94016 87106 
"256/32" 130469 157352 151748 150409 147800 
"256/64" 169766 200145 199069 194666 191746 
"256/128" 241735 216183 231021 227352 208825 
"256/256" 277610 255239 255482 246621 254211 
"512/4" 30483 30208 17886 33357 34254 
"512/8" 55973 55598 62007 62461 62507 
"512/16" 89714 97898 106133 105177 107428 
"512/32" 126921 138263 162752 159642 159547 
"512/64" 192051 178766 178335 184304 177524 
"512/128" 224754 215226 209739 214774 251349 
"512/256" 314290 266509 253485 281165 259771 
"512/512" 367795 370715 404132 359062 393542 
"1024/4" 32071 31618 26783 19946 31999 
"1024/8" 57152 56746 55107 55537 60129 
"1024/16" 99301 98130 98983 93405 102164 
"1024/32" 154241 153059 148749 152857 154124 
"1024/64" 184604 204310 203256 191981 204465 
"1024/128" 237648 226637 233894 228835 231101 
"1024/256" 338965 354317 256388 321315 254791 
"1024/512" 393067 376724 488574 367034 423491 
"1024/1024" 551428 566932 556212 668393 589578 
"2048/4" 29511 22729 17893 28784 20821 
"2048/8" 32394 60932 58842 35219 47498 
"2048/16" 103340 102544 102966 103587 101281 
"2048/32" 154008 156360 156420 153975 152266 
"2048/64" 203882 205560 208829 207708 211789 
"2048/128" 250217 251662 252996 243839 256770 
"2048/256" 327312 331608 276267 326901 283339 
"2048/512" 377715 384392 444641 390455 459900 
"2048/1024" 532385 533609 572250 535705 570463 
"2048/2048" 718594 649532 760722 732192 834881 
"4096/4" 20068 32422 24350 24784 21850 
"4096/8" 44506 25338 37272 46865 35409 
"4096/16" 61791 76093 43223 39680 70504 
"4096/32" 108567 69565 149254 145517 76233 
"4096/64" 224673 209748 202321 210612 209782 
"4096/128" 247431 252030 254204 248541 254978 
"4096/256" 341590 337841 277319 376192 285556 
"4096/512" 393430 398209 486051 397169 447791 
"4096/1024" 566304 586327 569684 551046 597876 
"4096/2048" 834022 848732 885432 838827 805213 
"4096/4096" 908228 925399 898678 884292 829472 
"8192/4" 24316 11740 17680 23702 16732 
"8192/8" 28720 39410 19564 22114 18270 
"8192/16" 49539 34739 50170 49763 33175 
"8192/32" 71251 64530 63958 76861 70682 
"8192/64" 68307 93049 99755 80035 79217 
"8192/128" 248311 251419 251296 247597 252246 
"8192/256" 323130 337492 279686 341874 282815 
"8192/512" 389615 395613 472241 389059 477385 
"8192/1024" 474589 569720 582805 560327 587960 
"8192/2048" 783095 738683 806135 781315 812867 
"8192/4096" 827211 803608 825145 839931 853683 
"8192/8192" 944420 829408 863965 856022 957687 
"16384/4" 9825 9201 16789 11202 7844 
"16384/8" 17231 12772 29374 16468 28725 
"16384/16" 30927 53348 32441 27313 24324 
"16384/32" 65873 59752 56034 52592 60084 
"16384/64" 90425 110991 92914 190662 106943 
"16384/128" 120395 119264 121008 101714 114959 
"16384/256" 337029 330662 274411 339297 282965 
"16384/512" 387028 393695 482405 387584 462630 
"16384/1024" 551999 574838 559674 560043 579677 
"16384/2048" 951993 787202 831674 1014552 778234 
"16384/4096" 853469 852400 905492 858834 849302 
"16384/8192" 990154 887885 863583 890047 865781 
"16384/16384" 1091689 1012235 1002328 1011356 979024 
"32768/64" 84927 72880 79875 73398 91872 
"32768/128" 170356 132213 142601 118808 159713 
"32768/256" 125964 152753 155250 109681 139642 
"32768/512" 242225 270760 257068 249908 315927 
"32768/1024" 331193 479449 454788 366237 407020 
"32768/2048" 696761 582914 822555 440075 744878 
"32768/4096" 840745 754815 521186 569006 828985 
"32768/8192" 1290533 860915 860188 859284 869152 
"32768/16384" 1022529 979204 981049 991495 945990 
"65536/64" 73583 70063 73221 78937 77563 
"65536/128" 123466 122825 125616 129255 113977 
"65536/256" 184435 165053 182500 184818 182694 
"65536/512" 237107 270388 307282 243150 253329 
"65536/1024" 389251 335722 407440 305699 313122 
"65536/2048" 363200 378894 484239 416940 424884 
"65536/4096" 524481 465349 408425 453837 379567 
"65536/8192" 790074 647628 612679 633174 606001 
"65536/16384" 630009 875131 792329 880813 884987 
"131072/64" 74982 70710 76674 70562 70253 
"131072/128" 113201 113795 127534 108624 107026 
"131072/256" 144580 147829 161046 146349 148541 
"131072/512" 213868 205170 228087 189807 213724 
"131072/1024" 286075 328834 313972 285368 292342 
"131072/2048" 366924 365732 421733 451894 373177 
"131072/4096" 519714 488334 582255 624801 501152 
"131072/8192" 723994 730267 614698 744021 739162 
"131072/16384" 837419 817702 889915 937735 820538 
"262144/64" 75764 73214 73293 78466 75430 
"262144/128" 112319 105799 108809 104604 106209 
"262144/256" 143934 146314 151568 138009 137264 
"262144/512" 195745 165025 179693 181852 185163 
"262144/1024" 240244 240618 263468 243381 213850 
"262144/2048" 360435 339390 355196 342396 324463 
"262144/4096" 472292 468451 496547 438863 426138 
"262144/8192" 576980 534378 619207 580488 549163 
"262144/16384" 832472 793531 877548 859987 811385 
"524288/64" 72902 78073 73285 73153 74986 
"524288/128" 101681 108485 106021 106371 103017 
"524288/256" 148503 145287 140144 132509 135524 
"524288/512" 180176 168537 172182 176750 189213 
"524288/1024" 244176 250395 243659 227007 223825 
"524288/2048" 345562 343557 350904 376949 410843 
"524288/4096" 459760 461579 460269 430699 486867 
"524288/8192" 615188 584132 633721 572262 569137 
