Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 
"64/4" 11070 13611 14938 14433 15369 
"64/8" 1300 24501 22996 22947 19808 
"64/16" 37602 37739 43248 40428 41696 
"64/32" 51574 56148 54975 56089 50073 
"64/64" 118315 126512 103212 118107 102895 
"128/4" 16256 13365 16078 12842 15638 
"128/8" 23965 21724 25018 25630 26457 
"128/16" 51322 58312 48284 43880 46713 
"128/32" 76283 68928 73184 77719 73274 
"128/64" 103727 88639 96458 108200 93845 
"128/128" 147459 182373 169530 159412 157034 
"256/4" 16437 15327 10371 15583 9420 
"256/8" 23366 28215 27781 23677 26865 
"256/16" 46093 49229 44801 41190 47233 
"256/32" 65809 70405 89884 64598 92517 
"256/64" 84156 87461 124943 87732 116107 
"256/128" 169338 150577 163884 166013 149446 
"256/256" 245213 265593 216619 259370 209314 
"512/4" 10937 14909 11062 12892 10964 
"512/8" 19462 20211 31208 18228 33249 
"512/16" 49679 48243 56134 51587 56870 
"512/32" 71120 70069 77178 84737 67582 
"512/64" 104531 111425 106958 112653 111373 
"512/128" 153899 140039 147261 140857 156913 
"512/256" 225154 210789 225651 209494 201022 
"512/512" 268878 236173 338837 277065 42236 
"1024/4" 14695 25592 11298 15970 10721 
"1024/8" 23326 21927 30841 25641 26617 
"1024/16" 59549 55692 56810 57303 50441 
"1024/32" 82249 82280 80884 73284 75571 
"1024/64" 119878 125783 116708 124908 110918 
"1024/128" 155458 151879 159351 151772 154635 
"1024/256" 229753 222793 205748 235021 200084 
"1024/512" 258580 250306 294947 256189 290577 
"1024/1024" 372768 369561 377022 457943 361079 
"2048/4" 16255 19151 14838 15068 10398 
"2048/8" 25725 23614 28263 22149 23782 
"2048/16" 52612 65923 53268 50629 60306 
"2048/32" 81976 94460 85382 84943 85426 
"2048/64" 124855 126031 120088 118745 127967 
"2048/128" 168811 173412 158095 162913 167347 
"2048/256" 232677 246456 203053 236540 213330 
"2048/512" 274011 272524 352135 273801 355193 
"2048/1024" 409848 379752 365781 414156 417112 
"2048/2048" 626097 632691 500497 556494 579664 
"4096/4" 12485 17649 15018 21888 16417 
"4096/8" 25715 25722 24437 28841 26439 
"4096/16" 56854 62112 47505 58027 42500 
"4096/32" 86233 85733 87637 79232 88230 
"4096/64" 129214 125933 129060 126131 133094 
"4096/128" 166286 165650 169684 173147 172579 
"4096/256" 232001 242178 207825 249621 212614 
"4096/512" 272144 288752 320473 296210 311529 
"4096/1024" 472054 461988 405340 404510 447802 
