Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 
"64/4" 29036 30798 29767 30696 28059 
"64/8" 55406 57397 45646 43684 50317 
"64/16" 92220 93051 91186 79002 86125 
"64/32" 155722 136205 139171 112513 140409 
"64/64" 188798 190541 211899 201255 193424 
"128/4" 28842 25786 13167 26643 13467 
"128/8" 54489 54633 58471 54700 54677 
"128/16" 94472 100711 88962 62955 96096 
"128/32" 143517 19897 154994 31896 128906 
"128/64" 191889 124511 178255 198487 194532 
"128/128" 200939 262810 218080 200939 200638 
"256/4" 17114 23249 15187 22214 25780 
"256/8" 27130 28122 31872 26987 57129 
"256/16" 103515 102516 101069 82028 87948 
"256/32" 155057 146210 145793 150683 151641 
"256/64" 202371 196915 208299 187297 160312 
"256/128" 240167 218248 226346 67404 222776 
"256/256" 276466 253671 271434 247075 240167 
"512/4" 37811 24056 28903 22240 25608 
"512/8" 28168 28587 34138 34432 57514 
"512/16" 88673 91938 102398 46874 37948 
"512/32" 110009 121816 135310 127812 124572 
"512/64" 164573 156285 166771 168419 158804 
"512/128" 213939 200309 210541 212626 229583 
"512/256" 314336 300818 252740 293219 247098 
"512/512" 349252 368869 399100 349479 385488 
"1024/4" 36495 28056 24259 33340 23747 
"1024/8" 41561 39856 34580 39869 44334 
"1024/16" 93686 87319 91920 88474 95816 
"1024/32" 138660 141338 133700 141571 141106 
"1024/64" 187612 174387 174685 172739 176734 
"1024/128" 201492 229385 128723 221597 205748 
"1024/256" 321797 317726 254791 318197 250979 
"1024/512" 351763 394004 484660 346653 408623 
"1024/1024" 647241 640007 572066 648511 573671 
"2048/4" 34980 28878 26488 38916 29223 
"2048/8" 40021 41423 43181 40574 44407 
"2048/16" 59807 80639 69957 60176 76040 
"2048/32" 141849 147358 147751 138556 139785 
"2048/64" 127912 190794 185224 195903 194027 
"2048/128" 229310 210311 225998 233874 227151 
"2048/256" 310444 301625 259343 328527 248574 
"2048/512" 360122 361912 441487 369287 422093 
"2048/1024" 512776 277275 569216 530839 543811 
"2048/2048" 708634 660621 747158 710628 819196 
"4096/4" 32798 35827 36874 36023 35352 
"4096/8" 45488 25777 47532 47610 54923 
"4096/16" 73345 77615 72882 73104 64519 
"4096/32" 93341 80309 90251 114856 91103 
"4096/64" 163193 201415 149938 187408 198171 
"4096/128" 234432 229120 236872 238113 244390 
"4096/256" 331173 319027 196290 329231 260459 
"4096/512" 278393 307784 479458 369040 450350 
"4096/1024" 535986 528500 371795 541647 584969 
"4096/2048" 822955 834225 828792 834022 771962 
"4096/4096" 863231 904022 878010 887536 821028 
"8192/4" 45541 37852 33139 41976 44898 
"8192/8" 64487 69929 56008 56648 58257 
"8192/16" 86679 89949 79012 89226 78965 
"8192/32" 117254 94284 104871 99870 106016 
"8192/64" 125453 121061 145086 118408 129497 
"8192/128" 238632 238715 245483 238694 243990 
"8192/256" 311151 327707 268696 270292 242258 
"8192/512" 333509 356407 323886 379310 434423 
"8192/1024" 512864 547960 557355 553958 530539 
"8192/2048" 535951 733527 803514 784902 817236 
"8192/4096" 817722 801079 827311 828148 843311 
"8192/8192" 929752 828069 848036 848120 862057 
"16384/4" 42985 47575 49213 45366 49670 
"16384/8" 65837 65393 71958 75303 69698 
"16384/16" 111464 99958 94927 112858 105724 
"16384/32" 134200 135275 139505 136672 135561 
"16384/64" 154771 172929 152225 166090 147880 
"16384/128" 198341 187892 193966 207515 173804 
"16384/256" 278407 332224 272522 302142 274826 
"16384/512" 380979 382072 480795 381049 415751 
"16384/1024" 474979 567508 570950 565197 466778 
"16384/2048" 769674 781570 826971 814879 799102 
"16384/4096" 855690 874229 853829 865366 846321 
"16384/8192" 1348027 875922 870607 883285 845707 
"16384/16384" 1469155 1034016 1019534 1031161 998890 
"32768/64" 181651 175746 175605 179252 186923 
"32768/128" 167582 188469 201110 199913 212808 
"32768/256" 238849 292323 214884 237988 193206 
"32768/512" 339532 333995 369130 330292 369979 
"32768/1024" 397432 511583 524010 438872 554675 
"32768/2048" 701266 649759 824539 737900 517832 
"32768/4096" 847594 704115 848232 779760 855652 
"32768/8192" 960548 859150 864271 864728 871583 
"32768/16384" 1013862 995805 987470 987797 1008742 
"65536/64" 182655 196090 188274 192252 201716 
"65536/128" 224352 228117 225629 221338 199014 
"65536/256" 282303 269160 237965 302753 249462 
"65536/512" 293916 320226 362139 299797 379491 
"65536/1024" 491167 453420 478829 458659 489622 
"65536/2048" 605128 608511 769337 680313 612440 
"65536/4096" 691264 758037 720872 802221 720651 
"65536/8192" 905243 758818 799122 766073 731093 
"65536/16384" 906883 868624 850431 809595 1001680 
"131072/64" 209614 224917 228138 207793 213520 
"131072/128" 224681 246317 261531 257748 246809 
"131072/256" 304769 155456 264817 327423 254646 
"131072/512" 347511 348704 422670 364985 404596 
"131072/1024" 477215 458635 459577 475601 476424 
"131072/2048" 674200 603692 709648 752642 678114 
"131072/4096" 723335 711964 787919 726929 756714 
"131072/8192" 844503 788892 743021 789732 786869 
"131072/16384" 967241 965831 915953 955147 922028 
"262144/64" 244188 226860 244531 223778 231222 
"262144/128" 262799 255826 265719 259540 251090 
"262144/256" 336468 344484 272410 337925 273267 
"262144/512" 366441 380702 475789 368019 419917 
"262144/1024" 488647 524168 549132 508096 488854 
"262144/2048" 711999 710503 761798 723034 744997 
"262144/4096" 734455 802716 759725 774806 786780 
"262144/8192" 952382 841685 832404 824728 988819 
"262144/16384" 1004167 1045347 1077532 1094730 1052572 
"524288/64" 250641 250935 248985 249679 225131 
"524288/128" 270683 275316 270324 270913 258186 
"524288/256" 352167 352160 287043 348125 291249 
"524288/512" 379474 390542 471115 386318 486884 
"524288/1024" 510265 516451 526022 532871 564456 
"524288/2048" 731819 732010 764222 700335 738469 
"524288/4096" 811291 856986 829404 793028 815540 
"524288/8192" 1032359 842794 829894 829398 777701 
"524288/16384" 1070462 1096068 1035542 1033845 1130082 
