Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 
"64/4" 13490 11840 13389 14041 16798 
"64/8" 24530 26176 25631 25437 23522 
"64/16" 37985 35168 45483 42327 38814 
"64/32" 59867 56136 50880 54100 50195 
"64/64" 113082 106151 113082 116165 129254 
"128/4" 15851 13563 18456 15033 16038 
"128/8" 15347 26053 24744 28451 26727 
"128/16" 50430 57420 51258 50995 49400 
"128/32" 70025 64228 72152 67228 71670 
"128/64" 100390 90203 103228 105169 94672 
"128/128" 140659 143979 161183 146453 186815 
"256/4" 11350 10477 11106 8756 10344 
"256/8" 26259 34782 27473 24629 37531 
"256/16" 44152 51417 49566 40093 54491 
"256/32" 82634 63445 80250 95453 81972 
"256/64" 104828 111305 94537 100983 96387 
"256/128" 136230 137047 140123 161712 145045 
"256/256" 203329 218648 176433 204140 185229 
"512/4" 17236 16590 9797 15555 8958 
"512/8" 17932 17524 31393 15699 25584 
"512/16" 46414 48892 51795 48057 49084 
"512/32" 76155 80238 72860 81412 81502 
"512/64" 104812 114975 106777 106554 112059 
"512/128" 159749 142181 138826 147423 144516 
"512/256" 226055 228460 214131 196767 186643 
"512/512" 201022 249162 355555 271771 357329 
"1024/4" 16593 13251 14187 15103 14464 
"1024/8" 23558 20339 24043 19229 33057 
"1024/16" 59844 57547 72035 57012 56577 
"1024/32" 88512 85832 87059 86595 91616 
"1024/64" 124287 128596 128932 126356 123107 
"1024/128" 152721 153042 159772 158709 158265 
"1024/256" 222654 226351 214353 244215 210271 
"1024/512" 284683 257989 355196 249870 303406 
"1024/1024" 434809 414060 385378 441015 452111 
"2048/4" 17650 17760 16480 17183 15227 
"2048/8" 16880 20182 24004 21757 25385 
"2048/16" 53252 55227 53478 51677 54845 
"2048/32" 81408 83961 88761 80604 92106 
"2048/64" 118621 125993 124786 127181 127055 
"2048/128" 167785 158635 158650 159094 171971 
"2048/256" 233817 232891 208090 234910 223040 
"2048/512" 260887 300559 343215 288690 365267 
"2048/1024" 382100 396291 439207 212187 462500 
"2048/2048" 488097 553232 499623 522444 537112 
"4096/4" 16324 17816 16985 19050 18076 
"4096/8" 14205 24973 25222 23592 22001 
"4096/16" 49367 59405 58300 52682 44432 
"4096/32" 92900 88269 87859 86651 90216 
"4096/64" 129715 122642 125041 125003 133185 
"4096/128" 180679 162915 168262 166597 173025 
"4096/256" 237393 238153 213778 246745 208820 
"4096/512" 280086 283539 325026 274417 341930 
"4096/1024" 423307 386343 463146 400745 413566 
"4096/2048" 571903 509579 633760 517375 584969 
"4096/4096" 529396 628107 505426 535285 523316 
"8192/4" 20022 17395 18436 21224 17855 
"8192/8" 30009 23760 26151 21940 29107 
"8192/16" 79291 67461 79739 73975 78603 
"8192/32" 80751 63575 65487 85036 64588 
"8192/64" 129932 124089 122870 125363 121897 
"8192/128" 166072 171696 161126 166945 161868 
"8192/256" 241246 240016 202312 243201 218821 
"8192/512" 290323 279018 327995 312922 356747 
"8192/1024" 425914 433070 419134 433026 416811 
"8192/2048" 564386 612901 548616 502601 521449 
"8192/4096" 625919 514954 561481 546322 540300 
"8192/8192" 607075 538100 523921 553744 533786 
"16384/4" 18353 18307 16736 20209 16579 
"16384/8" 23582 27478 25983 27179 32283 
"16384/16" 87184 83535 90064 74883 106653 
"16384/32" 102452 94051 93523 93105 107319 
"16384/64" 113645 89988 126887 107622 110655 
"16384/128" 156489 148173 163005 163273 142726 
"16384/256" 203809 193579 176175 207339 195366 
"16384/512" 295143 265581 316391 227413 345050 
"16384/1024" 455488 377511 459515 453223 421463 
"16384/2048" 640700 564789 553815 632468 605112 
"16384/4096" 594959 628874 578569 598941 613102 
"16384/8192" 592916 638598 595263 579042 599820 
"16384/16384" 585500 563178 587618 575117 659104 
"32768/64" 144286 145225 147864 120425 131839 
"32768/128" 160544 151715 153052 165743 155852 
"32768/256" 207241 210648 191455 197276 196641 
"32768/512" 243637 225600 306348 240854 299374 
"32768/1024" 381115 356851 352435 358405 341910 
"32768/2048" 551408 570324 545088 406293 592701 
"32768/4096" 555767 611868 512570 558277 536318 
"32768/8192" 581777 399922 521940 548630 598055 
"32768/16384" 599445 501644 526088 602551 525726 
"65536/64" 164190 166609 163332 160663 163783 
"65536/128" 169800 172549 184138 179427 175912 
"65536/256" 208777 217431 195144 197533 189680 
"65536/512" 236593 245399 272345 258669 292358 
"65536/1024" 341246 323049 324113 320987 350870 
"65536/2048" 304184 431720 397778 429525 426819 
"65536/4096" 408835 419457 420043 429448 391098 
"65536/8192" 395744 412659 386032 407828 414462 
"65536/16384" 448544 427314 400547 418199 376342 
"131072/64" 177161 161971 179120 171084 182832 
"131072/128" 180030 188520 191633 195485 184331 
"131072/256" 234259 233361 208070 240726 205495 
"131072/512" 252491 257326 299904 255649 303794 
"131072/1024" 354516 329571 302533 281091 296118 
"131072/2048" 408089 423889 370634 406144 398072 
"131072/4096" 397927 415232 430092 403806 428687 
"131072/8192" 432612 398280 383399 409121 431457 
"131072/16384" 411922 411566 398244 422383 423204 
"262144/64" 170909 163220 169149 171997 170512 
"262144/128" 195655 182150 186062 191067 179710 
"262144/256" 233649 231313 198004 238811 207341 
"262144/512" 245867 263447 298868 245247 313418 
"262144/1024" 304383 371272 330362 358708 351566 
"262144/2048" 439592 417572 421142 447917 430994 
"262144/4096" 405038 435973 412060 435551 443450 
"262144/8192" 416300 407172 414024 426740 431125 
"262144/16384" 415280 406410 436188 445924 400338 
"524288/64" 168369 170225 165091 173640 172436 
"524288/128" 198374 191467 192050 189837 181212 
"524288/256" 245177 229060 214642 233200 210270 
"524288/512" 259262 253273 297633 267448 302543 
