Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 
"64/4" 2868 31839 28945 31312 28307 
"64/8" 58080 60941 47791 47868 48082 
"64/16" 99686 98914 108467 81745 93570 
"64/32" 152018 134432 152018 126512 128758 
"64/64" 198135 206360 180788 200653 167897 
"128/4" 29255 28045 30784 27652 29816 
"128/8" 55629 48068 54142 54126 49459 
"128/16" 87555 98530 92423 72522 99295 
"128/32" 160797 105874 133622 141923 135580 
"128/64" 209485 207461 209159 199668 202531 
"128/128" 240124 207141 235283 240124 233137 
"256/4" 31578 31730 30977 29466 28412 
"256/8" 59218 58394 59176 56412 58128 
"256/16" 93876 87732 98882 88983 85962 
"256/32" 135662 155438 154233 151748 152394 
"256/64" 175482 176173 183238 194842 194984 
"256/128" 237248 207093 235479 221444 215835 
"256/256" 272605 248792 247588 251768 245943 
"512/4" 29486 28624 30344 31223 31145 
"512/8" 48288 52637 60299 59947 58440 
"512/16" 93532 96425 45078 98554 100331 
"512/32" 121816 138862 148196 152608 152468 
"512/64" 165690 196246 177774 163995 172159 
"512/128" 212710 215485 51654 225533 242193 
"512/256" 314290 313327 248528 278864 243125 
"512/512" 342894 382604 395353 365479 393253 
"1024/4" 30184 29133 30350 29017 28885 
"1024/8" 57031 55803 56366 54317 58165 
"1024/16" 100441 93134 98396 88656 102400 
"1024/32" 154869 153755 63856 148837 87135 
"1024/64" 191399 173059 182045 176610 186625 
"1024/128" 224025 134365 218253 211389 222217 
"1024/256" 344650 121241 260162 318008 258067 
"1024/512" 390422 369148 478291 363247 434282 
"1024/1024" 576520 611400 560788 674058 571154 
"2048/4" 30902 31000 31012 31405 30505 
"2048/8" 58688 58769 58749 58334 57766 
"2048/16" 89895 102780 103403 102676 100406 
"2048/32" 150189 156934 156274 151098 155280 
"2048/64" 198795 201019 198026 206137 207708 
"2048/128" 246484 237364 236189 240656 239108 
"2048/256" 323796 310972 259696 322580 265417 
"2048/512" 373933 375650 435378 382083 444457 
"2048/1024" 528650 526866 568087 512501 572402 
"2048/2048" 710628 634420 752130 732254 824148 
"4096/4" 28770 29956 30365 29155 30591 
"4096/8" 57907 54244 57788 53570 58138 
"4096/16" 101163 95184 99321 99179 100791 
"4096/32" 150943 124159 149812 118432 152910 
"4096/64" 214853 204481 205962 211146 204861 
"4096/128" 246568 240107 250093 249327 252623 
"4096/256" 337536 343276 270861 348717 272014 
"4096/512" 378838 374985 483997 394370 121875 
"4096/1024" 543309 517375 570384 368945 594566 
"4096/2048" 744335 851550 873368 847308 789995 
"4096/4096" 894328 929606 905595 905165 824971 
"8192/4" 35108 41797 39539 40934 45797 
"8192/8" 60495 64515 67393 60570 64470 
"8192/16" 98237 99846 94300 98052 103562 
"8192/32" 147419 149135 153823 151433 148424 
"8192/64" 202007 187666 196159 199285 164125 
"8192/128" 234465 248944 203553 246167 258113 
"8192/256" 281020 334463 279209 335175 282482 
"8192/512" 379034 388097 486662 380300 461131 
"8192/1024" 86479 371284 561830 435165 605118 
"8192/2048" 782578 335515 813271 637308 832603 
"8192/4096" 824472 823741 842980 828888 880865 
"8192/8192" 948697 844016 846720 827311 903803 
"16384/4" 42072 58223 55526 54902 56391 
"16384/8" 73731 74321 76606 81243 78932 
"16384/16" 106213 106268 121212 112977 86427 
"16384/32" 145657 138786 138761 135591 145645 
"16384/64" 186508 203126 208045 186669 201693 
"16384/128" 215672 183157 193250 232489 197857 
"16384/256" 342353 314435 270662 339677 257265 
"16384/512" 351016 381334 483930 319183 460599 
"16384/1024" 556366 528412 569875 563894 567864 
"16384/2048" 793071 787355 832692 855509 817974 
"16384/4096" 451811 863909 858974 889862 858115 
"16384/8192" 994352 882956 868769 906807 858426 
"16384/16384" 999326 1028629 1008610 1024458 986458 
"32768/64" 143125 174499 182633 180401 135247 
"32768/128" 220497 226307 230607 224025 221625 
"32768/256" 194031 293891 221299 250249 202605 
"32768/512" 289964 330943 353759 314134 355104 
"32768/1024" 402279 502614 530527 450184 541610 
"32768/2048" 629343 690537 685509 741223 480462 
"32768/4096" 863495 736279 731393 726771 850121 
"32768/8192" 1166201 862633 867063 864935 879582 
"32768/16384" 1028205 980790 994293 988749 996867 
"65536/64" 224582 219621 225417 220067 220573 
"65536/128" 232099 228843 235333 228232 242334 
"65536/256" 312254 290327 244339 305157 248372 
"65536/512" 300103 309212 382069 313621 400366 
"65536/1024" 470388 446731 476078 489125 382383 
