Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 
"64/4" 838 3164 15675 12374 3014 
"64/8" 23409 3248 22384 22727 24844 
"64/16" 28493 36737 40324 40355 40198 
"64/32" 47478 53742 39552 36970 36762 
"64/64" 83996 115764 100771 106869 91435 
"128/4" 3497 13304 31062 12317 37460 
"128/8" 20779 26958 11716 8714 23180 
"128/16" 4458 36572 37803 40200 44769 
"128/32" 70025 69418 50730 62406 70485 
"128/64" 66984 75521 84602 94823 91494 
"128/128" 136580 160221 164290 159792 134023 
"256/4" 15373 50956 14437 40081 13453 
"256/8" 15018 24844 24457 15197 25211 
"256/16" 53200 46699 44857 48057 39373 
"256/32" 58090 75250 72462 72502 77645 
"256/64" 95487 103395 106492 97863 100709 
"256/128" 137857 116460 138016 143821 138819 
"256/256" 179022 182336 203676 211416 182584 
"512/4" 8416 13162 10056 15952 8135 
"512/8" 29129 25504 25464 10273 28702 
"512/16" 48678 45698 54146 42482 48179 
"512/32" 66227 69433 84209 76350 70223 
"512/64" 102091 98958 102340 104445 95862 
"512/128" 141553 151799 138112 153022 137115 
"512/256" 225651 175036 203904 219180 187343 
"512/512" 254206 227661 314520 253336 305874 
"1024/4" 17045 14314 12790 16676 12669 
"1024/8" 23180 20475 24086 22481 24691 
"1024/16" 53327 56366 48176 51908 54671 
"1024/32" 72557 73495 73079 73394 84530 
"1024/64" 108866 111874 113699 101596 106933 
"1024/128" 67886 134948 140313 97708 150654 
"1024/256" 195529 220925 207668 208000 212582 
"1024/512" 284985 249507 328944 234111 285402 
"1024/1024" 390707 113624 429676 371414 394910 
"2048/4" 15398 21116 15504 19841 13974 
"2048/8" 23813 23918 30694 26984 35502 
"2048/16" 43513 65757 54671 55170 57335 
"2048/32" 83204 80427 86505 80512 85113 
"2048/64" 121992 116270 115426 119346 123484 
"2048/128" 135217 155364 146169 132823 96118 
"2048/256" 238497 206326 194158 219580 196077 
"2048/512" 282444 279249 325181 267884 323540 
"2048/1024" 372490 365983 427300 390845 367817 
"2048/2048" 608791 598651 244540 470274 161693 
"4096/4" 17387 12446 16986 16610 17705 
"4096/8" 27987 16664 31726 16415 24735 
"4096/16" 66193 51967 43655 62666 68097 
"4096/32" 72035 72850 50448 63320 49030 
