Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 
"64/4" 7753 29603 25097 29949 28044 
"64/8" 51743 43656 24663 11196 47579 
"64/16" 59259 61528 78724 80398 73147 
"64/32" 59535 102542 100169 91310 84525 
"64/64" 156084 135313 152018 150907 160854 
"128/4" 24381 28407 27026 27072 30253 
"128/8" 56885 52440 56335 51238 54912 
"128/16" 89885 85382 81272 72679 68928 
"128/32" 123197 114086 120894 113990 118415 
"128/64" 158005 156439 149554 154592 170662 
"128/128" 217285 174603 203529 182311 196023 
"256/4" 19820 10300 13517 19912 16069 
"256/8" 53735 53881 51854 20598 57435 
"256/16" 97935 97340 83854 94255 84996 
"256/32" 113182 129416 25112 143341 128579 
"256/64" 151299 169311 172162 156003 168197 
"256/128" 189212 203021 215273 201082 208622 
"256/256" 236569 232069 230872 230872 274627 
"512/4" 14628 23038 20028 16190 17770 
"512/8" 27215 33837 56299 42715 29135 
"512/16" 85218 90189 88349 85704 96582 
"512/32" 137229 150988 128508 136723 135660 
"512/64" 175164 176852 184716 182534 169817 
"512/128" 218889 238138 202043 206532 203498 
"512/256" 244509 247582 256789 241404 254477 
"512/512" 342239 331360 465044 345487 439445 
"1024/4" 30412 25998 23971 28208 22215 
"1024/8" 30082 32617 33136 34755 47208 
"1024/16" 102667 103081 96114 99051 92872 
"1024/32" 144817 149463 128658 87776 141552 
"1024/64" 175041 194458 210354 205995 193285 
"1024/128" 221838 214001 229042 231038 240873 
"1024/256" 262563 249029 256006 250921 254655 
"1024/512" 349958 352861 372930 354083 378117 
"1024/1024" 549663 544990 491369 470382 495393 
"2048/4" 23947 23743 26240 30622 16078 
"2048/8" 30161 43245 45488 43760 55869 
"2048/16" 95194 71232 79468 70659 78747 
"2048/32" 142093 146120 147647 140177 146864 
"2048/64" 190756 191296 165695 109472 175269 
"2048/128" 244193 248725 275267 247492 239588 
"2048/256" 310871 277203 280663 278029 277732 
"2048/512" 375437 387653 482911 382798 499885 
"2048/1024" 537381 656833 557577 588641 560964 
"2048/2048" 225500 923370 352555 290536 637197 
"4096/4" 24087 30210 23885 26539 27019 
"4096/8" 37096 49861 56058 40537 43760 
"4096/16" 63947 92414 90465 88487 75222 
"4096/32" 128228 149422 118535 114282 106059 
"4096/64" 205108 192435 195466 194843 202361 
"4096/128" 240147 219624 241538 236765 238653 
"4096/256" 284898 272524 277489 281186 279858 
"4096/512" 382516 385330 404138 392908 403664 
"4096/1024" 567239 545638 253465 502323 531131 
"4096/2048" 726765 646983 277225 575852 819540 
"4096/4096" 455568 862321 771962 484734 306768 
"8192/4" 15692 28593 24172 20402 23953 
"8192/8" 38189 29854 37505 31515 23864 
"8192/16" 60459 43911 58956 56419 54071 
"8192/32" 131313 96396 61051 98272 103345 
"8192/64" 200682 201574 198684 198772 192278 
"8192/128" 229479 248738 213857 198430 245292 
"8192/256" 328205 318653 280403 270952 219412 
"8192/512" 385052 388062 518083 386595 519070 
"8192/1024" 389505 420190 566526 610527 581699 
"8192/2048" 745479 493583 746223 672246 675962 
"8192/4096" 891793 520950 882675 655359 828908 
"8192/8192" 991542 900322 840897 692879 828308 
"16384/4" 9326 9269 17576 7507 10068 
