Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 15079 5985 24105 29130 29357 34669 34669 32957 26263 25165 37231 8714 22863 31055 17907 24913 30104 32322 32889 32014 
"64/8" 49961 50346 41885 48781 33698 8683 34371 8618 26250 28156 34481 24242 27837 30962 34464 5565 31066 34428 33864 33006 
"64/16" 75111 74590 37164 32921 69492 29411 60203 56337 56443 52937 39798 43564 47765 64842 61968 59934 14756 59921 64515 53603 
"64/32" 103053 105941 98298 94559 104254 30812 113656 97407 87557 31809 119368 106487 107727 99834 102385 105111 103053 93407 35030 43920 
"64/64" 161241 132770 134702 157273 137602 219883 121419 169273 149896 10812 175815 160087 143563 162805 62750 143793 184389 155722 50355 171985 
"128/4" 28307 28057 30447 23507 10291 34923 15669 27296 30316 994 38403 35369 17386 23560 15605 8655 33375 6837 16612 12577 
"128/8" 46310 46394 50634 48762 55577 33951 9475 27078 30309 29991 34180 31722 26689 16204 13729 13510 28920 13264 10249 32561 
"128/16" 88580 87784 89258 80360 78377 69338 64513 30397 16804 46191 63998 28331 25476 23604 57661 44198 54722 64715 42353 60378 
"128/32" 127226 106042 117097 124743 129685 128752 108925 102070 28206 107571 103646 40366 37947 102734 48485 74032 95108 120298 99998 18419 
"128/64" 157080 154414 170391 162451 11800 158238 68227 161815 58211 5749 204459 114086 134729 149888 167363 39000 127347 86538 91822 42782 
"128/128" 184694 192164 151111 201542 187402 259633 50976 203221 49454 5408 235696 67295 199743 229451 193341 231030 216235 30511 44213 231030 
"256/4" 31193 30036 14632 26426 14484 31702 8974 11221 8803 25865 14833 14790 15989 10611 15221 8564 12560 17790 10618 8649 
"256/8" 41531 42709 53367 46250 50335 35053 14064 11804 18037 27849 55883 23025 24820 17345 24608 15213 16967 19393 21906 18554 
"256/16" 82896 93769 90904 67084 75632 64648 62059 27556 25221 41204 76489 87191 24839 49719 86958 18510 25707 17717 39758 58515 
"256/32" 120810 127814 118412 133619 143821 115632 66630 53668 63054 97006 130533 121783 137328 53535 110583 92685 115421 74272 34006 86370 
"256/64" 141359 149968 175798 28542 144947 219363 41897 111733 61434 110628 148742 165374 170440 141285 163585 167751 179022 73736 47258 38022 
"256/128" 196483 183803 204179 187953 202676 264741 83469 88857 60534 120417 191746 207654 191746 200781 195126 69319 160504 61158 115620 137697 
"256/256" 345498 305404 254513 345054 237458 391475 59343 189078 65556 106534 216750 265856 252004 213179 240328 71053 74072 73539 84828 79898 
"512/4" 14668 14418 14508 14706 19178 34982 8452 8773 6919 9938 19892 23831 15022 14302 14828 11708 7345 8899 10379 10578 
"512/8" 26183 27082 33952 29936 58374 35010 25607 14991 16757 11795 27580 34092 26669 28669 16738 13344 17923 24691 17297 21517 
"512/16" 86897 86411 91742 90075 96495 73151 61178 41097 26907 49310 97282 93467 99842 54288 95827 51272 29552 35293 55083 38137 
"512/32" 122869 138076 136749 136462 129033 129064 28962 55634 108017 93398 135199 130714 118189 71397 133294 62113 93756 51477 60540 74635 
"512/64" 68047 166448 167212 166875 188230 209065 153800 57181 40468 53083 197910 175050 189142 125248 175221 63886 120925 51401 66754 72860 
"512/128" 206294 213875 190197 201342 54225 271324 25444 81335 61933 62669 214409 217119 219448 186854 189142 82969 77365 92349 59259 40576 
"512/256" 307318 312188 205288 239145 251349 365479 81868 94549 122079 100590 254236 217691 219471 223282 238349 73584 92552 75371 73183 84640 
"512/512" 361845 339051 455960 384384 376500 260686 170275 277208 184907 151842 366289 289933 257158 250120 257807 389050 191332 75261 219740 194821 
"1024/4" 26169 21672 13320 15071 20696 36669 11968 8256 8345 9285 16408 13654 14080 14966 19056 7501 8856 7803 8888 8668 
"1024/8" 35577 17751 29354 28034 25951 34008 13211 14858 18372 15501 19782 35542 30146 21120 30013 13549 17732 17566 20407 16845 
"1024/16" 103123 102186 96231 64427 54185 67497 50572 22975 36911 35469 86890 62918 86830 89588 87165 28321 33741 39950 36213 36972 
"1024/32" 153403 147361 139208 140446 132112 137929 71976 81275 59798 54225 145292 141632 77852 151772 145681 48167 39886 93483 47879 64382 
"1024/64" 176552 190829 195600 182890 177560 226148 77405 67275 99737 95150 182076 97403 182766 180151 170099 44920 102420 79085 65239 76733 
"1024/128" 212929 228118 226805 216711 204348 306503 49278 67649 72250 69673 224165 225105 226697 213427 225199 60819 75875 73011 98299 100155 
"1024/256" 293757 285156 178031 294765 121142 388305 239864 78060 62393 77038 261349 248554 149771 259627 208809 78359 71623 89052 86735 119278 
"1024/512" 356286 366909 482591 352369 404239 337739 128531 182820 179018 184074 290498 304763 404582 294179 273272 156147 143900 151997 212982 164603 
"1024/1024" 431143 492270 610617 485756 630148 452301 238466 415421 311076 291821 370741 355814 398279 435559 404734 227153 203371 201652 311143 203333 
"2048/4" 20808 12597 18846 15078 14489 35027 9803 9540 10244 19621 22916 13880 21711 20392 23886 9287 10769 8599 9181 8425 
"2048/8" 32072 33804 29021 35603 34197 35052 19601 17318 20682 23423 29118 31533 30468 34347 33084 16396 15910 17648 19539 16262 
"2048/16" 98343 75313 89871 74065 65024 71598 38933 28508 34954 73974 67868 72303 71217 63266 88058 32450 30231 61779 31031 42134 
"2048/32" 142797 102077 103848 128781 86223 124362 43514 44265 62557 131544 99479 108936 88723 138989 97611 68403 83735 54517 104971 124272 
"2048/64" 191062 191223 186653 191599 188927 165948 60841 130711 86635 198929 180503 160854 199901 145590 115380 46886 95969 90820 153419 73064 
