Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 4018152 3958892 6271021 2689580 5735102 3791156 3738358 4897948 4274062 5860307 3588436 5860307 2892445 5283570 2133730 3791156 5860307 6421025 5389653 5860307 
"64/8" 3958892 3738358 7940539 4018152 4564786 2772930 7100397 4274062 3791156 4274062 2662899 6271021 6421025 4018152 7100397 4564786 7940539 7100397 5860307 4018152 
"64/16" 3738358 4564786 4274062 3363612 3363612 3203069 7940539 4564786 3791156 4897948 4274062 5283570 3738358 5735102 7940539 4018152 4564786 4207076 4897948 6421025 
"64/32" 4564786 4274062 2892445 4564786 4897948 5860307 7100397 7293312 4643754 4564786 3958892 4897948 4564786 4564786 4564786 5860307 3791156 4018152 6421025 4564786 
"64/64" 5735102 4564786 4564786 4564786 4274062 3541098 3738358 4988978 4564786 4564786 4274062 5389653 4897948 5283570 4897948 5735102 3541098 3791156 4564786 4988978 
"128/4" 2843510 3657016 3297617 3359523 3657016 4759253 3124872 2969325 3359523 3445772 3867787 3560017 3560017 4934216 5325799 5603747 3468030 5325799 4759253 3468030 
"128/8" 3657016 4104338 4267461 5784891 4407601 6727225 4717434 3759450 3759450 4233807 6406138 4407601 4407601 4444086 4717434 6727225 5122535 3468030 3867787 4407601 
"128/16" 6114306 4135958 4407601 5784891 6406138 7917784 4596273 4104338 4407601 4889281 6727225 4267461 7476717 5325799 5122535 4557257 4934216 4934216 4889281 4267461 
"128/32" 4934216 5325799 7082197 5122535 6114306 7176872 4557257 4759253 6406138 4934216 4934216 5325799 4889281 5122535 7082197 7082197 5122535 4407601 2905056 7082197 
"128/64" 7176872 5379161 6727225 7082197 4557257 4267461 4557257 6406138 4759253 5379161 4267461 5325799 4759253 4557257 6114306 5325799 6727225 7917784 7082197 5603747 
