Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 3541098 3791156 4897948 5389653 3057153 3541098 5283570 5389653 3363612 5283570 3057153 5860307 4564786 5389653 3791156 2358717 5735102 6421025 5283570 5860307 
"64/8" 3541098 2892445 6421025 3541098 4207076 3057153 7100397 4897948 4897948 5860307 3588436 4018152 3791156 2561267 2923952 2358717 3363612 4018152 3588436 2561267 
"64/16" 3203069 6421025 3057153 3541098 2662899 3057153 7100397 2772930 3738358 4564786 2801873 3791156 2892445 4018152 3791156 3541098 4018152 6421025 5389653 3791156 
"64/32" 4897948 4564786 2298136 3203069 2561267 4274062 4018152 3588436 3203069 3588436 2467108 2358717 3363612 2379626 3022727 3738358 4207076 4564786 3363612 3203069 
"64/64" 3588436 3738358 3203069 4897948 2662899 4897948 3165299 2772930 3203069 3363612 3363612 2379626 3363612 3791156 2467108 3541098 3057153 3022727 5283570 3363612 
"128/4" 2727923 5122535 2673584 2905056 3053774 3867787 4012317 3468030 3359523 3468030 4934216 3445772 3657016 4267461 2843510 3759450 3560017 5122535 1997245 3468030 
"128/8" 2784517 3560017 5122535 4759253 3759450 5784891 3867787 3468030 5122535 3657016 5122535 2985839 3785961 3560017 3657016 3657016 3785961 3468030 3124872 3759450 
"128/16" 2985839 4889281 3657016 2985839 3759450 4934216 3867787 5122535 3759450 3867787 3785961 3199360 5122535 3759450 5325799 4012317 4012317 3867787 3759450 4012317 
"128/32" 5847904 4267461 3895854 4135958 4012317 6727225 3277486 3895854 3867787 4135958 5545860 4104338 5122535 5545860 3759450 3867787 4135958 3124872 4135958 4267461 
"128/64" 3867787 3124872 3759450 3759450 3657016 2969325 3359523 5122535 3759450 3106789 3053774 3785961 4557257 5325799 4889281 3657016 5122535 3867787 5325799 4012317 
"128/128" 5325799 4135958 4012317 3199360 4135958 2985839 3895854 3759450 3124872 3199360 2969325 3199360 3895854 3053774 5325799 3297617 3867787 3759450 5325799 3895854 
"256/4" 3410808 5455847 3557725 3368013 5117791 5687020 3935921 3087188 3511189 3770085 4572895 3197509 3605511 3123106 4819184 3465855 3123106 5217259 3605511 3770085 
"256/8" 3605511 4264168 5117791 3410808 3245838 3159869 4070199 3326279 3705040 3879045 3823789 5687020 4054829 3879045 3879045 3123106 3368013 5320671 3770085 3823789 
"256/16" 3810220 3499745 3368013 4819184 3410808 3245838 5022044 3994490 4840911 4132864 5022044 5687020 4734192 4496299 3935921 3667079 3368013 4281170 5117791 3950402 
"256/32" 3879045 4264168 3499745 4070199 3545976 3052087 5569035 3605511 4496299 6249745 4009406 3654598 3605511 5428265 3605511 5938650 4070199 4132864 4332998 6107548 
"256/64" 5347168 4264168 4070199 5938650 5687020 3879045 4070199 3557725 3935921 4652146 3368013 3605511 5971678 4132864 4070199 4070199 4070199 4264168 4070199 4332998 
"256/128" 3454704 4264168 5022044 4819184 5810112 3410808 3994490 4054829 6398720 3717869 3935921 5455847 4197489 4070199 4117018 4132864 3499745 5455847 3557725 4070199 
"256/256" 3605511 3654598 4070199 6107548 3705040 4054829 4132864 5569035 4264168 4350555 3368013 4350555 5347168 4197489 3605511 5938650 4734192 4404088 4197489 4132864 
"512/4" 4195896 6395018 5384786 5566231 3710197 3684733 3628697 3678421 3849877 3736016 4973263 4030519 3346002 3795443 5331314 4340054 3628697 5019764 3366987 4827914 
"512/8" 5968453 6843354 5951911 3580298 4973263 4091959 3556580 3822466 5624545 4305250 3372274 3905895 4305250 4061007 4061007 4784885 3934520 5331314 3941742 4340054 
"512/16" 5624545 5177083 3815675 4494470 5886650 4228947 3684733 4131319 5331314 3742527 3504346 4000485 6395018 4131319 4457157 4068701 5509113 5331314 4061007 4494470 
"512/32" 4000485 6338392 4000485 6414119 3913012 5951911 3795443 3849877 5079126 4271001 5331314 4411377 3849877 4305250 3877684 3762197 4163357 5624545 4262523 5331314 
"512/64" 3710197 6246213 4262523 6174377 3905895 4163357 3795443 3822466 4195896 3659616 5744919 3822466 4701087 5164632 6319739 3877684 3822466 3905895 4163357 4262523 
"512/128" 4061007 3510074 4038098 5822804 3788747 4375425 3905895 4262523 4305250 3736016 4131319 4927617 4305250 4271001 3877684 4271001 4228947 3684733 3934520 4305250 
"512/256" 4916336 6395018 4375425 5886650 4000485 5624545 3905895 3970896 3877684 6174377 4195896 6472112 4262523 4296637 3934520 4228947 4228947 6086873 3905895 5453155 
"512/512" 5886650 7410080 3970896 4068701 4061007 4195896 4262523 4271001 3934520 3877684 6018636 4411377 4305250 4331300 6571132 5760329 6491676 3934520 4305250 3970896 
"1024/4" 4920874 5417427 4304412 3821805 3655895 4199201 3863055 3725664 5096034 4079544 3880507 4110780 4265934 3712781 6172653 5303701 3696803 3544270 3751699 3849207 
"1024/8" 3923040 6489770 6692005 4232305 4574926 5507740 4064103 4064103 3709575 4211554 3458646 5821271 3791442 4433259 6692005 4415030 3735385 5444898 4079544 5782087 
"1024/16" 6128613 4949226 6163794 6830356 4374559 6609617 4876180 4211554 3999762 4321737 3808251 4876180 5623115 6787181 4146499 4142499 4110780 4146499 3849207 4304412 
