Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 1828508 2467108 1879725 1780008 1828508 1599680 1768283 2379626 1879725 2561267 1105556 2923952 1304314 2662899 2067979 1947927 1460430 3057153 1638743 2772930 
"64/8" 2379626 2067979 3363612 3057153 2133730 2444640 2379626 2467108 2006158 3057153 1421755 3022727 2067979 3541098 2278628 2561267 2067979 2203800 3057153 2052169 
"64/16" 1599680 2358717 1933893 1780008 2379626 3057153 2561267 2561267 1828508 2358717 1879725 1933893 2561267 2561267 4564786 2772930 2561267 1828508 2358717 3363612 
"64/32" 3363612 3363612 2923952 4897948 3541098 4018152 4274062 3406295 3363612 4564786 2801873 3363612 2444640 3541098 2298136 2561267 4988978 2379626 3203069 4564786 
"64/64" 1991276 2067979 1828508 2467108 2358717 3363612 1879725 2561267 1879725 1780008 2379626 3738358 1879725 3791156 3057153 2561267 2133730 1828508 3363612 2662899 
"128/4" 1622919 1705404 1618028 1467639 1705404 1967960 1710838 1642783 1598754 1705404 1939522 2464907 1705404 1526043 1808829 1778862 1705404 2464907 1508887 1663139 
"128/8" 2132084 3380677 3380677 3124872 2166499 3657016 2202044 3560017 2098744 2202044 2367096 2409592 2673584 1858934 2326073 2409592 3199360 2132084 2202044 3277486 
"128/16" 3657016 3759450 2066432 3560017 2621367 4407601 2727923 2608629 2558895 3380677 3657016 2175277 2608629 2558895 2066432 3560017 2558895 2558895 2098744 3657016 
"128/32" 2608629 3199360 4596273 3036502 2673584 2985839 3380677 3053774 3759450 3982553 4407601 3124872 2511022 3124872 3106789 2905056 3199360 4596273 3053774 3867787 
"128/64" 7176872 5603747 5603747 6114306 3199360 4012317 3199360 4012317 4267461 4267461 3982553 4135958 4012317 4267461 5545860 3053774 3053774 4135958 3895854 4267461 
"128/128" 2286447 2367096 3036502 2784517 5122535 4104338 2326073 2608629 2211113 2969325 3359523 2409592 3982553 2558895 2326073 2727923 2336194 2985839 2969325 2784517 
"256/4" 1686137 1743637 1707589 2582316 2330140 2849590 1600674 2266207 1479379 2533571 1707589 3017775 1707589 1445521 1598292 1673001 1981783 1570244 1629830 1743637 
"256/8" 1938842 2266207 2210228 2081678 2223962 3159869 1970871 2114473 2081678 2205688 2872459 3197509 2205688 2097948 2034350 2165650 2842047 1707589 2392442 3009318 
"256/16" 2205688 3770085 3159869 2943325 2458168 3617659 2413957 2582316 2812272 2665657 2170027 1938842 2783115 2392442 3326279 2187712 3087188 2533571 2975955 2639446 
"256/32" 2486631 3123106 2943325 3017775 4197489 3879045 2000242 2842047 2699161 3511189 2486631 2975955 3123106 2205688 2975955 2588541 2719671 2726577 2911402 3078337 
"256/64" 3316006 3159869 4840911 3454704 3368013 2754556 2533571 3557725 3197509 3454704 2812272 3454704 4572895 3368013 3823789 3454704 3123106 2975955 2943325 3465855 
"256/128" 4350555 3935921 6554972 3879045 4819184 3654598 3756894 3810220 3994490 4652146 3605511 3410808 6554972 4496299 3823789 4332998 5022044 3499745 4197489 6107548 
"256/256" 2613746 4422226 3705040 3123106 3123106 3950402 2726577 2975955 4496299 2754556 2509882 3605511 2911402 2726577 3879045 4070199 3052087 3017775 2392442 3078337 
"512/4" 1725155 3099691 1821745 1954379 1753325 2995907 1679288 1747618 2625909 1766304 1848401 1910902 2722449 1753325 1730717 1736314 2494736 1630828 1642050 1963313 
"512/8" 3710197 2548017 3201349 3934520 2625909 3201349 2024389 3163620 2235086 2105777 2449212 2265742 3284589 2483197 2263354 1854787 2668325 2116152 1797349 2350044 
"512/16" 3768799 4296637 3459188 4271001 2575520 2427068 2483197 2474613 2405320 2597325 3762197 4296637 4000485 2402629 3884698 3431550 2391924 2039772 2370799 4195896 
"512/32" 2497638 4068701 2722449 3284589 2910635 2796910 2225819 2796910 3710197 3970896 3140488 2860238 2625909 2894940 2651850 3736016 2768068 2695115 3941742 4340054 
"512/64" 3046915 4571003 2708713 2926501 3163620 5127637 2995907 3220553 3104171 5278892 3437042 3081897 4262523 3158966 3140488 3822466 3029721 2891043 2782414 4420457 
"512/128" 3325278 4827914 3556580 3822466 3481620 5278892 3325278 3145087 3299730 5019764 4660280 4532414 3145087 4457157 2991733 3284589 4610256 3158966 3481620 3459188 
"512/256" 5870558 4610256 4690818 4610256 4610256 4610256 4195896 4195896 4163357 4532414 3970896 5115422 4131319 3742527 3762197 4123387 5760329 4131319 4532414 6319739 
"512/512" 2750343 5177083 3196584 3201349 3239989 4375425 2926501 4701087 2922519 3158966 3481620 3244885 3264616 3086326 3604335 2875558 3122224 3104171 4375425 3086326 
"1024/4" 1872419 3048658 2744728 1947119 2625597 1888889 1903117 1790460 1822368 1874871 2468647 2659742 1868347 2522288 2760606 1777861 1777861 1715375 1701108 1796451 
"1024/8" 2207295 4048778 2419964 3345496 3594699 2425431 2375790 2271501 2310605 2934110 2414523 3778101 2044438 2952261 1973059 2331932 2353657 2260740 2306882 3259181 
"1024/16" 3436508 4451639 4195100 4339202 4029784 2746483 2744728 2789291 2638501 3458646 3529706 3074849 2774874 2844715 3696803 4064103 2640123 2522288 2565989 3142339 
"1024/32" 4114719 4512441 4715569 2968586 4415030 4470172 3160839 2638501 3012308 4428688 3029305 4304412 2892612 4033569 4232305 4265934 2892612 2813041 2861774 4317393 
