Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 1143223 901377 1828508 1163036 852702 720041 1780008 1049372 1163036 1599680 1124074 1526887 1002351 1452528 1392258 1599680 1049372 1017549 929467 1083249 
"64/8" 1421755 1734015 2379626 1947927 1124074 1638743 2444640 1828508 1232453 2278628 1421755 1780008 1460430 1392258 1255511 1330167 2379626 2467108 1879725 1421755 
"64/16" 1599680 1392258 1991276 1279447 1933893 1357066 2662899 2203800 1363961 1734015 1452528 2133730 1279447 1279447 1518251 1163036 1518251 2467108 1484662 1357066 
"64/32" 1492919 1599680 1679761 2358717 2379626 1183548 1828508 1679761 1638743 1780008 1421755 1828508 1526887 2203800 1638743 2278628 1553394 2467108 2298136 2561267 
"64/64" 1734015 1933893 1310683 1933893 1484662 1526887 1255511 1232453 1226821 1648808 1484662 1392258 1304314 1518251 1163036 1484662 1392258 1304314 1330167 1828508 
"128/4" 1102844 1085013 1040839 1487977 1057236 1185654 1424795 1040839 1076312 1024942 1162547 1114289 1105114 877518 1024942 1727352 1093856 1220700 1030846 1085013 
"128/8" 1543594 1231904 1332828 1878447 1243315 1778862 2377579 1772988 1332828 1254941 1471662 1637771 1622919 1622919 1231904 1471662 1291158 1291158 1827299 1291158 
"128/16" 2004703 1911894 1065630 1521718 2248149 2621367 1561553 1827299 1487977 1579934 1684006 2166499 1471662 1727352 1391557 2784517 2004703 2166499 1543594 1557024 
"128/32" 1663139 1684006 1622919 2511022 1658003 2727923 1727352 1471662 1778862 1772988 1598754 1727352 1778862 2035099 2727923 2660335 1732927 2608629 1622919 1778862 
"128/64" 1705404 1705404 2420455 2377579 1684006 1727352 1618028 2286447 1637771 2464907 2286447 2286447 1663139 1802755 1749872 1749872 2326073 2784517 1598754 1939522 
