Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 32241 31919 32144 32018 29711 35012 25848 36617 34976 35316 19470 27791 7155 31066 27244 24419 35067 35067 28737 38741 
"64/8" 61954 60379 53872 60488 61485 34989 34898 35512 8254 30243 33454 29251 35792 43325 31555 34261 31637 33580 34953 30679 
"64/16" 104538 105276 100469 94793 95399 12856 61768 66595 66529 63552 27924 75833 66529 102229 60955 75280 57867 70812 64655 65715 
"64/32" 154556 152018 146461 137040 137320 119634 123771 93832 9864 82575 34023 114676 101113 126751 110932 115914 91559 99060 109618 16636 
"64/64" 189867 193285 188269 206519 169701 202469 185536 162019 176741 6294 60886 181767 162510 151675 155362 198869 181276 174444 156905 217039 
"128/4" 29385 28218 31105 29411 32104 14767 8139 8309 37340 687 27561 31627 28028 31173 30253 36046 37371 17815 27022 8036 
"128/8" 56561 53538 61301 55629 61924 13810 10248 35505 33934 28113 41342 37079 43538 58078 28596 11744 31918 35379 33421 35172 
"128/16" 88580 102070 92153 69680 102479 71233 71072 55411 27880 60692 82955 85860 70098 78768 35330 65673 62348 77017 66183 70135 
"128/32" 152571 130758 146974 151495 146613 138984 117200 112179 44046 112579 149679 135888 44198 114378 116261 128382 114183 121910 103807 114281 
"128/64" 206504 207783 215541 206107 210471 186815 193899 35526 38719 8152 211216 169316 167782 156257 34857 20578 177254 32963 171589 32762 
"128/128" 196597 239695 242949 232230 205162 80917 277624 35400 261148 10262 227313 202226 227313 311445 260768 232330 242949 39071 38955 283188 
"256/4" 32189 31999 32278 29489 28816 37981 8058 7607 9971 26702 30267 20633 16760 31272 18620 8251 15381 4928 5058 8113 
"256/8" 62224 61012 60822 61624 58594 35044 19946 12903 13272 27838 40442 27657 15652 24594 27684 13417 12863 10726 18764 9029 
"256/16" 99449 84801 103555 94016 87106 67084 21469 24558 17414 57787 83282 79874 76147 96971 51353 18535 26697 37734 20804 20283 
"256/32" 130469 157352 151748 150409 147800 124697 25974 128318 37959 109355 118360 125366 50484 128702 129353 51864 69078 66996 75894 58248 
"256/64" 169766 200145 199069 194666 191746 181688 56202 153835 45722 80298 181811 55675 75314 169659 160097 64875 63318 43077 67298 35300 
"256/128" 241735 216183 231021 227352 208825 317693 84071 78836 87883 71208 242883 71569 78964 267512 92589 42132 80910 63396 236153 291239 
"256/256" 277610 255239 255482 246621 254211 224172 81524 71270 69114 73268 373760 88027 401277 78165 285736 100907 69225 74899 268649 70465 
"512/4" 30483 30208 17886 33357 34254 35391 9612 13020 8076 11616 29889 21201 16930 32124 16734 14051 13622 14372 9199 7528 
"512/8" 55973 55598 62007 62461 62507 34629 9105 13206 13434 13833 39692 35679 38911 45665 22679 15642 13806 13682 15471 18276 
"512/16" 89714 97898 106133 105177 107428 74343 20120 23229 28403 29371 79354 66416 86241 77751 51920 24346 44865 19452 24102 19415 
"512/32" 126921 138263 162752 159642 159547 125732 91922 38418 72175 96274 128739 119292 84982 151928 67941 66329 68799 30693 46272 70776 
"512/64" 192051 178766 178335 184304 177524 216681 190687 160298 157096 208214 192481 138112 168976 190839 188378 71210 106819 107112 122427 50946 
"512/128" 224754 215226 209739 214774 251349 303840 195264 47953 68956 77457 262856 235810 237479 78144 286682 49747 70368 103854 50279 51251 
"512/256" 314290 266509 253485 281165 259771 367040 283653 79182 80515 72408 421421 163421 297690 296662 157257 79838 76863 75406 74395 79392 
"512/512" 367795 370715 404132 359062 393542 364424 154597 175336 163995 137045 490426 504482 149050 161309 136976 174269 147251 173089 146168 144720 
"1024/4" 32071 31618 26783 19946 31999 37280 9730 8469 9423 7128 26321 14452 24398 9366 12222 7934 10732 8040 12095 8923 
"1024/8" 57152 56746 55107 55537 60129 34820 17904 16227 19924 32123 37533 16369 27807 30562 23275 16424 16959 17913 11416 17309 
"1024/16" 99301 98130 98983 93405 102164 71614 35001 32568 35222 29685 73221 59782 48953 56032 50200 33501 34960 37403 33539 30054 
"1024/32" 154241 153059 148749 152857 154124 134382 68655 77710 93379 55247 137137 58464 99377 145228 119864 49521 73526 73012 129192 67890 
"1024/64" 184604 204310 203256 191981 204465 231774 37466 45257 37635 192411 191578 95656 99871 147462 162179 141534 54226 62412 46854 63801 
"1024/128" 237648 226637 233894 228835 231101 343740 48883 45424 60054 94676 286029 197917 189207 160374 97347 77207 103696 53010 77564 140368 
"1024/256" 338965 354317 256388 321315 254791 362848 71091 80713 72820 78227 395055 202175 212887 360050 167237 75079 75829 81991 76140 77161 
