Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 11070 13611 14938 14433 15369 79682 76459 19741 18984 73729 76481 70237 73810 20486 60028 93310 31130 22207 17008 94659 
"64/8" 1300 24501 22996 22947 19808 13138 128265 19576 18806 116115 34424 86849 121419 20056 131148 3130 30858 22130 16895 116771 
"64/16" 37602 37739 43248 40428 41696 17348 144102 19602 18653 254006 161144 156905 162411 19882 164099 32064 30445 21813 16864 216165 
"64/32" 51574 56148 54975 56089 50073 222066 225423 19013 18713 173991 282027 233461 192178 20151 230257 216863 27754 21291 16401 199906 
"64/64" 118315 126512 103212 118107 102895 344233 279676 18901 18481 240575 269837 363337 231050 19416 313664 351444 28521 20638 16031 388021 
"128/4" 16256 13365 16078 12842 15638 64513 71949 19095 18901 66110 71035 92567 64684 20418 67363 22582 29969 21603 16565 92678 
"128/8" 23965 21724 25018 25630 26457 33022 104230 18932 18798 141587 130504 101587 100147 20326 100711 146613 29934 21432 16567 151838 
"128/16" 51322 58312 48284 43880 46713 197538 211549 18876 18631 129279 206742 153094 165608 20418 162255 203838 29635 21393 16514 212975 
"128/32" 76283 68928 73184 77719 73274 340480 288981 18965 18502 284388 250897 209159 233239 20263 227313 239695 28679 21073 16402 268999 
"128/64" 103727 88639 96458 108200 93845 303350 1869 18694 18290 258135 311445 267791 277624 19835 274641 222232 27777 20595 15682 300464 
"128/128" 147459 182373 169530 159412 157034 416888 2052 17538 17952 282592 402510 298293 404025 19955 304727 299792 27966 20340 16288 304727 
"256/4" 16437 15327 10371 15583 9420 94997 2225 19227 18422 78165 14152 12292 12762 13138 11325 71208 29147 20892 16758 75515 
"256/8" 23366 28215 27781 23677 26865 138765 2555 19191 18199 120756 33626 59895 66338 22000 83385 129619 28641 20840 16727 72112 
"256/16" 46093 49229 44801 41190 47233 204296 2820 19348 18172 223193 55869 53423 24381 26369 44693 143264 28599 20555 16724 213858 
"256/32" 65809 70405 89884 64598 92517 280731 3136 19284 18058 290844 78216 71170 86754 37085 84071 171010 28428 20497 16686 301544 
"256/64" 84156 87461 124943 87732 116107 350231 3318 19158 17922 300447 109724 108845 104026 105529 104066 243821 27690 19950 16735 262605 
"256/128" 169338 150577 163884 166013 149446 391475 3493 18501 16782 310347 150599 130739 148413 150135 137415 340459 26935 19249 16472 376512 
"256/256" 245213 265593 216619 259370 209314 448362 3675 18773 17271 418971 208460 191746 210710 179892 185229 566377 27533 19785 16709 454627 
"512/4" 10937 14909 11062 12892 10964 77493 3989 18682 18161 69812 35063 17742 15944 22808 20481 81089 28251 18936 16603 68548 
"512/8" 19462 20211 31208 18228 33249 137634 4478 18908 17683 101407 20664 20386 31789 28297 21566 102237 27844 18532 15463 91247 
"512/16" 49679 48243 56134 51587 56870 241051 4904 19417 18138 150322 55506 57664 50344 44363 53410 196767 27341 19630 17207 106734 
"512/32" 71120 70069 77178 84737 67582 310293 5105 19401 18515 132676 93925 82418 73870 28630 73627 242439 26965 19401 17296 266940 
"512/64" 104531 111425 106958 112653 111373 375906 5607 19271 18361 187474 115731 119067 119985 34060 134555 218422 26232 19165 17255 146039 
"512/128" 153899 140039 147261 140857 156913 388768 5858 18533 18023 148278 159004 158804 160250 152468 155380 209821 25492 18802 16699 159405 
"512/256" 225154 210789 225651 209494 201022 574069 6032 18790 18090 150407 211038 206790 184780 193139 164472 147849 26381 18718 17381 139548 
"512/512" 268878 236173 338837 277065 42236 693003 6269 18845 18766 152154 263371 262856 249625 213769 258334 184558 26914 19102 17483 195495 
"1024/4" 14695 25592 11298 15970 10721 81540 61039 19614 18888 63650 20507 20072 20144 13556 20369 76560 25830 19429 13576 76526 
"1024/8" 23326 21927 30841 25641 26617 126999 77847 19599 19686 102987 20449 27942 23150 20692 12754 86772 26483 18763 17705 93695 
"1024/16" 59549 55692 56810 57303 50441 220347 133717 19379 19576 139638 54384 61127 51990 56583 51336 88170 25213 19031 18168 145701 
"1024/32" 82249 82280 80884 73284 75571 338858 151611 19948 20131 97933 92981 91839 96033 103133 79570 89393 24816 19009 18237 159481 
"1024/64" 119878 125783 116708 124908 110918 430064 132247 19818 20077 129032 134437 121950 129211 114530 130614 34406 24538 18709 18185 98594 
"1024/128" 155458 151879 159351 151772 154635 500007 135433 19379 19472 113889 163035 180918 162923 165135 146013 102945 23700 18424 17656 165084 
"1024/256" 229753 222793 205748 235021 200084 514625 137969 19385 19777 224669 205168 207028 231724 214268 199452 148626 23624 18589 18313 99640 
"1024/512" 258580 250306 294947 256189 290577 639150 154169 20183 20584 141866 254474 243453 287484 249695 260367 153152 23203 19062 18733 100759 
"1024/1024" 372768 369561 377022 457943 361079 815323 155689 20750 20931 170470 354961 332458 435736 342807 331074 107414 23455 18856 18903 182665 
"2048/4" 16255 19151 14838 15068 10398 74015 66053 21064 20835 70307 15391 18372 20937 16725 20635 71197 15191 18458 19041 44432 
