Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 29036 30798 29767 30696 28059 33971 33932 9263 31112 24922 34135 29318 26502 23738 26328 7865 25245 37803 28206 31294 
"64/8" 55406 57397 45646 43684 50317 35164 8392 30274 25276 24326 34318 47621 52502 50355 50280 33753 30710 34040 34535 15948 
"64/16" 92220 93051 91186 79002 86125 69854 62255 61177 68674 55077 62560 87930 85467 67078 70256 72066 56586 57544 71037 55224 
"64/32" 155722 136205 139171 112513 140409 118734 95264 110158 113656 127777 133629 98443 127473 95535 128265 143871 105276 90908 111485 110932 
"64/64" 188798 190541 211899 201255 193424 226948 129316 156084 155722 6560 14545 180788 169809 159991 165312 8160 174898 180788 210569 176392 
"128/4" 28842 25786 13167 26643 13467 33594 32063 11772 29575 1315 30659 14112 13486 13319 13220 33464 35935 37549 10095 32668 
"128/8" 54489 54633 58471 54700 54677 35496 29451 33204 12224 30060 55623 51509 52894 47545 52936 34435 26999 18496 15910 16318 
"128/16" 94472 100711 88962 62955 96096 69490 12315 61632 26811 55172 96320 89511 83666 68123 93016 71185 66045 60664 53468 64197 
"128/32" 143517 19897 154994 31896 128906 122383 32686 114696 94059 16638 150941 105417 138518 130346 129810 12397 119735 17630 101414 27384 
"128/64" 191889 124511 178255 198487 194532 193969 101587 170445 209485 5514 173699 145461 150223 161231 184124 176788 38130 157264 97280 176323 
"128/128" 200939 262810 218080 200939 200638 257022 35604 228571 305421 10474 192164 216235 245280 192164 201240 240986 239268 237049 242839 315286 
"256/4" 17114 23249 15187 22214 25780 38706 13971 8650 12627 1499 28412 15176 24288 30117 21315 27153 27789 11137 8966 36539 
"256/8" 27130 28122 31872 26987 57129 31075 29452 26468 19564 27807 52946 53420 52915 26053 53612 30277 13503 25236 8846 28548 
"256/16" 103515 102516 101069 82028 87948 64385 9304 25391 62788 55747 91298 69301 76582 21174 91360 12565 21076 13461 55254 32619 
"256/32" 155057 146210 145793 150683 151641 111548 71015 37312 85790 87876 137415 136681 137715 112471 138229 101701 57285 33315 36328 113170 
"256/64" 202371 196915 208299 187297 160312 198921 62976 55980 54959 57221 171255 149279 172743 208501 150514 63475 168752 113927 35466 105695 
"256/128" 240167 218248 226346 67404 222776 263636 69846 127178 62362 66684 241517 109255 23628 198627 215489 118517 71746 37345 41336 166994 
"256/256" 276466 253671 271434 247075 240167 295649 78767 69247 79679 78239 325296 278257 34891 21770 288966 77038 67277 73119 221444 67084 
"512/4" 37811 24056 28903 22240 25608 37128 10481 13851 14734 9550 15962 31439 18915 34576 27516 14860 13188 13626 21248 10193 
"512/8" 28168 28587 34138 34432 57514 34944 10099 13303 13461 10396 49829 32547 34256 40904 31916 17284 21154 9504 13107 18551 
"512/16" 88673 91938 102398 46874 37948 67351 11257 15291 9908 12054 89793 82050 95152 84527 84004 11658 37512 14028 39717 9779 
"512/32" 110009 121816 135310 127812 124572 117004 61119 76611 58213 104491 135267 115625 129321 134093 126450 24738 40390 42563 29398 39680 
"512/64" 164573 156285 166771 168419 158804 183642 113026 50185 46306 52107 207871 177466 175953 174085 184241 68807 109143 47877 167147 58567 
"512/128" 213939 200309 210541 212626 229583 263792 67218 102953 44417 63224 206790 227854 223096 191691 222703 49221 73924 63921 66440 97613 
"512/256" 314336 300818 252740 293219 247098 341368 24140 76795 79158 320242 220598 319385 264312 260149 264866 80364 72624 74604 125029 73255 
"512/512" 349252 368869 399100 349479 385488 435347 149840 173144 150893 159654 541909 304400 312370 323036 92203 167486 152197 128416 149402 173972 
"1024/4" 36495 28056 24259 33340 23747 35733 11987 9617 9095 13093 25225 28087 40584 19723 24149 11752 14153 16164 11252 11420 
"1024/8" 41561 39856 34580 39869 44334 34923 9211 20770 13336 10745 39793 41512 50500 37629 35276 15439 11671 10528 11313 11597 
"1024/16" 93686 87319 91920 88474 95816 72265 11673 11681 12238 23868 40512 83517 72239 54833 72061 9564 9880 10534 29808 10671 
"1024/32" 138660 141338 133700 141571 141106 139113 34703 33315 85133 37354 136150 137563 129570 149928 83907 40459 36774 27064 104544 33505 
"1024/64" 187612 174387 174685 172739 176734 216133 50396 55607 50563 63927 167590 169957 99950 184105 44009 53436 82969 58290 62583 73347 
"1024/128" 201492 229385 128723 221597 205748 331304 161411 67112 75571 77758 93797 221929 215569 225105 215938 77131 71493 62557 89896 60818 
"1024/256" 321797 317726 254791 318197 250979 376724 70557 79361 94866 74695 302871 140754 248066 261492 251966 101789 77599 78371 76848 75177 
"1024/512" 351763 394004 484660 346653 408623 446564 155762 154563 146202 271544 356908 311143 184739 306481 181814 148451 152153 151120 270825 147129 
"1024/1024" 647241 640007 572066 648511 573671 664464 371543 285630 346066 301447 535879 115705 245093 204602 133297 233411 288372 302957 290086 247765 
"2048/4" 34980 28878 26488 38916 29223 36604 8747 10664 9309 9178 25093 26376 30746 25400 29426 11139 11374 13904 11357 10990 
"2048/8" 40021 41423 43181 40574 44407 35295 12606 10506 9764 34969 25881 40676 40030 32930 27008 11045 13494 9388 9688 9952 
"2048/16" 59807 80639 69957 60176 76040 73597 13251 13505 10423 68355 61760 61483 48672 56081 74074 11980 9502 29148 24947 9683 
"2048/32" 141849 147358 147751 138556 139785 135360 36966 35163 34255 136532 86849 82391 110078 129024 89019 37888 37885 32547 30609 48187 
"2048/64" 127912 190794 185224 195903 194027 213336 62959 64335 54823 202493 176414 178071 156050 183460 182334 70973 58925 60355 58911 64843 
"2048/128" 229310 210311 225998 233874 227151 77222 84873 65212 73082 312057 207412 225927 213707 225157 231411 59605 62023 75546 86735 76578 
"2048/256" 310444 301625 259343 328527 248574 74513 86764 87398 76801 261929 274677 269185 269076 234084 245245 72428 74695 75644 192393 364926 
"2048/512" 360122 361912 441487 369287 422093 152145 198658 279058 152778 469195 385254 249360 289468 440242 360439 149993 148792 316588 129646 455028 
"2048/1024" 512776 277275 569216 530839 543811 274756 104096 265254 94369 566999 425058 176963 488903 178008 158049 272888 316390 505533 151199 307004 
"2048/2048" 708634 660621 747158 710628 819196 341904 334540 572707 642247 740204 634842 252127 776680 250487 103911 348365 428451 538526 601291 95114 
"4096/4" 32798 35827 36874 36023 35352 9972 10051 9599 12368 34934 34892 33176 30999 32375 28889 10361 28592 9870 7448 7706 
"4096/8" 45488 25777 47532 47610 54923 10736 12761 10852 11476 34716 42696 48834 42877 41213 42952 19092 16521 13507 13204 34033 
"4096/16" 73345 77615 72882 73104 64519 16841 13643 31824 22695 74367 71150 63001 76725 60499 57840 12976 17267 11577 24730 72683 
"4096/32" 93341 80309 90251 114856 91103 34749 33355 38416 45557 138317 74145 84938 69761 77943 81974 39001 31232 48449 32750 137127 
"4096/64" 163193 201415 149938 187408 198171 114618 62674 55150 55474 211710 187451 146332 180839 193108 188763 55954 66533 96642 69042 217977 
"4096/128" 234432 229120 236872 238113 244390 68311 65342 66133 55317 342502 236735 233349 191573 224400 221188 189508 66161 87934 70672 317740 
"4096/256" 331173 319027 196290 329231 260459 256466 143190 72893 70979 364514 257724 229212 264836 293623 297978 74570 81060 148680 98494 362254 
"4096/512" 278393 307784 479458 369040 450350 151878 138471 163258 169068 491417 343132 388730 290373 343970 370010 148395 153962 146547 171116 445607 
"4096/1024" 535986 528500 371795 541647 584969 313651 487803 310370 192606 534785 431115 298958 459910 423485 452699 267837 311767 374062 281975 575620 
"4096/2048" 822955 834225 828792 834022 771962 407281 732217 338260 729884 694702 656727 234164 668092 196487 375091 244815 363181 397444 433301 741060 
"4096/4096" 863231 904022 878010 887536 821028 517562 685636 550463 583143 780768 677231 118821 694590 111823 38838 555770 530508 577148 462560 1060302 
"8192/4" 45541 37852 33139 41976 44898 9642 12481 10792 9761 19208 20464 35541 39508 43357 30811 10094 9870 9969 10309 34637 
"8192/8" 64487 69929 56008 56648 58257 33573 11373 11769 23226 34216 67472 59414 59911 59811 58661 20175 28837 11928 22840 34124 
"8192/16" 86679 89949 79012 89226 78965 70495 42319 13726 34245 47249 80656 76897 83061 82784 66995 41047 32876 20588 40373 71236 
"8192/32" 117254 94284 104871 99870 106016 130504 29290 61859 32156 125382 98772 77012 96397 85785 109130 29294 35507 82301 56133 22714 
"8192/64" 125453 121061 145086 118408 129497 217086 212387 58835 56966 210758 114402 137798 139236 148491 109999 131279 63465 58041 56430 219430 
"8192/128" 238632 238715 245483 238694 243990 300447 296950 97022 83391 299645 210672 249300 245785 215482 252706 122618 68388 68449 88657 312705 
"8192/256" 311151 327707 268696 270292 242258 380756 380739 90755 62919 404585 268360 298099 254505 257293 299077 104286 74838 81355 80588 387275 
