Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 13490 11840 13389 14041 16798 17897 78540 19735 18968 92506 95808 82906 59974 20513 64779 95399 31130 22314 17012 74673 
"64/8" 24530 26176 25631 25437 23522 147751 134769 19446 18985 107943 112892 119634 137040 20617 91810 7648 30432 22137 16971 117900 
"64/16" 37985 35168 45483 42327 38814 154646 136482 19411 18828 192178 212570 133363 169701 20207 205099 231848 30260 21627 16732 148077 
"64/32" 59867 56136 50880 54100 50195 267684 274528 18833 18730 182882 297664 188269 227718 19832 181399 40531 28737 21425 16524 231848 
"64/64" 113082 106151 113082 116165 129254 460591 304761 18449 18374 233664 369844 224480 277078 19446 232854 481234 28406 20725 16166 300328 
"128/4" 15851 13563 18456 15033 16038 17765 77061 19101 19002 76555 15314 19674 13887 16223 13407 74889 29892 21621 16408 91369 
"128/8" 15347 26053 24744 28451 26727 131014 98475 19053 18716 110154 31067 30345 25931 21080 21077 157034 29788 21600 16668 135000 
"128/16" 50430 57420 51258 50995 49400 224181 120894 18826 18566 144288 46579 40176 48267 23791 37316 213653 29446 20965 16584 184758 
"128/32" 70025 64228 72152 67228 71670 318465 195737 19075 18467 227699 61653 57218 66290 67085 64552 307696 27711 20755 16420 182870 
"128/64" 100390 90203 103228 105169 94672 75874 1870 18691 18262 245280 88043 88580 92694 82840 95379 330625 27402 20704 16297 225027 
"128/128" 140659 143979 161183 146453 186815 481150 2053 18388 18066 287587 3223 154237 152182 159034 138518 280671 26208 20473 16173 284992 
"256/4" 11350 10477 11106 8756 10344 76483 2373 19114 18421 79063 14464 10272 12062 12541 3308 93362 29131 20918 16756 69114 
"256/8" 26259 34782 27473 24629 37531 143590 2629 19104 18179 133953 33324 24295 29177 20237 28850 130200 28638 20660 16711 141434 
"256/16" 44152 51417 49566 40093 54491 220897 2963 19291 18207 190352 43347 54295 47629 22877 47187 216227 28564 20587 16734 237458 
"256/32" 82634 63445 80250 95453 81972 243821 3146 19237 18008 271777 86929 64173 69265 24850 70387 249254 26961 20383 16708 256765 
"256/64" 104828 111305 94537 100983 96387 280364 3317 19027 17720 308032 105260 114693 108198 115371 118138 276751 27399 20059 16742 226776 
"256/128" 136230 137047 140123 161712 145045 399337 3533 18842 17092 424604 150874 143417 143821 151748 155528 316010 26941 19866 15814 329085 
"256/256" 203329 218648 176433 204140 185229 465466 3791 18451 17724 412215 173441 232976 216053 196771 227545 514045 27723 19857 16481 498069 
"512/4" 17236 16590 9797 15555 8958 94118 4182 19677 18327 71409 18386 20205 23831 12683 18509 78421 28229 20065 17144 76052 
"512/8" 17932 17524 31393 15699 25584 155526 4567 19445 18372 112996 19673 19981 27096 23025 39252 132537 27891 19845 17235 123640 
"512/16" 46414 48892 51795 48057 49084 224542 4927 19423 18532 206711 55208 56171 56888 32759 54643 246276 27731 19603 17185 162789 
"512/32" 76155 80238 72860 81412 81502 302045 5177 19394 18515 262566 98274 87610 83906 47547 87954 195193 27104 19375 17319 226651 
"512/64" 104812 114975 106777 106554 112059 361054 5680 19120 18369 155628 118574 112824 121382 72460 124630 152695 26444 19170 17272 157777 
