Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 2868 31839 28945 31312 28307 16256 25386 34279 10099 32110 35205 27921 28867 27538 24643 5090 32852 36423 34858 16486 
"64/8" 58080 60941 47791 47868 48082 34389 31904 30696 25048 28159 19578 13710 30724 35358 33022 34336 15020 15810 16916 31726 
"64/16" 99686 98914 108467 81745 93570 14365 22947 41670 16214 52125 65031 64068 57299 84101 61135 8742 64717 60271 57397 61010 
"64/32" 152018 134432 152018 126512 128758 113898 120277 94128 120547 85006 138240 129565 95944 106319 109217 25558 17972 91716 19452 115714 
"64/64" 198135 206360 180788 200653 167897 209093 155632 162805 183381 5199 201255 139171 166233 151333 144180 11640 158014 168847 19172 204474 
"128/4" 29255 28045 30784 27652 29816 34753 35135 30483 12139 2068 28014 27101 9185 27526 23214 9182 35232 32634 20360 33050 
"128/8" 55629 48068 54142 54126 49459 18859 29781 32471 29385 27491 40827 33161 30345 50119 28380 34744 28796 29398 31233 33844 
"128/16" 87555 98530 92423 72522 99295 70135 63491 12220 51672 56861 87128 90081 73940 79456 17000 12023 54142 72719 65875 66701 
"128/32" 160797 105874 133622 141923 135580 133191 48634 117097 34078 99295 96964 110722 76457 108836 111111 96027 113772 36435 32520 127984 
"128/64" 209485 207461 209159 199668 202531 162648 164744 39493 156075 5266 183935 150223 162648 177079 174433 33350 169960 156303 172084 33421 
"128/128" 240124 207141 235283 240124 233137 319983 246632 39999 252906 10599 336005 308403 215109 245729 330828 277050 272273 35925 82155 242839 
"256/4" 31578 31730 30977 29466 28412 38594 13202 14317 11091 16623 29832 17310 13517 20124 29843 10332 15964 10256 13294 15343 
"256/8" 59218 58394 59176 56412 58128 31553 34806 11100 12628 27219 36420 11161 42794 48029 17186 11997 11401 14265 21002 10755 
"256/16" 93876 87732 98882 88983 85962 62514 13435 10911 15616 54772 65373 29412 59646 29496 17488 15412 42321 13329 12896 10781 
"256/32" 135662 155438 154233 151748 152394 117531 31980 98609 24434 104828 122074 107429 147800 125366 51737 32561 38995 24339 52578 29592 
"256/64" 175482 176173 183238 194842 194984 196626 40327 66717 59176 55761 187821 159906 74899 186744 157145 155348 64711 34119 76713 112530 
"256/128" 237248 207093 235479 221444 215835 315360 229588 76647 35237 99496 325790 58716 146190 235118 98419 73863 65009 210876 260439 270001 
"256/256" 272605 248792 247588 251768 245943 314437 70115 75916 79109 78193 365740 358534 399337 324020 365242 65725 77087 69946 78171 81320 
"512/4" 29486 28624 30344 31223 31145 35297 10671 9013 11943 15833 29265 20275 11750 31591 15928 10340 17926 10680 24538 11438 
"512/8" 48288 52637 60299 59947 58440 34898 10324 11368 12123 11116 40667 40078 19154 47926 25558 10093 12636 11085 9326 23427 
"512/16" 93532 96425 45078 98554 100331 73564 10680 10413 19752 10414 75095 51728 79381 73690 40071 12104 22247 11212 10787 26171 
"512/32" 121816 138862 148196 152608 152468 117865 54736 37193 38389 107225 116921 71889 110798 82634 76179 35642 46351 27743 64377 28121 
"512/64" 165690 196246 177774 163995 172159 216484 97618 156524 99054 154120 182860 131991 166293 171691 106575 76236 52848 50329 145910 51659 
"512/128" 212710 215485 51654 225533 242193 300649 69058 49103 87638 91495 276887 289114 181164 144341 238243 69227 52637 264866 68605 73436 
"512/256" 314290 313327 248528 278864 243125 341803 287796 80454 76076 76225 411253 278106 119180 325731 158511 72695 76417 74919 385212 72450 
"512/512" 342894 382604 395353 365479 393253 470649 137563 144837 147120 166293 731480 372904 160549 154076 149277 141088 167539 134345 143062 152935 
"1024/4" 30184 29133 30350 29017 28885 35789 9685 10442 10966 10822 26883 15948 27997 13280 19083 11299 14111 12989 11583 14381 
"1024/8" 57031 55803 56366 54317 58165 35019 18419 12090 18144 19057 37576 30682 31051 32633 19217 12807 9925 9084 9572 13607 
"1024/16" 100441 93134 98396 88656 102400 71633 10119 18903 17050 10551 71111 63720 51272 38496 66013 10950 19001 9456 14104 10813 
"1024/32" 154869 153755 63856 148837 87135 134719 31143 30860 132708 32592 125320 104521 117822 116870 48379 36705 34133 40097 126060 36995 
"1024/64" 191399 173059 182045 176610 186625 228677 116018 102535 49878 84879 192774 185409 159451 133996 128254 63753 73870 79060 61752 56174 
