Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 838 3164 15675 12374 3014 32420 81944 16060 15440 59535 32471 13403 14949 14112 15009 5821 30063 22130 14212 79706 
"64/8" 23409 3248 22384 22727 24844 125448 116822 19440 15758 124286 24798 24352 31127 5135 28430 34464 30432 22068 14209 118524 
"64/16" 28493 36737 40324 40355 40198 22053 161144 19270 18894 198135 160374 35730 41911 33475 38414 245190 30682 21599 16701 123543 
"64/32" 47478 53742 39552 36970 36762 204474 167583 18811 18614 164099 228688 56479 49924 37206 48923 4502 28521 21340 16326 136761 
"64/64" 83996 115764 100771 106869 91435 75662 220788 18620 18464 222989 100809 99207 125507 92762 109040 413101 28056 20577 16024 78817 
"128/4" 3497 13304 31062 12317 37460 43419 75468 19061 18806 58823 2999 7557 34224 40011 35935 36292 29816 21556 14977 75384 
"128/8" 20779 26958 11716 8714 23180 41937 57451 19022 18876 134324 35834 31960 29609 31636 8493 119628 28157 18561 16550 105624 
"128/16" 4458 36572 37803 40200 44769 192164 127619 18965 18477 198487 39119 44384 49532 42454 41001 208833 29350 21220 16414 135443 
"128/32" 70025 69418 50730 62406 70485 276480 152919 18954 18478 176846 62530 60487 63838 58204 56969 173868 25127 20870 15085 166688 
"128/64" 66984 75521 84602 94823 91494 308403 1869 18798 18063 16870 92487 84869 90921 83549 98008 304037 24455 20479 16141 280671 
"128/128" 136580 160221 164290 159792 134023 266066 2051 18361 17069 320748 144288 148684 168202 140036 139128 265540 22257 20260 16022 290387 
"256/4" 15373 50956 14437 40081 13453 72871 2190 18951 18429 70893 16730 10555 10767 16079 13639 68834 26744 20826 16557 77410 
"256/8" 15018 24844 24457 15197 25211 124639 2566 19196 18143 133254 12049 12351 12203 15980 11751 132711 28390 20867 16712 112224 
"256/16" 53200 46699 44857 48057 39373 179892 2810 19342 18152 147556 42524 53256 43835 49354 45478 126489 28390 17797 16713 148495 
"256/32" 58090 75250 72462 72502 77645 212252 3135 18717 17961 278257 77204 16445 69965 81240 71412 168991 27702 19097 16641 220897 
"256/64" 95487 103395 106492 97863 100709 274417 3271 18764 17789 221444 106134 95242 101307 103276 97596 309185 27268 19512 16602 274067 
"256/128" 137857 116460 138016 143821 138819 304365 3496 18435 17152 306188 136542 120471 139740 140361 148577 291555 27049 19820 16211 350117 
"256/256" 179022 182336 203676 211416 182584 379842 3632 18386 17811 428843 237458 229343 245943 220128 224359 387799 26927 19219 16594 581719 
