Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 7753 29603 25097 29949 28044 37294 34187 35974 35635 27645 38228 30490 25619 36018 23827 17149 31159 36056 25386 30591 
"64/8" 51743 43656 24663 11196 47579 33280 33075 29698 29711 31667 31544 27211 32752 39923 13217 12429 22559 34131 29976 33434 
"64/16" 59259 61528 78724 80398 73147 68082 55937 59934 54706 64068 67875 5947 45003 48091 70718 44503 58180 59483 56230 48631 
"64/32" 59535 102542 100169 91310 84525 124057 101764 89009 89127 91810 126274 94260 93832 110932 27571 12671 116165 21024 89157 96082 
"64/64" 156084 135313 152018 150907 160854 44822 158387 44261 69564 179338 205099 190947 37649 173429 181767 35635 180788 64453 173991 29382 
"128/4" 24381 28407 27026 27072 30253 29076 6485 26256 7621 7397 29251 19768 7199 17365 22126 27402 8267 13193 15247 8574 
"128/8" 56885 52440 56335 51238 54912 34955 16922 18145 29305 27705 52697 39458 40251 45777 53892 33943 16056 32778 26063 28551 
"128/16" 89885 85382 81272 72679 68928 71148 26021 59396 50293 47074 74588 71872 82572 84655 75246 25356 28175 23831 54516 62771 
"128/32" 123197 114086 120894 113990 118415 128906 67651 109861 117430 121662 101741 130219 90598 116995 108550 33605 108572 103727 84776 27936 
"128/64" 158005 156439 149554 154592 170662 183119 88464 86903 153839 5719 152225 54627 189921 163689 147499 151666 175631 29506 182870 129279 
"128/128" 217285 174603 203529 182311 196023 312169 35193 37736 86067 10303 115734 172471 183369 217373 194814 41292 253983 36231 223807 76100 
"256/4" 19820 10300 13517 19912 16069 37897 10198 8104 9900 26575 14563 14711 10168 11377 10222 12956 12692 8347 7588 15357 
"256/8" 53735 53881 51854 20598 57435 34242 17341 12641 13071 28048 39125 33534 28952 16049 36097 11901 13136 11592 10128 16507 
"256/16" 97935 97340 83854 94255 84996 62547 39426 55067 57787 55907 110106 58065 91492 83256 93565 69715 60835 61420 60794 59563 
"256/32" 113182 129416 25112 143341 128579 120121 93769 79679 43880 129027 110446 138069 121963 123081 111455 111109 108198 82609 115000 102860 
"256/64" 151299 169311 172162 156003 168197 182181 119906 158630 202371 161324 155799 154122 143016 162865 170197 146529 110005 34800 159597 196483 
"256/128" 189212 203021 215273 201082 208622 267779 39506 30614 49306 238566 215489 207454 206139 196626 210876 136907 44926 38112 266119 271228 
"256/256" 236569 232069 230872 230872 274627 390763 20221 167777 235479 145536 237721 263636 216053 239257 259370 81660 97783 98158 84018 84989 
"512/4" 14628 23038 20028 16190 17770 34960 8056 6720 7955 11332 32004 22553 19225 16271 13325 12386 7990 11824 11289 9617 
"512/8" 27215 33837 56299 42715 29135 35315 20827 21545 12898 16224 24081 21545 22624 26004 19222 15690 14052 12496 35171 16507 
"512/16" 85218 90189 88349 85704 96582 71858 48641 38432 25643 38337 76507 54742 41615 68083 61309 50899 32144 39646 29248 26934 
"512/32" 137229 150988 128508 136723 135660 126042 78625 120585 62037 102938 124608 77120 146617 56312 83239 130120 59088 114515 55465 60655 
"512/64" 175164 176852 184716 182534 169817 219448 166242 157870 64329 193714 181946 181746 146168 181546 174637 176910 132300 58945 85965 110156 
"512/128" 218889 238138 202043 206532 203498 323864 161564 129002 225060 54128 218155 262823 226246 196695 206037 54270 185099 259897 64818 100056 
"512/256" 244509 247582 256789 241404 254477 296662 78987 78156 65769 327769 238587 249278 232517 233477 226651 86324 79255 67922 32514 85208 
"512/512" 342239 331360 465044 345487 439445 356026 25419 87463 328622 159500 449847 285235 258179 289269 287334 263792 143215 185099 340232 311644 
"1024/4" 30412 25998 23971 28208 22215 36375 10342 10691 9442 17126 23842 16029 17225 11710 18028 7366 8636 10041 11527 11470 
"1024/8" 30082 32617 33136 34755 47208 35295 12964 15102 12996 18200 29703 27841 25684 27565 25511 15598 16025 16406 24700 9794 
"1024/16" 102667 103081 96114 99051 92872 71814 44390 22596 29620 51490 64108 79502 55033 84197 53048 27064 25285 31493 32519 31865 
"1024/32" 144817 149463 128658 87776 141552 138173 49914 59963 97971 83933 129017 83062 102955 141315 118820 92510 37358 58588 68989 46349 
"1024/64" 175041 194458 210354 205995 193285 233526 152380 190086 83866 196513 193468 120018 90234 201265 189943 179586 153590 91896 80858 121327 
"1024/128" 221838 214001 229042 231038 240873 256894 250789 77540 253288 166228 253154 181622 254851 228470 204924 73342 249391 108772 67492 76881 
"1024/256" 262563 249029 256006 250921 254655 337739 33599 84134 85547 47729 318103 357919 113061 244048 276830 72312 97134 95378 252410 170802 
"1024/512" 349958 352861 372930 354083 378117 468228 134151 130980 140428 134348 251848 92720 361961 264879 273498 128581 119457 187440 132129 179933 
"1024/1024" 549663 544990 491369 470382 495393 532226 287812 350329 210395 265222 451683 447168 405728 431359 356050 225946 416590 373189 52832 220641 
"2048/4" 23947 23743 26240 30622 16078 37261 10553 12241 9843 27652 21219 15514 17202 16611 18556 10717 8560 9637 13149 12571 
"2048/8" 30161 43245 45488 43760 55869 35085 48623 17999 17144 36395 29847 36368 28412 33934 25233 14413 15729 20675 22161 15922 
"2048/16" 95194 71232 79468 70659 78747 74405 45885 30497 29411 76563 67883 44643 50427 49571 65605 27545 31473 66686 42898 56858 
"2048/32" 142093 146120 147647 140177 146864 131298 47080 43719 41982 132393 124558 115627 100549 97305 115451 57457 54578 71986 125891 130679 
"2048/64" 190756 191296 165695 109472 175269 99402 107812 75797 63165 233334 142408 107732 106421 120046 160779 88287 83493 93682 146234 161386 
"2048/128" 244193 248725 275267 247492 239588 184452 159404 132222 101501 312340 284004 278832 292903 259038 281316 132694 237758 105457 105822 99282 
"2048/256" 310871 277203 280663 278029 277732 72968 66280 82958 80490 361319 309370 154295 235432 212670 128168 73035 77044 76457 86304 383876 
"2048/512" 375437 387653 482911 382798 499885 141027 157054 148653 66265 423132 531397 285999 267010 329687 112453 152064 163605 159478 293323 170581 
"2048/1024" 537381 656833 557577 588641 560964 324763 275046 224803 271620 491364 488569 429071 489376 189052 250795 273140 303995 164272 265393 79642 
"2048/2048" 225500 923370 352555 290536 637197 335677 400709 339016 384753 628019 515082 461779 554554 546857 428451 354753 416687 759915 373998 742572 
"4096/4" 24087 30210 23885 26539 27019 9643 11998 13848 15657 16687 28134 15339 26638 18421 16367 13601 14769 12579 15420 19092 
"4096/8" 37096 49861 56058 40537 43760 29848 28886 24513 20419 27943 35359 25958 30327 27551 25207 22298 24428 25510 23463 30784 
"4096/16" 63947 92414 90465 88487 75222 53498 37777 59072 51883 65610 61192 54233 63365 46077 59613 40557 35162 54178 51863 72921 
"4096/32" 128228 149422 118535 114282 106059 68141 83209 81434 109956 118350 120120 135025 117667 91898 89753 62507 98173 71595 90393 121456 
"4096/64" 205108 192435 195466 194843 202361 70235 86226 70620 151204 215330 183455 140649 179679 133177 151692 128679 136156 149723 139528 213680 
"4096/128" 240147 219624 241538 236765 238653 144480 142622 217156 161272 270150 253844 217098 272394 136224 165595 61834 168372 114278 106572 284539 
"4096/256" 284898 272524 277489 281186 279858 76858 71489 100151 285020 374985 407968 172863 342988 280933 259468 78293 76433 64099 74021 371482 
"4096/512" 382516 385330 404138 392908 403664 314018 166530 159204 152533 485254 407851 313897 442622 221359 467634 146290 157678 154893 148643 425298 
"4096/1024" 567239 545638 253465 502323 531131 204158 547011 287395 91186 632012 543240 407030 551435 248017 586147 277055 311863 268427 283384 628612 
"4096/2048" 726765 646983 277225 575852 819540 134994 795813 416261 396628 760345 678702 318950 497926 202142 203761 471562 158165 382729 476942 912037 
"4096/4096" 455568 862321 771962 484734 306768 373997 534735 813486 589769 249544 805968 761626 749498 700795 301513 624567 520321 541784 581977 1145110 
"8192/4" 15692 28593 24172 20402 23953 19009 10619 10480 11847 24295 26907 14850 26123 10175 22845 13144 10188 11032 11155 34937 
"8192/8" 38189 29854 37505 31515 23864 29996 20394 22881 22583 29895 24653 21056 27539 23370 32756 24931 18557 19368 21461 30517 
"8192/16" 60459 43911 58956 56419 54071 69147 29222 33730 46154 73404 54268 36712 59586 43427 55823 44008 39630 53033 30482 75184 
"8192/32" 131313 96396 61051 98272 103345 129085 84197 93344 52926 132231 100940 80784 103451 67051 93726 84223 74647 94028 64234 109657 
"8192/64" 200682 201574 198684 198772 192278 210184 210385 100982 125850 164359 83484 132018 190857 148327 193435 132466 102781 98753 113473 188409 
"8192/128" 229479 248738 213857 198430 245292 337270 269190 100392 154278 308154 50522 190689 223581 154167 174520 147944 144133 135707 146160 309810 
"8192/256" 328205 318653 280403 270952 219412 378595 389536 200626 186100 362590 334271 198532 363442 23553 208261 72177 187846 71956 148948 357791 
"8192/512" 385052 388062 518083 386595 519070 401747 428159 142350 151717 534126 265293 215777 447504 306701 266468 151024 148339 137171 148287 441733 
"8192/1024" 389505 420190 566526 610527 581699 611886 576778 306482 184592 548625 587498 261549 568805 339299 298749 174331 279522 314823 269005 695065 
"8192/2048" 745479 493583 746223 672246 675962 988319 737225 391475 376764 694180 642865 283321 627588 552355 257311 393772 303655 369822 370815 772253 
"8192/4096" 891793 520950 882675 655359 828908 788305 772323 466541 530604 501040 711355 439631 737289 182645 776933 494059 692306 230942 233077 1002799 
"8192/8192" 991542 900322 840897 692879 828308 1167951 901716 644070 770729 604660 746272 723152 631998 697435 315438 610440 334789 567546 634156 1320015 
"16384/4" 9326 9269 17576 7507 10068 34617 18536 10460 10110 19067 20241 21728 21538 12857 9256 10083 8963 9748 9698 16692 
"16384/8" 19631 18198 21033 14728 19542 20945 23733 23309 17894 22760 24257 22934 21809 19165 19592 14144 16794 15415 15917 19892 
"16384/16" 31149 37394 32010 87473 34710 44326 43298 42168 31052 49252 42721 43826 56486 31114 28023 29507 35412 32492 37823 48974 
"16384/32" 47940 104850 68562 58488 87090 119827 76212 65735 67927 70982 83571 97072 78712 59173 49469 55474 65776 80909 85799 59087 
"16384/64" 178913 176622 156870 113908 146802 223096 204756 83800 100527 98295 161747 159109 104041 147683 105047 121661 88045 95185 86389 111410 
"16384/128" 248856 234100 245552 245247 170345 352487 135190 146179 92441 91828 284103 300261 191254 181646 182504 91691 114639 138405 120066 184591 
"16384/256" 335263 330576 278341 335585 280798 358504 124821 103172 87373 142648 378209 372463 188579 265151 246002 85595 194251 191856 177754 345850 
"16384/512" 378497 391250 434312 386431 416717 419308 139598 269882 147344 161506 454239 504667 285082 251659 302662 145551 138496 139825 142448 413432 
"16384/1024" 419597 595284 534761 440716 533682 595634 602285 232885 208936 257274 495197 298145 299246 480200 314188 290800 278365 304767 277496 779708 
"16384/2048" 535320 508600 772651 555556 598545 707333 371031 229651 365014 381741 594162 424467 502236 446686 651500 370142 449382 392402 438472 844397 
"16384/4096" 640103 858931 719358 874985 614852 897357 533736 571230 325905 519269 726077 434843 549690 705598 314817 515657 316439 767285 470060 882276 
"16384/8192" 948537 836595 849092 769312 886247 962743 816593 645751 598962 680089 868209 670958 777635 464820 919523 269762 372633 649051 430897 950624 
"16384/16384" 927904 1041443 957405 541871 663451 1177433 748914 722330 686386 808837 905194 585769 711508 910278 849922 449282 306839 811253 477696 1420739 
"32768/64" 111724 115727 130112 113696 84706 202084 106439 85677 104443 93883 141181 106448 112082 119735 118703 93883 99296 70142 91122 201715 
"32768/128" 226109 200189 201475 217535 216220 315525 135327 113268 173951 130125 185258 155009 150752 159142 199659 122963 163595 136687 102180 281868 
"32768/256" 335582 336704 272399 335545 268742 268304 226275 100082 107345 104124 403750 211145 202652 243880 359318 94209 137980 124258 97167 325505 
"32768/512" 386492 386839 476542 386981 465554 206042 449067 148771 104884 149690 513692 544727 238137 264315 420485 148885 203463 60628 168036 143066 
"32768/1024" 558761 558046 557071 571130 573920 290269 605479 318965 234774 264006 719309 649335 335637 448869 683807 247964 249834 228021 273296 748281 
"32768/2048" 974483 971940 752542 761355 669898 396280 634570 368482 369379 306942 764731 828960 593084 508449 516274 378134 381359 405574 272896 916071 
"32768/4096" 916383 910572 879723 887947 832651 534185 82223 348666 539880 526681 824930 790656 486251 488885 483703 478434 541520 644724 429490 1066527 
"32768/8192" 967002 903271 840508 844708 828520 615556 1070598 412757 619773 790066 766715 1004539 337029 818850 427948 421550 613277 642824 648496 658416 
"32768/16384" 1202411 1013391 1148187 825722 991467 796462 1457653 439432 740101 872928 746116 1070390 843583 967179 672965 748880 766343 800684 766788 796716 
"65536/64" 105656 96334 97239 112218 86353 84876 203452 78329 56577 79455 143755 77761 95355 91682 82523 81864 66131 58364 80869 66569 
"65536/128" 182331 207042 178477 178054 166628 87719 219360 86667 102672 76021 123287 214766 122116 128242 143103 76517 129427 102257 82571 89601 
"65536/256" 231480 227932 242670 194005 262866 426750 435721 163101 79533 117089 85037 198217 185921 154183 115073 140917 76050 92211 154512 86663 
"65536/512" 320173 323829 380912 304485 392071 302663 235173 156693 124490 163819 320172 246683 216265 228615 213463 148640 152523 154496 148945 156141 
"65536/1024" 446817 421036 496334 485060 408136 750329 757832 248004 286415 240079 553112 308428 333114 348571 451838 264069 175773 224494 206628 532082 
"65536/2048" 788316 761257 836471 806725 739842 341242 391664 295916 313139 270150 983477 402765 368583 502623 634910 299212 408194 256608 321537 402872 
"65536/4096" 884640 859533 784017 808695 778003 550852 898564 558708 506339 547337 714514 736336 900628 596025 640907 578980 530956 490961 549767 553229 
"65536/8192" 971984 839624 855372 846291 882544 674023 920023 681871 392101 645344 853645 746892 1077822 671234 378855 620324 401261 546479 582515 676248 
"65536/16384" 1077682 1003398 976517 976809 971726 778058 1263296 805952 793040 629349 821262 1374267 1039048 558203 982489 747658 781978 792502 751895 799336 
"131072/64" 103178 97390 103530 104003 100372 76726 124010 77283 84848 60595 142330 84201 90257 63286 94081 82607 75807 77114 79455 71831 
"131072/128" 175031 161005 162149 144341 149253 83000 296303 103699 106552 87653 195316 118477 138637 125331 116279 88463 87145 114513 102267 90771 
"131072/256" 238047 209586 216236 228206 219364 97500 330836 127563 224209 86366 264158 132979 161290 131512 149467 76623 93224 112057 77994 108029 
"131072/512" 278975 266328 381129 318302 322034 152169 359152 161292 248096 149834 338490 245987 178725 145501 122975 163368 132709 142972 157591 145879 
"131072/1024" 439566 438615 457447 477219 378159 290224 717129 268763 738417 302932 380473 323105 177030 264638 395537 247672 237907 281602 237871 289978 
"131072/2048" 637810 555677 591787 633856 686064 380746 996221 343103 892138 364321 476427 395606 346363 330009 576995 328957 369114 380669 315043 306837 
"131072/4096" 569343 670712 680667 676116 723683 403903 551257 373589 553170 759846 536079 531452 599356 438630 636426 438064 423550 438184 390875 1161018 
"131072/8192" 896163 810171 769206 755828 722897 597138 1362353 679978 1070053 668322 663450 515546 705614 291886 586420 646025 672612 634473 633029 1337593 
"131072/16384" 939752 987092 771574 890852 694999 801889 1282205 759604 982489 510747 896935 473403 237865 1162810 759041 753845 721234 746956 725722 170618 
"262144/64" 103885 114064 92479 106586 107180 89490 93530 83265 157747 158944 135927 72734 86639 97515 71455 79876 72107 78526 83237 161952 
"262144/128" 170095 158278 176603 164063 158478 92319 171578 105095 72923 270791 209756 114404 119991 202870 111995 146903 91549 87135 107112 173332 
"262144/256" 250392 243975 239017 248554 240179 110037 112326 90510 104360 108843 253960 140786 190145 155660 134437 121432 114418 139839 100896 132322 
"262144/512" 279128 275583 334582 268495 325885 150086 128319 167597 136536 118739 296926 221123 220044 220149 236976 145877 126141 145818 142196 162171 
"262144/1024" 436002 442690 441399 446954 457245 267037 200632 265153 251158 242171 407776 397942 259159 331703 312876 246040 257683 201294 194733 281052 
"262144/2048" 572859 547146 611108 573287 632964 375376 317147 324058 330438 369591 345824 513653 421447 488474 478407 307501 428372 366828 234824 372972 
"262144/4096" 637128 628565 681004 645178 666849 440147 493654 369352 398404 259970 409219 482607 212462 613829 386064 418896 446890 455031 504669 402698 
"262144/8192" 732638 702418 703579 641186 672041 511052 555294 549167 514718 379970 562683 595781 466415 653808 562992 558440 495288 537031 588466 520152 
"262144/16384" 1268639 858393 1089963 1042264 751619 736560 730668 825192 1117050 1022665 362874 387950 959893 1060758 909575 675726 968693 735050 249478 769280 
"524288/64" 111273 105890 99378 102456 111775 71220 73169 83357 149971 70340 72784 92445 84025 83850 85543 56785 81279 70770 99114 56659 
"524288/128" 145344 144522 136283 143782 145568 68889 120318 101596 95905 104420 126483 178595 127305 95072 107926 97272 97887 111018 102731 108124 
"524288/256" 222813 227502 201860 202364 182654 106767 126060 150026 149978 122453 115965 221624 121409 211956 136940 92745 83775 85803 91658 315992 
"524288/512" 262600 241336 315288 254031 342821 114883 153056 130624 132046 153743 178666 261364 219207 284233 154635 116005 146959 128197 418911 353535 
"524288/1024" 337446 365397 396356 416819 362102 254183 231983 259676 267197 288559 250724 363253 303241 231250 355811 217939 248384 252871 197398 552600 
"524288/2048" 582092 487641 534910 512198 621965 361053 308237 300265 373831 343203 433039 316100 301515 359589 218540 355387 326114 323740 376089 328247 
"524288/4096" 509723 684320 613305 704020 575914 488069 373852 455989 361898 500588 195204 531929 402182 344497 374361 398674 471250 405020 461038 512428 
"524288/8192" 726215 643838 637824 640651 627725 543797 571390 515660 668049 548617 215108 528737 442027 539846 442139 595149 566562 622135 560876 605388 
"524288/16384" 961904 821984 818872 873434 801341 643778 644352 669073 707076 1108808 750815 766527 383847 764033 342729 685479 701700 678793 713111 637298 
