Mode 6-HDD-1-NVMe/base-1 6-HDD-1-NVMe/base-2 6-HDD-1-NVMe/base-3 6-HDD-1-NVMe/base-4 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-1 6-HDD-1-NVMe/caching-2 6-HDD-1-NVMe/caching-3 6-HDD-1-NVMe/caching-4 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 538 3879 3157 14770 12302 1114 66944 15896 12979 6003 853 13524 12324 10927 12463 1011 22978 22091 16912 42381 
"64/8" 23469 30246 21403 22535 23615 5716 121694 9269 18924 74075 100809 24777 28521 24271 20163 31098 30890 22046 16864 109040 
"64/16" 33438 33664 39286 42327 40458 182261 127716 19335 18697 29197 153848 32064 41937 35049 41748 19265 29850 21592 16855 119156 
"64/32" 36325 50630 49537 57091 46677 209093 161144 18862 18593 178741 269025 54374 53689 48701 54885 11347 23703 21087 16575 188798 
"64/64" 2532 101610 83655 90024 93019 78632 231050 18396 18417 209747 1070 100809 99390 112655 106487 77385 28685 20472 16101 209911 
"128/4" 16888 5350 13124 15019 14181 10850 57685 18887 18806 21170 351 14923 13215 5735 6591 60548 29596 21447 16490 62319 
"128/8" 24677 23782 22229 21849 26287 48687 95243 18732 18642 65609 28237 26267 24878 30849 22273 114281 28526 21336 15256 105521 
"128/16" 40125 41515 34052 49651 40632 169960 128782 18773 18491 105355 45730 39517 40933 41790 40482 224556 27880 21045 16469 120758 
"128/32" 74505 62110 57090 55177 56716 228961 173474 18815 18443 148973 70135 63581 60521 60747 68515 172749 28457 20856 16385 147987 
"128/64" 89124 86136 82955 90066 88158 258011 1868 18408 18012 228961 95159 83393 89317 91697 95243 244721 27496 20249 16362 243832 
"128/128" 144288 142716 139309 146294 148314 363535 2051 18542 17787 303350 53114 137807 138090 135443 146613 390222 27285 20106 15657 295665 
"256/4" 15652 11731 10975 5653 12378 66097 2190 19015 18410 19294 14253 11747 12136 14468 12416 64664 29120 20831 16611 73208 
"256/8" 28664 23663 11045 26561 29813 111896 2594 19137 18314 124812 11967 20612 27155 33560 10255 39783 26202 20807 16704 93256 
"256/16" 44145 36529 40615 39012 45730 158701 2769 19217 18056 148495 44622 48410 47399 41369 39831 133669 27981 20540 16695 153198 
"256/32" 61287 62605 99385 57272 95124 204490 3144 19173 18057 189178 76900 67084 90582 61805 77853 198151 26967 20383 16711 254211 
"256/64" 85531 81197 108658 87191 111259 250009 3328 18847 17748 338633 118295 104665 119069 105003 110005 221079 27251 19987 16624 344611 
"256/128" 157352 141920 138372 165476 140748 368375 3495 18258 17545 275544 156275 152200 169418 21978 169338 293227 26688 19237 15913 306188 
"256/256" 217497 253971 196016 273508 205942 270613 3674 18566 17171 398744 270272 259935 285356 222177 253431 424604 27479 19214 16552 395659 
"512/4" 18560 12009 11882 14110 11204 84083 3805 19455 18143 82330 20691 17996 19460 19776 18507 75827 28170 19498 16970 67130 
"512/8" 14245 36579 29802 18324 15128 110417 4380 19463 18304 122337 23727 21922 17441 16347 23330 76382 27951 19842 16744 92218 
"512/16" 48334 42794 56662 46293 60944 129227 4744 19363 18395 142143 50116 49694 48645 52127 49512 172741 27537 19594 16983 111791 
"512/32" 69245 78963 76510 69830 73860 217316 5147 19352 18024 92720 71238 75827 64932 85649 73068 250120 26940 19413 17276 133162 
"512/64" 105218 97542 103076 111281 100968 247811 5311 18677 18182 321777 107359 103834 104827 125394 95733 132260 26191 18804 17094 165269 
"512/128" 138450 146238 144099 151478 143176 314704 5736 18590 15807 266113 149746 155346 158172 155155 151297 217141 25136 18115 16838 359784 
"512/256" 182674 222610 190332 226651 198992 417976 6047 18716 18036 157050 210438 236720 211495 206294 231364 132300 26291 18746 17380 184701 
"512/512" 242302 253965 283055 244259 305482 462440 6218 18956 18475 212710 220779 223770 234856 263662 236929 140700 26333 18103 17199 137669 
