Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 29357 25165 17907 32014 
"64/8" 33698 28156 34464 33006 
"64/16" 69492 52937 61968 53603 
"64/32" 104254 31809 102385 43920 
"64/64" 137602 10812 62750 171985 
"128/4" 10291 994 15605 12577 
"128/8" 55577 29991 13729 32561 
"128/16" 78377 46191 57661 60378 
"128/32" 129685 107571 48485 18419 
"128/64" 11800 5749 167363 42782 
"128/128" 187402 5408 193341 231030 
"256/4" 14484 25865 15221 8649 
"256/8" 50335 27849 24608 18554 
"256/16" 75632 41204 86958 58515 
"256/32" 143821 97006 110583 86370 
"256/64" 144947 110628 163585 38022 
"256/128" 202676 120417 195126 137697 
"256/256" 237458 106534 240328 79898 
"512/4" 19178 9938 14828 10578 
"512/8" 58374 11795 16738 21517 
"512/16" 96495 49310 95827 38137 
"512/32" 129033 93398 133294 74635 
"512/64" 188230 53083 175221 72860 
"512/128" 54225 62669 189142 40576 
"512/256" 251349 100590 238349 84640 
"512/512" 376500 151842 257807 194821 
"1024/4" 20696 9285 19056 8668 
"1024/8" 25951 15501 30013 16845 
"1024/16" 54185 35469 87165 36972 
"1024/32" 132112 54225 145681 64382 
"1024/64" 177560 95150 170099 76733 
"1024/128" 204348 69673 225199 100155 
"1024/256" 121142 77038 208809 119278 
"1024/512" 404239 184074 273272 164603 
"1024/1024" 630148 291821 404734 203333 
"2048/4" 14489 19621 23886 8425 
"2048/8" 34197 23423 33084 16262 
"2048/16" 65024 73974 88058 42134 
"2048/32" 86223 131544 97611 124272 
"2048/64" 188927 198929 115380 73064 
"2048/128" 213622 312852 220075 79413 
"2048/256" 273976 318856 224933 390029 
"2048/512" 220402 461357 267884 168160 
"2048/1024" 555630 539778 204879 406743 
"2048/2048" 913453 827084 558048 142342 
"4096/4" 20688 34797 18576 30701 
"4096/8" 30299 33713 21189 28329 
"4096/16" 57841 68676 57237 50728 
"4096/32" 147084 133337 136174 113481 
"4096/64" 139996 200716 190919 216240 
"4096/128" 218743 258437 227947 280625 
"4096/256" 174349 333603 275526 364607 
"4096/512" 423318 400866 272775 389833 
"4096/1024" 535134 594216 504121 612805 
"4096/2048" 881796 743659 226989 730380 
"4096/4096" 920047 447651 654950 1250645 
"8192/4" 17296 22142 11698 34685 
"8192/8" 24680 33820 26758 24021 
"8192/16" 40894 52235 36883 48083 
"8192/32" 107705 130833 88055 96216 
"8192/64" 188664 216638 197231 200474 
"8192/128" 254434 308829 192210 300295 
"8192/256" 280682 370747 277713 367736 
"8192/512" 471295 482792 341375 507973 
"8192/1024" 600360 537603 369372 673630 
"8192/2048" 526442 741345 583686 798046 
"8192/4096" 541475 662678 617883 937847 
"8192/8192" 727008 613262 650878 1114425 
"16384/4" 10185 13770 8957 34711 
"16384/8" 18708 30276 17253 33904 
"16384/16" 26376 67432 26507 41690 
"16384/32" 56405 52504 44138 132619 
"16384/64" 92877 76712 121636 86798 
"16384/128" 248819 86066 245148 83293 
"16384/256" 281076 103346 315331 421042 
"16384/512" 486073 147185 238195 495372 
"16384/1024" 576047 270698 296023 700441 
"16384/2048" 623652 241601 52903 628081 
"16384/4096" 813866 464858 735598 750386 
"16384/8192" 885425 654055 717024 855477 
"16384/16384" 996168 621244 914749 1426431 
"32768/64" 79431 57130 84305 207136 
"32768/128" 160894 79567 102357 286759 
"32768/256" 255630 99527 351678 356630 
"32768/512" 467006 123414 269877 110566 
"32768/1024" 589722 275696 522232 761089 
"32768/2048" 817827 383497 747459 708496 
"32768/4096" 857263 506648 735680 1128289 
"32768/8192" 872529 663495 539594 938080 
"32768/16384" 1021191 823274 335177 874511 
"65536/64" 81122 59398 77669 72694 
"65536/128" 130387 77674 126839 79823 
"65536/256" 224358 90905 194122 82725 
"65536/512" 283903 119119 280349 111067 
"65536/1024" 432620 193516 317166 652287 
"65536/2048" 812124 383323 672963 410683 
"65536/4096" 859431 523605 773641 558042 
"65536/8192" 958983 629802 751714 657675 
"65536/16384" 1001009 686184 988610 785765 
"131072/64" 80324 85487 79652 67288 
"131072/128" 107789 64347 115459 60243 
"131072/256" 
