Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 5735102 5860307 2133730 5860307 
"64/8" 4564786 4274062 7100397 4018152 
"64/16" 3363612 4897948 7940539 6421025 
"64/32" 4897948 4564786 4564786 4564786 
"64/64" 4274062 4564786 4897948 4988978 
"128/4" 3657016 3445772 5325799 3468030 
"128/8" 4407601 4233807 4717434 4407601 
"128/16" 6406138 4889281 5122535 4267461 
"128/32" 6114306 4934216 7082197 7082197 
"128/64" 4557257 5379161 6114306 5603747 
"128/128" 4557257 4934216 7582312 7176872 
"256/4" 3197509 3545976 3605511 3705040 
"256/8" 4477549 4553502 4652146 4840911 
"256/16" 4998665 7073132 5217259 5217259 
"256/32" 4929815 5687020 6719046 5455847 
"256/64" 8024634 7735574 7965107 5971678 
"256/128" 5217259 8024634 5117791 5687020 
"256/256" 5971678 6107548 5217259 5810112 
"512/4" 3678421 3877684 6104175 4131319 
"512/8" 7435738 4375425 4690818 6246213 
"512/16" 5227492 5278892 8394979 7022379 
"512/32" 5684095 7647578 5214798 7211022 
"512/64" 7758090 9145790 5398323 7871843 
"512/128" 5807059 6104175 7758090 5951911 
"512/256" 5684095 8140399 6018636 8562340 
"512/512" 8394979 5968453 8109658 6018636 
"1024/4" 3984917 4014717 6059442 3937426 
"1024/8" 7420395 4995276 7101400 6733974 
"1024/16" 8199542 5500686 5363307 5789881 
"1024/32" 6208343 8610501 8457895 7369466 
"1024/64" 8680108 7577494 5917516 6441107 
"1024/128" 8895850 5660167 5782087 6163794 
"1024/256" 6819511 6609617 9064828 8457895 
"1024/512" 6208343 6172653 5720477 6172653 
"1024/1024" 6059442 8000971 5917516 6280976 
"2048/4" 6243566 5593112 4094723 3955204 
"2048/8" 6780783 7636816 4293237 2147051 
"2048/16" 5953632 8464610 7817519 6132138 
"2048/32" 8059569 9024882 6543188 6563185 
"2048/64" 9752360 9441504 7135648 6440169 
"2048/128" 6603549 7903836 6623917 8608824 
"2048/256" 9708272 8531869 5836323 7106133 
"2048/512" 8903279 10673302 7969835 7874853 
"2048/1024" 9483197 9990553 9101380 5769681 
"2048/2048" 8036946 8489707 7293167 8261095 
"4096/4" 4208889 4307020 3889659 5340661 
"4096/8" 5396016 5601877 7087972 6500617 
"4096/16" 8811067 5859825 8535284 8497289 
"4096/32" 9593374 7784948 9202815 6552685 
"4096/64" 9183139 7076294 6618318 1988225 
"4096/128" 6989921 7925004 8625273 7099689 
"4096/256" 9701724 8292220 7001316 7161842 
"4096/512" 9482180 9456085 9461292 6989921 
"4096/1024" 9105266 9332798 9368423 9545402 
"4096/2048" 6758923 6905631 8962759 10036109 
"4096/4096" 8620945 5963564 5603704 7831080 
"8192/4" 4354953 4615263 4143818 3897073 
"8192/8" 6895660 6781341 7523801 5053790 
"8192/16" 7719891 7565215 8000301 5810089 
"8192/32" 6590145 8159896 6220301 8047143 
"8192/64" 7328036 7862989 8498983 8743368 
"8192/128" 7142200 9061576 6804170 8797093 
"8192/256" 10343693 7407022 6877717 8603257 
"8192/512" 9536939 6605348 9471217 8688097 
"8192/1024" 10315743 6995337 7223279 7130343 
"8192/2048" 10190307 7092077 6677231 9172856 
"8192/4096" 6177802 5780764 6748045 7130343 
"8192/8192" 5588034 5350479 5372229 6937429 
"16384/4" 5323045 5375089 4796231 4844242 
"16384/8" 6697931 4863096 5400009 5193114 
"16384/16" 6056817 7801225 6016516 5327997 
"16384/32" 9900792 6514431 6537983 8312700 
"16384/64" 9389438 6781211 9804734 6844020 
"16384/128" 9599293 6912867 6987375 6755877 
"16384/256" 10474243 6770521 7005182 6983824 
"16384/512" 9604660 7142056 8564449 9209496 
"16384/1024" 10429731 5820327 7049738 7007325 
"16384/2048" 7481865 6820923 9146979 9869509 
"16384/4096" 8376536 5671418 7327103 6412309 
"16384/8192" 6540472 4518400 5219542 5669079 
"16384/16384" 6912867 5772899 6343059 6829736 
"32768/64" 10431952 6896843 9222973 9834062 
"32768/128" 8567014 6968882 10157484 8449563 
"32768/256" 10673373 7021216 9429252 6952666 
"32768/512" 10556955 8464654 9778091 7068157 
"32768/1024" 10646090 7195453 10163493 5072333 
"32768/2048" 8291539 6994417 8696573 8208346 
"32768/4096" 8323173 6195463 7792735 7905693 
"32768/8192" 6242740 5250409 6459263 5885077 
"32768/16384" 5434129 5237803 5948243 4679122 
"65536/64" 9144063 6971853 6990470 8333723 
"65536/128" 10142046 8752176 8970096 7935089 
"65536/256" 10291658 6754950 9062066 7152168 
"65536/512" 10546750 5544486 10415669 5943716 
"65536/1024" 10532606 8832325 10341607 7044573 
"65536/2048" 10146538 7093292 7071213 7118827 
"65536/4096" 8461737 6235631 7831769 6297922 
"65536/8192" 6291291 4632112 6040767 6308908 
"65536/16384" 6857237 4633205 5276189 4565713 
"131072/64" 10166015 7423634 10910926 7314686 
"131072/128" 10041604 7548085 8075878 7565016 
"131072/256" 9707030 9177463 9460963 6944885 
"131072/512" 9404479 7538976 11103978 9673893 
"131072/1024" 9577826 7583382 11090761 6429831 
"131072/2048" 9412691 7966458 11099270 7586521 
"131072/4096" 9177463 6638536 6639257 6991964 
"131072/8192" 6540522 5616240 6409068 6391854 
"131072/16384" 6663884 5711463 6658799 5938118 
"262144/64" 10934016 8385421 7858268 7856134 
"262144/128" 9233633 8413912 11117654 9925199 
"262144/256" 11605470 7468300 11894609 9298210 
"262144/512" 10965640 9485596 7825437 7494772 
"262144/1024" 11069413 7551964 11673733 7524211 
"262144/2048" 10724661 9139990 11797612 10841833 
"262144/4096" 9059409 7266240 8212554 7590911 
"262144/8192" 6975985 5931513 6368302 4782943 
"262144/16384" 6965997 6408911 6078283 6055653 
"524288/64" 10997106 9011658 11660968 7872187 
"524288/128" 11087597 9189483 8958499 9128676 
"524288/256" 9810594 7315208 11072579 8176789 
"524288/512" 9335941 9369993 12360326 9352578 
"524288/1024" 12008134 9239368 10014277 7668840 
"524288/2048" 12124193 11917545 11761696 9369474 
"524288/4096" 8500683 6099201 9307766 6156731 
"524288/8192" 6822573 6826830 6761693 6541814 
"524288/16384" 7013515 6558359 6797645 6353009 
