Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 3057153 5283570 3791156 5860307 
"64/8" 4207076 5860307 2923952 2561267 
"64/16" 2662899 4564786 3791156 3791156 
"64/32" 2561267 3588436 3022727 3203069 
"64/64" 2662899 3363612 2467108 3363612 
"128/4" 3053774 3468030 2843510 3468030 
"128/8" 3759450 3657016 3657016 3759450 
"128/16" 3759450 3867787 5325799 4012317 
"128/32" 4012317 4135958 3759450 4267461 
"128/64" 3657016 3106789 4889281 4012317 
"128/128" 4135958 3199360 5325799 3895854 
"256/4" 5117791 3770085 4819184 3770085 
"256/8" 3245838 3879045 3879045 3823789 
"256/16" 3410808 4132864 3935921 3950402 
"256/32" 3545976 6249745 3605511 6107548 
"256/64" 5687020 4652146 4070199 4332998 
"256/128" 5810112 3717869 4117018 4070199 
"256/256" 3705040 4350555 3605511 4132864 
"512/4" 3710197 3736016 5331314 4827914 
"512/8" 4973263 4305250 4061007 4340054 
"512/16" 5886650 3742527 4457157 4494470 
"512/32" 3913012 4271001 3877684 5331314 
"512/64" 3905895 3659616 6319739 4262523 
"512/128" 3788747 3736016 3877684 4305250 
"512/256" 4000485 6174377 3934520 5453155 
"512/512" 4061007 3877684 6571132 3970896 
"1024/4" 3655895 4079544 6172653 3849207 
"1024/8" 4574926 4211554 6692005 5782087 
"1024/16" 4374559 4321737 4146499 4304412 
"1024/32" 4162573 5507740 6559147 6317933 
"1024/64" 4433259 5593820 4321737 4048778 
"1024/128" 7319232 4926518 4064103 4550690 
"1024/256" 5169641 6199382 4995276 6137371 
"1024/512" 7420395 4570058 6650556 4396951 
"1024/1024" 5042191 6733974 5564829 3761557 
"2048/4" 5785224 4112366 4663865 4071433 
"2048/8" 6845629 4376355 4170264 4238163 
"2048/16" 6114678 5596757 4460436 4623699 
"2048/32" 6298503 4663865 7065219 4960102 
"2048/64" 7343043 5068389 6363830 4531020 
"2048/128" 7419150 4686767 4911886 5032754 
"2048/256" 7262337 6670210 7159438 5119743 
"2048/512" 7368238 7846081 4829046 4829046 
"2048/1024" 4321315 5071381 6401772 4490751 
"2048/2048" 7343043 5009275 5107566 4842658 
"4096/4" 5159420 4136930 4935601 5719367 
"4096/8" 6389405 6625976 4718699 4418911 
"4096/16" 7135072 6420447 6953144 6955959 
