Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 1828508 2561267 2067979 2772930 
"64/8" 2133730 3057153 2278628 2052169 
"64/16" 2379626 2358717 4564786 3363612 
"64/32" 3541098 4564786 2298136 4564786 
"64/64" 2358717 1780008 3057153 2662899 
"128/4" 1705404 1705404 1808829 1663139 
"128/8" 2166499 2202044 2326073 3277486 
"128/16" 2621367 3380677 2066432 3657016 
"128/32" 2673584 3982553 3106789 3867787 
"128/64" 3199360 4267461 5545860 4267461 
"128/128" 5122535 2969325 2326073 2784517 
"256/4" 2330140 2533571 1598292 1743637 
"256/8" 2223962 2205688 2034350 3009318 
"256/16" 2458168 2665657 3326279 2639446 
"256/32" 4197489 3511189 2975955 3078337 
"256/64" 3368013 3454704 3823789 3465855 
"256/128" 4819184 4652146 3823789 6107548 
"256/256" 3123106 2754556 3879045 3078337 
"512/4" 1753325 1766304 1730717 1963313 
"512/8" 2625909 2105777 2263354 2350044 
"512/16" 2575520 2597325 3884698 4195896 
"512/32" 2910635 3970896 2651850 4340054 
"512/64" 3163620 5278892 3140488 4420457 
"512/128" 3481620 5019764 2991733 3459188 
"512/256" 4610256 4532414 3762197 6319739 
"512/512" 3239989 3158966 3604335 3086326 
"1024/4" 2625597 1874871 2760606 1796451 
"1024/8" 3594699 2934110 1973059 3259181 
"1024/16" 4029784 3458646 3696803 3142339 
"1024/32" 4415030 4428688 4232305 4317393 
"1024/64" 3083680 2783867 4589593 4854136 
"1024/128" 5048117 4321737 3151562 3151562 
"1024/256" 3461434 4356809 3506651 4018473 
"1024/512" 5169641 4470172 6830356 3984917 
"1024/1024" 3655895 4654248 3170172 2892612 
"2048/4" 2479196 1763917 2868277 1820362 
"2048/8" 3271351 3384788 2611870 2432165 
"2048/16" 4122233 2775597 2596083 4056054 
"2048/32" 4207028 2223755 4071433 4162181 
"2048/64" 3065856 3277593 3459769 4276140 
"2048/128" 3841986 4321315 4038890 3136379 
"2048/256" 4385291 4414590 4295384 4500161 
"2048/512" 4079167 3757946 4697018 1492654 
"2048/1024" 6167360 5095447 4686767 4772701 
"2048/2048" 4829046 4686767 5056455 3777778 
"4096/4" 2701744 1922157 2876348 1966378 
"4096/8" 3599532 2370354 2564999 2476625 
"4096/16" 3954116 3757786 3973321 3751222 
"4096/32" 4371684 2959594 3202328 2728780 
"4096/64" 4413235 3192806 4007615 3210107 
"4096/128" 4088687 3859945 3927001 2773270 
"4096/256" 3977000 3709909 3696339 3057021 
"4096/512" 4149921 3088901 4112175 3945943 
"4096/1024" 3098371 4352854 3379997 4587653 
"4096/2048" 6013663 5549401 4649735 5679660 
"4096/4096" 4899008 4357270 4087714 4188367 
"8192/4" 2393271 1864357 2412935 2195537 
"8192/8" 3153193 2998544 2382815 1933928 
"8192/16" 4051471 3325949 2676241 2379350 
"8192/32" 4081792 3747460 2955217 2995407 
"8192/64" 3469697 3838731 3681608 4139325 
"8192/128" 3032953 2791022 3025209 3770075 
"8192/256" 3844314 2904996 3367015 3474258 
"8192/512" 3022813 3198692 2895693 2928768 
"8192/1024" 3372633 3705430 3029476 3060236 
"8192/2048" 4339005 3329817 3255981 4476368 
"8192/4096" 5558204 4154339 5374750 5393311 
"8192/8192" 4496285 4336814 3900612 3418945 
"16384/4" 1994134 2008061 2741672 2056003 
"16384/8" 3507562 2168367 2626910 3190644 
"16384/16" 2949358 2746273 3807636 2284116 
"16384/32" 3388733 2661502 2967058 3981474 
"16384/64" 3935641 3449979 3413308 3039097 
"16384/128" 3619327 3047723 3041922 2879894 
"16384/256" 3433432 2656666 2783539 2856906 
"16384/512" 3036948 2889096 3421806 2361104 
"16384/1024" 3572477 2846374 3044213 2872791 
"16384/2048" 3886231 3312611 2858927 3635988 
"16384/4096" 3683543 3138763 3563400 3309898 
"16384/8192" 5408935 3845133 4144769 5196256 
"16384/16384" 4176255 2743532 3110631 3172672 
"32768/64" 3842425 2665622 4092417 3729503 
"32768/128" 3878752 2852092 4012253 2647955 
"32768/256" 3292912 2778632 3100653 2991653 
"32768/512" 3744848 2803343 3547470 2779081 
"32768/1024" 3316272 2804773 3520031 2525671 
"32768/2048" 3323650 2561970 2751541 2830652 
"32768/4096" 3235014 2780262 3666622 2758222 
"32768/8192" 4151004 3114848 3898667 3091933 
"32768/16384" 6144498 4632752 4685183 4679759 
"65536/64" 4743133 2567517 4053660 2635585 
"65536/128" 4268038 3175326 4171908 3848008 
"65536/256" 3923587 2420364 3881754 2997845 
"65536/512" 3099632 2978356 3229306 2969989 
"65536/1024" 3712468 2305987 3770574 3569295 
"65536/2048" 3838551 2379322 3518716 2688876 
"65536/4096" 2904832 2952729 3288965 3216307 
"65536/8192" 2996212 2995918 3481899 2885651 
"65536/16384" 4391034 2587407 3584142 3523452 
