Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 852702 1599680 1392258 1083249 
"64/8" 1124074 2278628 1255511 1421755 
"64/16" 1933893 1734015 1518251 1357066 
"64/32" 2379626 1780008 1638743 2561267 
"64/64" 1484662 1648808 1163036 1828508 
"128/4" 1057236 1024942 1024942 1085013 
"128/8" 1243315 1254941 1231904 1291158 
"128/16" 2248149 1579934 1391557 1557024 
"128/32" 1658003 1772988 2727923 1778862 
"128/64" 1684006 2464907 1749872 1939522 
"128/128" 1487977 1526043 1579934 1521718 
"256/4" 1842366 1487577 1108314 1132871 
"256/8" 2187712 1347557 1122215 1938842 
"256/16" 1481420 1540948 1652404 1552085 
"256/32" 1696795 2034350 2486631 2392442 
"256/64" 2692393 2242541 1897721 1938842 
"256/128" 2582316 3043436 1956506 2000242 
"256/256" 1707589 2350543 1642294 1619994 
"512/4" 1064794 1207940 1917728 1199171 
"512/8" 1426135 1357615 1236455 1426135 
"512/16" 2424328 1785395 1938502 2486072 
"512/32" 2413429 1677976 2294796 2736325 
"512/64" 2600470 2509312 1827947 2796910 
"512/128" 2521095 1904125 2065273 3029721 
"512/256" 2135087 2942541 2081286 3163620 
"512/512" 1834193 1842059 1940253 1712772 
"1024/4" 1987669 1248607 1247157 1214706 
"1024/8" 2382379 1501313 1535668 1432225 
"1024/16" 1743932 2375790 2316837 1582636 
"1024/32" 2426801 2443368 1673273 1744641 
"1024/64" 2559871 2338280 1903961 2338280 
"1024/128" 2008114 1968537 2547723 2659742 
"1024/256" 2976816 2165014 2216407 2174880 
"1024/512" 3483896 2098375 2737730 2279941 
"1024/1024" 2751762 2753527 2604895 1939207 
"2048/4" 1272054 1926510 1257344 1265681 
"2048/8" 1562145 1509175 2293214 1494992 
"2048/16" 2260624 1726687 1655793 1650385 
"2048/32" 2741930 2398213 2303669 2716781 
"2048/64" 2111168 2753355 1815744 1790388 
"2048/128" 2311728 2449504 1820362 1856959 
"2048/256" 2109095 2821176 2622235 2848305 
"2048/512" 3199462 2293826 2211731 2275596 
"2048/1024" 2473485 2491420 2390205 2384234 
"2048/2048" 2832339 2608697 2666186 2592948 
"4096/4" 1233671 1168952 1284494 1261110 
"4096/8" 1653054 1599942 1516476 1515941 
"4096/16" 1577755 1677917 2556602 1681365 
"4096/32" 2541097 1773899 1971116 1788488 
"4096/64" 2732686 2162674 2637454 1888560 
"4096/128" 2700046 1786999 2306392 2497507 
"4096/256" 2541097 1881528 2668590 2294686 
"4096/512" 2046000 1946770 2832715 2914902 
"4096/1024" 3005151 3096138 3207709 2907010 
"4096/2048" 2461720 3485604 3524939 3107900 
"4096/4096" 2901120 2862450 2465960 3385325 
"8192/4" 1598141 1556513 1253785 1270474 
"8192/8" 1555949 1513924 1517267 1517870 
"8192/16" 2138288 1668045 1892284 1678721 
"8192/32" 1816456 1778932 1775806 1790147 
"8192/64" 1797263 1789774 1830975 1815208 
"8192/128" 1805574 2422291 1981552 1840982 
"8192/256" 1862638 1957506 2376552 1777736 
"8192/512" 2067645 2934020 2303733 2647780 
"8192/1024" 2351344 2892524 2575343 1436635 
"8192/2048" 2659668 2312104 2853370 2658845 
"8192/4096" 3183872 2283827 2279433 2315376 
"8192/8192" 2563240 2509877 1931645 2941555 
"16384/4" 1736488 1666904 1611665 1257014 
"16384/8" 1562168 1514518 2003436 1535088 
"16384/16" 1713839 1667915 1934136 1649935 
"16384/32" 2181584 1736137 1794907 1815775 
"16384/64" 2146758 2304722 2369407 1830186 
"16384/128" 2120918 1806372 2633252 1781644 
"16384/256" 1768531 1771631 2231528 2083683 
"16384/512" 2072872 1848599 2430843 1769533 
"16384/1024" 2595263 1812566 2329884 2721045 
"16384/2048" 2093203 2259557 2082609 1884956 
"16384/4096" 2403383 1979942 2649496 2699666 
"16384/8192" 3034668 2648475 3022921 3624864 
"16384/16384" 2362890 1660500 2365248 3135755 
"32768/64" 2377597 2404636 2385728 1877509 
"32768/128" 2431781 2482424 2367807 1776619 
"32768/256" 2404468 1827528 2273980 1504221 
"32768/512" 2344422 1827747 2298240 2269737 
"32768/1024" 2383122 1787665 2037436 2820660 
"32768/2048" 2325461 2112306 1900144 2327942 
"32768/4096" 2394623 1843264 1974703 2680647 
"32768/8192" 2633696 2089252 2377597 2073023 
"32768/16384" 2639564 2469489 3034387 2291458 
"65536/64" 2715733 2656189 2589528 2092127 
"65536/128" 2670563 2700181 2262671 2582594 
