Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 29711 35316 27244 38741 
"64/8" 61485 30243 31555 30679 
"64/16" 95399 63552 60955 65715 
"64/32" 137320 82575 110932 16636 
"64/64" 169701 6294 155362 217039 
"128/4" 32104 687 30253 8036 
"128/8" 61924 28113 28596 35172 
"128/16" 102479 60692 35330 70135 
"128/32" 146613 112579 116261 114281 
"128/64" 210471 8152 34857 32762 
"128/128" 205162 10262 260768 283188 
"256/4" 28816 26702 18620 8113 
"256/8" 58594 27838 27684 9029 
"256/16" 87106 57787 51353 20283 
"256/32" 147800 109355 129353 58248 
"256/64" 191746 80298 160097 35300 
"256/128" 208825 71208 92589 291239 
"256/256" 254211 73268 285736 70465 
"512/4" 34254 11616 16734 7528 
"512/8" 62507 13833 22679 18276 
"512/16" 107428 29371 51920 19415 
"512/32" 159547 96274 67941 70776 
"512/64" 177524 208214 188378 50946 
"512/128" 251349 77457 286682 51251 
"512/256" 259771 72408 157257 79392 
"512/512" 393542 137045 136976 144720 
"1024/4" 31999 7128 12222 8923 
"1024/8" 60129 32123 23275 17309 
"1024/16" 102164 29685 50200 30054 
"1024/32" 154124 55247 119864 67890 
"1024/64" 204465 192411 162179 63801 
"1024/128" 231101 94676 97347 140368 
"1024/256" 254791 78227 167237 77161 
"1024/512" 423491 185105 325603 165619 
"1024/1024" 589578 307138 323445 306875 
"2048/4" 20821 19835 15904 11223 
"2048/8" 47498 14120 32288 26020 
"2048/16" 101281 71468 54530 66086 
"2048/32" 152266 138688 55994 116179 
"2048/64" 211789 195404 189419 97337 
"2048/128" 256770 313343 164115 88093 
"2048/256" 283339 364477 239088 391362 
"2048/512" 459900 489823 322568 152802 
"2048/1024" 570463 591072 376540 341333 
"2048/2048" 834881 670365 810156 570463 
"4096/4" 21850 28940 13087 21626 
"4096/8" 35409 34784 22803 34129 
"4096/16" 70504 70387 30192 70189 
"4096/32" 76233 134613 53512 131252 
"4096/64" 209782 211590 145244 218024 
"4096/128" 254978 350382 177647 315853 
"4096/256" 285556 465190 215308 382337 
"4096/512" 447791 442725 420881 439812 
"4096/1024" 597876 667106 649944 664192 
"4096/2048" 805213 680989 894700 1079557 
"4096/4096" 829472 634932 848564 1249553 
"8192/4" 16732 19960 16958 15868 
"8192/8" 18270 38418 23903 34485 
"8192/16" 33175 63758 44768 69338 
"8192/32" 70682 124794 89452 39444 
"8192/64" 79217 214096 87449 216364 
"8192/128" 252246 299632 142125 276655 
"8192/256" 282815 423160 307715 458418 
"8192/512" 477385 505864 255482 545403 
"8192/1024" 587960 647737 304297 651495 
"8192/2048" 812867 730579 751972 758580 
"8192/4096" 853683 280211 777672 861863 
"8192/8192" 957687 815355 1263188 1391544 
"16384/4" 7844 9166 9389 23700 
"16384/8" 28725 35119 13951 33961 
"16384/16" 24324 41865 24174 39613 
"16384/32" 60084 54792 59203 131722 
"16384/64" 106943 96302 83561 111550 
"16384/128" 114959 172285 92416 132118 
"16384/256" 282965 83457 147991 378968 
"16384/512" 462630 197117 320852 492235 
"16384/1024" 579677 283753 473552 651784 
"16384/2048" 778234 522900 428071 946512 
"16384/4096" 849302 538858 542174 824678 
"16384/8192" 865781 577961 881665 648334 
"16384/16384" 979024 513702 976520 1443146 
"32768/64" 91872 72928 75280 124577 
"32768/128" 159713 82521 155434 178205 
"32768/256" 139642 98581 215843 448089 
"32768/512" 315927 160558 227505 237399 
"32768/1024" 407020 218386 426405 670293 
"32768/2048" 744878 430433 826288 1065419 
"32768/4096" 828985 511984 532016 1271996 
"32768/8192" 869152 643290 994357 926695 
"32768/16384" 945990 830392 505498 732672 
"65536/64" 77563 114096 74082 67727 
"65536/128" 113977 87331 83956 92417 
"65536/256" 182694 94916 72579 95962 
"65536/512" 253329 135109 158469 131051 
"65536/1024" 313122 300146 313199 464791 
"65536/2048" 424884 283310 287000 300507 
"65536/4096" 379567 411046 439561 524044 
"65536/8192" 606001 698046 570443 639275 
"65536/16384" 884987 640332 825950 690863 
"131072/64" 70253 53662 66817 66406 
"131072/128" 107026 151974 90276 83230 
"131072/256" 148541 145850 118004 335994 
"131072/512" 213724 157109 143072 146082 
"131072/1024" 292342 316070 287469 197686 
"131072/2048" 373177 371101 350002 271429 
"131072/4096" 501152 515759 516782 1194778 
"131072/8192" 739162 258844 453368 142040 
"131072/16384" 820538 628006 934425 1244664 
"262144/64" 75430 105213 70032 117556 
"262144/128" 106209 239852 88848 253275 
"262144/256" 137264 208306 110620 324664 
"262144/512" 185163 114075 154463 432791 
"262144/1024" 213850 227092 240430 255887 
"262144/2048" 324463 233092 314929 292270 
"262144/4096" 426138 436804 427740 351962 
"262144/8192" 549163 848881 172329 482979 
"262144/16384" 811385 1087441 804275 653846 
"524288/64" 74986 149188 63539 86341 
"524288/128" 103017 104865 78332 104858 
"524288/256" 135524 128390 110948 313022 
"524288/512" 189213 144528 124098 297048 
"524288/1024" 223825 208423 185184 262291 
"524288/2048" 410843 318965 163123 378109 
"524288/4096" 486867 445134 219976 427414 
"524288/8192" 569137 503653 489644 615777 
"524288/16384" 767972 1056123 655993 1121529 
