Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 15369 73729 60028 94659 
"64/8" 19808 116115 131148 116771 
"64/16" 41696 254006 164099 216165 
"64/32" 50073 173991 230257 199906 
"64/64" 102895 240575 313664 388021 
"128/4" 15638 66110 67363 92678 
"128/8" 26457 141587 100711 151838 
"128/16" 46713 129279 162255 212975 
"128/32" 73274 284388 227313 268999 
"128/64" 93845 258135 274641 300464 
"128/128" 157034 282592 304727 304727 
"256/4" 9420 78165 11325 75515 
"256/8" 26865 120756 83385 72112 
"256/16" 47233 223193 44693 213858 
"256/32" 92517 290844 84071 301544 
"256/64" 116107 300447 104066 262605 
"256/128" 149446 310347 137415 376512 
"256/256" 209314 418971 185229 454627 
"512/4" 10964 69812 20481 68548 
"512/8" 33249 101407 21566 91247 
"512/16" 56870 150322 53410 106734 
"512/32" 67582 132676 73627 266940 
"512/64" 111373 187474 134555 146039 
"512/128" 156913 148278 155380 159405 
"512/256" 201022 150407 164472 139548 
"512/512" 42236 152154 258334 195495 
"1024/4" 10721 63650 20369 76526 
"1024/8" 26617 102987 12754 93695 
"1024/16" 50441 139638 51336 145701 
"1024/32" 75571 97933 79570 159481 
"1024/64" 110918 129032 130614 98594 
"1024/128" 154635 113889 146013 165084 
"1024/256" 200084 224669 199452 99640 
"1024/512" 290577 141866 260367 100759 
"1024/1024" 361079 170470 331074 182665 
"2048/4" 10398 70307 20635 44432 
"2048/8" 23782 109889 23402 75789 
"2048/16" 60306 155103 52040 112776 
"2048/32" 85426 343861 71289 110011 
"2048/64" 127967 339244 132436 99427 
"2048/128" 167347 423675 174582 123112 
"2048/256" 213330 451892 251036 410337 
"2048/512" 355193 747939 269506 124308 
"2048/1024" 417112 774020 349542 122598 
"2048/2048" 579664 632691 599152 361334 
"4096/4" 16417 70596 18393 51564 
"4096/8" 26439 146327 25758 142653 
"4096/16" 42500 211273 45294 226420 
"4096/32" 88230 307184 73133 275619 
"4096/64" 133094 385468 125298 378880 
"4096/128" 172579 571522 165910 427191 
"4096/256" 212614 238001 236325 667210 
"4096/512" 311529 711358 252902 643927 
"4096/1024" 447802 483642 377614 640208 
"4096/2048" 576238 683699 548758 706327 
"4096/4096" 514894 463084 469026 836784 
"8192/4" 17943 69484 17342 69915 
"8192/8" 21337 144783 24815 131412 
"8192/16" 68586 203159 64317 158737 
"8192/32" 82118 286503 47716 184700 
"8192/64" 116335 353666 120064 394985 
"8192/128" 155433 287358 152642 440860 
"8192/256" 203999 583557 229590 578292 
"8192/512" 381237 556560 324305 777601 
"8192/1024" 405564 423249 402891 774726 
"8192/2048" 662039 453876 577301 656411 
"8192/4096" 544064 28180 619342 725274 
"8192/8192" 524153 106284 468756 688809 
"16384/4" 15721 66853 18471 66109 
"16384/8" 28457 118164 21951 129183 
"16384/16" 83900 190595 67054 209256 
"16384/32" 95357 116560 83281 279762 
"16384/64" 124118 100672 115178 110947 
"16384/128" 154849 112297 151470 120787 
"16384/256" 201168 98623 189548 495236 
"16384/512" 254129 96093 309980 654965 
"16384/1024" 415226 124281 284806 712068 
"16384/2048" 541956 23582 556258 317187 
"16384/4096" 571648 56397 491159 339748 
"16384/8192" 516941 94408 563663 477584 
"16384/16384" 600055 104258 347758 739883 
"32768/64" 155731 44309 139816 308482 
"32768/128" 161045 98722 155202 360100 
"32768/256" 183154 106778 192265 452952 
"32768/512" 229110 104610 233176 92758 
"32768/1024" 361717 102416 280677 740069 
"32768/2048" 547583 124122 396496 697352 
"32768/4096" 437770 37325 610137 750938 
"32768/8192" 424880 42449 394966 411616 
"32768/16384" 482933 113336 301439 88856 
"65536/64" 156696 96586 173209 101005 
"65536/128" 168593 105059 161026 44487 
"65536/256" 182398 12492 216995 104184 
"65536/512" 238747 20209 198775 36007 
"65536/1024" 324105 17604 320929 389223 
"65536/2048" 467643 27175 436787 109756 
"65536/4096" 380992 113695 412506 147563 
"65536/8192" 434672 109411 425204 116437 
"65536/16384" 393259 10841 371563 42783 
"131072/64" 159694 157629 145759 98818 
"131072/128" 167336 92986 164405 109436 
"131072/256" 203579 108986 193568 109404 
"131072/512" 298426 110011 224348 17480 
"131072/1024" 296741 555839 280702 131520 
"131072/2048" 420411 46088 406038 14443 
"131072/4096" 403540 105315 448918 672764 
"131072/8192" 359101 112298 418678 532546 
"131072/16384" 434495 345505 422785 417250 
"262144/64" 166864 311118 171458 305027 
"262144/128" 190643 404917 181124 355221 
"262144/256" 205959 147093 190010 537790 
"262144/512" 307529 38826 242882 473918 
"262144/1024" 346015 25144 316442 99214 
"262144/2048" 363078 123133 401589 109746 
"262144/4096" 347031 110038 325169 29346 
"262144/8192" 434240 632168 398879 13529 
"262144/16384" 393083 483525 356906 121289 
"524288/64" 165858 339995 167051 104070 
"524288/128" 184977 380917 189761 133746 
"524288/256" 209503 19524 223769 576586 
"524288/512" 282942 57152 256212 467604 
"524288/1024" 330882 33944 326783 635502 
"524288/2048" 402895 16160 382852 41798 
"524288/4096" 411315 14847 404616 73851 
"524288/8192" 377204 20084 387963 59264 
"524288/16384" 492376 651039 342837 332210 
