Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 28059 24922 26328 31294 
"64/8" 50317 24326 50280 15948 
"64/16" 86125 55077 70256 55224 
"64/32" 140409 127777 128265 110932 
"64/64" 193424 6560 165312 176392 
"128/4" 13467 1315 13220 32668 
"128/8" 54677 30060 52936 16318 
"128/16" 96096 55172 93016 64197 
"128/32" 128906 16638 129810 27384 
"128/64" 194532 5514 184124 176323 
"128/128" 200638 10474 201240 315286 
"256/4" 25780 1499 21315 36539 
"256/8" 57129 27807 53612 28548 
"256/16" 87948 55747 91360 32619 
"256/32" 151641 87876 138229 113170 
"256/64" 160312 57221 150514 105695 
"256/128" 222776 66684 215489 166994 
"256/256" 240167 78239 288966 67084 
"512/4" 25608 9550 27516 10193 
"512/8" 57514 10396 31916 18551 
"512/16" 37948 12054 84004 9779 
"512/32" 124572 104491 126450 39680 
"512/64" 158804 52107 184241 58567 
"512/128" 229583 63224 222703 97613 
"512/256" 247098 320242 264866 73255 
"512/512" 385488 159654 92203 173972 
"1024/4" 23747 13093 24149 11420 
"1024/8" 44334 10745 35276 11597 
"1024/16" 95816 23868 72061 10671 
"1024/32" 141106 37354 83907 33505 
"1024/64" 176734 63927 44009 73347 
"1024/128" 205748 77758 215938 60818 
"1024/256" 250979 74695 251966 75177 
"1024/512" 408623 271544 181814 147129 
"1024/1024" 573671 301447 133297 247765 
"2048/4" 29223 9178 29426 10990 
"2048/8" 44407 34969 27008 9952 
"2048/16" 76040 68355 74074 9683 
"2048/32" 139785 136532 89019 48187 
"2048/64" 194027 202493 182334 64843 
"2048/128" 227151 312057 231411 76578 
"2048/256" 248574 261929 245245 364926 
"2048/512" 422093 469195 360439 455028 
"2048/1024" 543811 566999 158049 307004 
"2048/2048" 819196 740204 103911 95114 
"4096/4" 35352 34934 28889 7706 
"4096/8" 54923 34716 42952 34033 
"4096/16" 64519 74367 57840 72683 
"4096/32" 91103 138317 81974 137127 
"4096/64" 198171 211710 188763 217977 
"4096/128" 244390 342502 221188 317740 
"4096/256" 260459 364514 297978 362254 
"4096/512" 450350 491417 370010 445607 
"4096/1024" 584969 534785 452699 575620 
"4096/2048" 771962 694702 375091 741060 
"4096/4096" 821028 780768 38838 1060302 
"8192/4" 44898 19208 30811 34637 
"8192/8" 58257 34216 58661 34124 
"8192/16" 78965 47249 66995 71236 
"8192/32" 106016 125382 109130 22714 
"8192/64" 129497 210758 109999 219430 
"8192/128" 243990 299645 252706 312705 
"8192/256" 242258 404585 299077 387275 
"8192/512" 434423 461937 301531 529296 
"8192/1024" 530539 576053 355555 724189 
"8192/2048" 817236 621729 272649 848392 
"8192/4096" 843311 206113 218944 700178 
"8192/8192" 862057 769193 350624 1051888 
"16384/4" 49670 10244 30127 25305 
"16384/8" 69698 33407 66288 34041 
"16384/16" 105724 68435 102918 44682 
"16384/32" 135561 36331 135013 132294 
"16384/64" 147880 62983 135403 164516 
"16384/128" 173804 106006 209425 73566 
"16384/256" 274826 74705 241983 379435 
"16384/512" 415751 161531 341975 494684 
"16384/1024" 466778 285629 460846 600653 
"16384/2048" 799102 288913 716053 732407 
"16384/4096" 846321 539070 751387 688001 
"16384/8192" 845707 663560 227259 598832 
"16384/16384" 998890 848914 226248 1115851 
"32768/64" 186923 60021 191916 234185 
"32768/128" 212808 79385 231654 233948 
"32768/256" 193206 77988 242282 362129 
"32768/512" 369979 157806 253214 179616 
"32768/1024" 554675 259439 418498 676996 
"32768/2048" 517832 484554 642058 909061 
"32768/4096" 855652 498554 439414 1077852 
"32768/8192" 871583 558445 330715 290991 
"32768/16384" 1008742 797585 944813 565257 
"65536/64" 201716 90945 222120 61222 
"65536/128" 199014 87765 250789 74994 
"65536/256" 249462 121309 292238 97242 
"65536/512" 379491 293383 333057 168580 
"65536/1024" 489622 194115 413962 278869 
"65536/2048" 612440 289141 611308 371201 
"65536/4096" 720651 419671 531978 521136 
"65536/8192" 731093 677298 561740 554848 
"65536/16384" 1001680 773050 413233 702693 
"131072/64" 213520 59974 194465 60553 
"131072/128" 246809 73104 252084 73903 
"131072/256" 254646 141673 285495 79806 
"131072/512" 404596 150104 312138 190801 
"131072/1024" 476424 270379 444795 216001 
"131072/2048" 678114 388843 594540 430915 
"131072/4096" 756714 536867 708800 1170201 
"131072/8192" 786869 180829 560127 153296 
"131072/16384" 922028 527336 923262 1091129 
"262144/64" 231222 241621 223352 106038 
"262144/128" 251090 305887 276823 340414 
"262144/256" 273267 80590 314657 166510 
"262144/512" 419917 152153 297339 239306 
"262144/1024" 488854 289813 447484 284194 
"262144/2048" 744997 390114 628314 307534 
"262144/4096" 786780 528746 714239 551521 
"262144/8192" 988819 1336474 745304 779628 
"262144/16384" 1052572 1079350 812033 617758 
"524288/64" 225131 153175 175168 70168 
"524288/128" 258186 151699 257129 117079 
"524288/256" 291249 84121 261899 454186 
"524288/512" 486884 155686 325268 179019 
"524288/1024" 564456 305832 417725 730923 
"524288/2048" 738469 453749 682854 391869 
"524288/4096" 815540 534933 478114 463339 
"524288/8192" 777701 797665 599087 617010 
"524288/16384" 1130082 708262 327024 437617 
