Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 16798 92506 64779 74673 
"64/8" 23522 107943 91810 117900 
"64/16" 38814 192178 205099 148077 
"64/32" 50195 182882 181399 231848 
"64/64" 129254 233664 232854 300328 
"128/4" 16038 76555 13407 91369 
"128/8" 26727 110154 21077 135000 
"128/16" 49400 144288 37316 184758 
"128/32" 71670 227699 64552 182870 
"128/64" 94672 245280 95379 225027 
"128/128" 186815 287587 138518 284992 
"256/4" 10344 79063 3308 69114 
"256/8" 37531 133953 28850 141434 
"256/16" 54491 190352 47187 237458 
"256/32" 81972 271777 70387 256765 
"256/64" 96387 308032 118138 226776 
"256/128" 145045 424604 155528 329085 
"256/256" 185229 412215 227545 498069 
"512/4" 8958 71409 18509 76052 
"512/8" 25584 112996 39252 123640 
"512/16" 49084 206711 54643 162789 
"512/32" 81502 262566 87954 226651 
"512/64" 112059 155628 124630 157777 
"512/128" 144516 164208 161503 308068 
"512/256" 186643 242302 203575 154220 
"512/512" 357329 157685 241512 189710 
"1024/4" 14464 64204 21688 67346 
"1024/8" 33057 87001 22490 103007 
"1024/16" 56577 128739 62313 104852 
"1024/32" 91616 146242 80516 155621 
"1024/64" 123107 127872 125258 160554 
"1024/128" 158265 101447 169114 138807 
"1024/256" 210271 163500 204914 107732 
"1024/512" 303406 150632 231412 147700 
"1024/1024" 452111 362603 351044 112035 
"2048/4" 15227 91851 20152 68586 
"2048/8" 25385 129495 25080 90700 
"2048/16" 54845 208621 31631 116921 
"2048/32" 92106 353527 90618 142906 
"2048/64" 127055 413160 133066 110786 
"2048/128" 171971 459900 193572 44206 
"2048/256" 223040 493736 220001 449621 
"2048/512" 365267 627836 232042 126536 
"2048/1024" 462500 792882 413916 52997 
"2048/2048" 537112 808859 519914 460739 
"4096/4" 18076 73790 18444 68668 
"4096/8" 22001 138927 25618 139928 
"4096/16" 44432 193208 45790 202321 
"4096/32" 90216 280777 86175 281204 
"4096/64" 133185 382158 137021 383164 
"4096/128" 173025 428011 194593 208438 
"4096/256" 208820 577226 216950 459713 
"4096/512" 341930 658944 289589 504299 
"4096/1024" 413566 727812 317394 639184 
"4096/2048" 584969 655975 578528 823468 
"4096/4096" 523316 707811 33733 797957 
"8192/4" 17855 88124 20968 86956 
"8192/8" 29107 110791 37152 145975 
"8192/16" 78603 206534 73955 28498 
"8192/32" 64588 299481 68978 284642 
"8192/64" 121897 403464 120099 347145 
"8192/128" 161868 431358 183512 415224 
"8192/256" 218821 408398 258342 537073 
"8192/512" 356747 693298 281153 354539 
"8192/1024" 416811 471943 437420 662678 
"8192/2048" 521449 443868 523913 626684 
"8192/4096" 540300 78320 445046 627646 
"8192/8192" 533786 145400 131122 835661 
"16384/4" 16579 73399 18506 89024 
"16384/8" 32283 140067 25855 130055 
"16384/16" 106653 245250 64301 232311 
"16384/32" 107319 102793 85280 231540 
"16384/64" 110655 104338 106376 105780 
"16384/128" 142726 105271 173708 263463 
"16384/256" 195366 102836 240774 568451 
"16384/512" 345050 66668 331030 458026 
"16384/1024" 421463 99173 470453 753661 
"16384/2048" 605112 100445 458497 457971 
"16384/4096" 613102 99414 480411 451624 
"16384/8192" 599820 37458 108852 713221 
"16384/16384" 659104 36021 146865 740353 
"32768/64" 131839 41042 144821 378580 
"32768/128" 155852 50186 148175 390960 
"32768/256" 196641 124220 203744 410729 
"32768/512" 299374 133744 228537 107812 
"32768/1024" 341910 105767 353457 638642 
"32768/2048" 592701 39769 461561 542157 
"32768/4096" 536318 37648 234985 616321 
"32768/8192" 598055 88365 436760 123611 
"32768/16384" 525726 91529 248942 107983 
"65536/64" 163783 36596 147360 38102 
"65536/128" 175912 107471 152382 104653 
"65536/256" 189680 13327 201692 113055 
"65536/512" 292358 21626 275129 103165 
"65536/1024" 350870 25063 363299 403390 
"65536/2048" 426819 20239 444628 105415 
"65536/4096" 391098 111643 447824 109345 
"65536/8192" 414462 103898 412960 118132 
"65536/16384" 376342 10210 423448 15180 
"131072/64" 182832 105832 165284 107586 
"131072/128" 184331 110392 159975 106786 
"131072/256" 205495 114099 192375 108031 
"131072/512" 303794 132423 261078 115089 
"131072/1024" 296118 73702 324434 105252 
"131072/2048" 398072 39880 458362 12549 
"131072/4096" 428687 121288 436861 667206 
"131072/8192" 431457 110207 390714 614210 
"131072/16384" 423204 130722 401214 391724 
"262144/64" 170512 311562 169078 317480 
"262144/128" 179710 411647 173446 413652 
"262144/256" 207341 53041 226653 553968 
"262144/512" 313418 14441 314806 155004 
"262144/1024" 351566 20214 327500 111158 
"262144/2048" 430994 108540 401870 130690 
"262144/4096" 443450 60408 286274 114947 
"262144/8192" 431125 175214 248583 18463 
"262144/16384" 400338 587386 330176 113919 
"524288/64" 172436 137120 169607 108472 
"524288/128" 181212 133758 165638 33133 
"524288/256" 210270 121236 232172 571297 
"524288/512" 302543 54395 253297 598030 
"524288/1024" 325889 113321 345869 574675 
"524288/2048" 410879 16713 412712 28103 
"524288/4096" 434471 18418 384924 46573 
"524288/8192" 408765 206892 348858 16978 
"524288/16384" 419476 181852 178655 161577 
