Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 28307 32110 24643 16486 
"64/8" 48082 28159 33022 31726 
"64/16" 93570 52125 61135 61010 
"64/32" 128758 85006 109217 115714 
"64/64" 167897 5199 144180 204474 
"128/4" 29816 2068 23214 33050 
"128/8" 49459 27491 28380 33844 
"128/16" 99295 56861 17000 66701 
"128/32" 135580 99295 111111 127984 
"128/64" 202531 5266 174433 33421 
"128/128" 233137 10599 330828 242839 
"256/4" 28412 16623 29843 15343 
"256/8" 58128 27219 17186 10755 
"256/16" 85962 54772 17488 10781 
"256/32" 152394 104828 51737 29592 
"256/64" 194984 55761 157145 112530 
"256/128" 215835 99496 98419 270001 
"256/256" 245943 78193 365242 81320 
"512/4" 31145 15833 15928 11438 
"512/8" 58440 11116 25558 23427 
"512/16" 100331 10414 40071 26171 
"512/32" 152468 107225 76179 28121 
"512/64" 172159 154120 106575 51659 
"512/128" 242193 91495 238243 73436 
"512/256" 243125 76225 158511 72450 
"512/512" 393253 166293 149277 152935 
"1024/4" 28885 10822 19083 14381 
"1024/8" 58165 19057 19217 13607 
"1024/16" 102400 10551 66013 10813 
"1024/32" 87135 32592 48379 36995 
"1024/64" 186625 84879 128254 56174 
"1024/128" 222217 78690 240886 83955 
"1024/256" 258067 72654 200233 75818 
"1024/512" 434282 243757 246570 146058 
"1024/1024" 571154 284683 357532 272630 
"2048/4" 30505 8673 27903 9188 
"2048/8" 57766 34685 24955 11471 
"2048/16" 100406 71220 56619 15652 
"2048/32" 155280 137375 125613 92900 
"2048/64" 207708 189791 163918 62179 
"2048/128" 239108 319699 166572 102656 
"2048/256" 265417 320450 193224 350512 
"2048/512" 444457 491701 126287 180188 
"2048/1024" 572402 590543 254224 295910 
"2048/2048" 824148 693978 543089 602387 
"4096/4" 30591 18747 18514 14203 
"4096/8" 58138 34803 33197 34310 
"4096/16" 100791 73200 65533 70447 
"4096/32" 152910 137833 81117 132005 
"4096/64" 204861 211898 145671 218615 
"4096/128" 252623 341413 185961 313245 
"4096/256" 272014 432755 162599 358453 
"4096/512" 121875 493138 288675 407445 
"4096/1024" 594566 629465 586227 174699 
"4096/2048" 789995 702946 788725 988894 
"4096/4096" 824971 1059452 190538 1065298 
"8192/4" 45797 27657 35384 35140 
"8192/8" 64470 24977 37287 34196 
"8192/16" 103562 63663 64162 69336 
"8192/32" 148424 110491 118059 44941 
"8192/64" 164125 213000 184293 199766 
"8192/128" 258113 305648 253536 263196 
"8192/256" 282482 392845 203491 459165 
"8192/512" 461131 463870 342075 515541 
"8192/1024" 605118 604129 353849 584639 
"8192/2048" 832603 661338 577505 906378 
"8192/4096" 880865 185109 819595 730517 
"8192/8192" 903803 685237 864226 916337 
"16384/4" 56391 11507 21528 27873 
"16384/8" 78932 32635 36274 34136 
"16384/16" 86427 44208 63870 68206 
"16384/32" 145645 30480 89150 132730 
"16384/64" 201693 62068 106430 151637 
"16384/128" 197857 148810 130694 74678 
"16384/256" 257265 84165 221420 394187 
"16384/512" 460599 170903 284806 435523 
"16384/1024" 567864 286083 315629 622375 
"16384/2048" 817974 474595 667342 854626 
"16384/4096" 858115 559127 803099 772095 
"16384/8192" 858426 647790 674296 701908 
"16384/16384" 986458 714088 637686 1461811 
"32768/64" 135247 56438 175026 230174 
"32768/128" 221625 84647 236383 218320 
"32768/256" 202605 73756 290082 434151 
"32768/512" 355104 165884 358971 150398 
"32768/1024" 541610 273591 553270 610479 
"32768/2048" 480462 419467 624618 1055057 
"32768/4096" 850121 546396 663079 1233512 
"32768/8192" 879582 643670 925728 717967 
"32768/16384" 996867 786183 587934 1037096 
"65536/64" 220573 119807 161518 88654 
"65536/128" 242334 71785 105457 75955 
"65536/256" 248372 166424 207820 78966 
"65536/512" 400366 278840 248863 177827 
"65536/1024" 382383 336089 289144 267536 
"65536/2048" 714414 458996 577887 382705 
"65536/4096" 711929 445202 541579 558713 
"65536/8192" 754589 686637 751137 625611 
"65536/16384" 878112 811139 931569 794156 
"131072/64" 244629 62666 187623 110203 
"131072/128" 239686 120876 162495 71667 
"131072/256" 261406 182500 198294 84531 
"131072/512" 406486 154469 217792 193586 
"131072/1024" 481367 132061 397578 301465 
"131072/2048" 713157 389891 576959 501093 
"131072/4096" 696557 523329 524120 1178737 
"131072/8192" 768110 572331 703028 659451 
"131072/16384" 904937 785756 1127549 1022792 
"262144/64" 246554 170307 207476 199917 
"262144/128" 270776 283181 125621 285924 
"262144/256" 273338 78558 239456 348762 
"262144/512" 447891 154418 146440 164615 
"262144/1024" 545597 277234 403974 209747 
"262144/2048" 763264 354088 319469 530930 
"262144/4096" 817228 527011 254249 638629 
"262144/8192" 852847 775759 664323 800928 
"262144/16384" 1051276 985682 961220 847802 
"524288/64" 203424 202686 125709 74683 
"524288/128" 274998 85853 127626 133926 
"524288/256" 283407 104926 205921 461911 
"524288/512" 485407 150268 124455 411831 
"524288/1024" 578534 300098 211085 431067 
"524288/2048" 808131 430750 316066 388711 
"524288/4096" 805088 536031 255552 389341 
"524288/8192" 859247 856823 652684 634322 
"524288/16384" 823254 972874 378840 396493 
