Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 3014 59535 15009 79706 
"64/8" 24844 124286 28430 118524 
"64/16" 40198 198135 38414 123543 
"64/32" 36762 164099 48923 136761 
"64/64" 91435 222989 109040 78817 
"128/4" 37460 58823 35935 75384 
"128/8" 23180 134324 8493 105624 
"128/16" 44769 198487 41001 135443 
"128/32" 70485 176846 56969 166688 
"128/64" 91494 16870 98008 280671 
"128/128" 134023 320748 139128 290387 
"256/4" 13453 70893 13639 77410 
"256/8" 25211 133254 11751 112224 
"256/16" 39373 147556 45478 148495 
"256/32" 77645 278257 71412 220897 
"256/64" 100709 221444 97596 274067 
"256/128" 138819 306188 148577 350117 
"256/256" 182584 428843 224359 581719 
"512/4" 8135 75805 9798 73957 
"512/8" 28702 131386 31757 56320 
"512/16" 48179 121816 35054 114107 
"512/32" 70223 111744 76830 137194 
"512/64" 95862 121968 106180 168142 
"512/128" 137115 170046 157396 233681 
"512/256" 187343 155628 207450 171705 
"512/512" 305874 168644 205288 162284 
"1024/4" 12669 73189 19749 77906 
"1024/8" 24691 83983 28306 91773 
"1024/16" 54671 134084 39245 94194 
"1024/32" 84530 271252 50041 127773 
"1024/64" 106933 122430 113210 120571 
"1024/128" 150654 171868 42146 160548 
"1024/256" 212582 218753 150279 148641 
"1024/512" 285402 143539 319594 139262 
"1024/1024" 394910 96568 351648 110178 
"2048/4" 13974 75034 15587 71726 
"2048/8" 35502 130661 21807 81551 
"2048/16" 57335 216737 23610 109302 
"2048/32" 85113 315808 50193 113937 
"2048/64" 123484 291571 123596 98994 
"2048/128" 96118 401815 170057 102909 
"2048/256" 196077 613531 115981 336229 
"2048/512" 323540 142043 317020 406185 
"2048/1024" 367817 747678 394834 119667 
"2048/2048" 161693 570009 645869 26210 
"4096/4" 17705 89198 11220 74892 
"4096/8" 24735 107031 22858 137389 
"4096/16" 68097 221610 51459 201566 
"4096/32" 49030 388361 59998 315245 
"4096/64" 114445 417191 125340 350861 
"4096/128" 163682 457753 152345 399961 
"4096/256" 212108 506305 145666 511430 
"4096/512" 306516 738957 241253 623819 
"4096/1024" 431429 475385 430251 619478 
"4096/2048" 163414 706211 322089 780519 
"4096/4096" 480975 696731 560557 779598 
"8192/4" 15887 69064 16425 70157 
"8192/8" 23914 137281 24466 131995 
"8192/16" 75964 235004 48411 206827 
"8192/32" 98946 302008 63574 141724 
"8192/64" 136030 323999 96376 364556 
"8192/128" 164882 442091 171230 424410 
"8192/256" 203548 495641 251751 325038 
"8192/512" 314823 617705 351784 623398 
"8192/1024" 418644 345974 357166 605065 
"8192/2048" 445433 240557 512864 663061 
"8192/4096" 533678 28552 502483 317705 
"8192/8192" 413943 202636 415420 649132 
"16384/4" 17541 72729 18888 83028 
"16384/8" 41728 136828 24599 127737 
"16384/16" 89411 216866 65560 208408 
"16384/32" 114044 145632 86051 303390 
"16384/64" 121431 127305 111635 287186 
"16384/128" 125944 129697 128336 97827 
"16384/256" 192085 32142 155301 364258 
"16384/512" 316561 103107 249364 573810 
"16384/1024" 450496 30084 397689 680062 
"16384/2048" 586234 37331 521353 441832 
"16384/4096" 615177 42707 575584 63028 
"16384/8192" 594290 97032 522781 49727 
"16384/16384" 592098 108616 547265 687766 
"32768/64" 157181 37643 146877 413309 
"32768/128" 162423 107676 130907 357948 
"32768/256" 183955 38397 182062 581341 
"32768/512" 260049 123938 230502 402901 
"32768/1024" 358609 111131 305017 572467 
"32768/2048" 581189 33945 543353 539738 
"32768/4096" 568416 97011 346413 571648 
"32768/8192" 591789 48738 456295 356844 
"32768/16384" 632415 104365 576818 46409 
"65536/64" 164742 108531 158974 108612 
"65536/128" 179723 109428 170058 95931 
"65536/256" 186260 14770 191440 42350 
"65536/512" 250206 16950 239465 34601 
"65536/1024" 346091 22042 258941 51851 
"65536/2048" 449918 20771 487310 116669 
"65536/4096" 451253 24189 427119 103300 
"65536/8192" 449233 116737 428427 110577 
"65536/16384" 455392 9936 434660 48024 
"131072/64" 179500 96202 183053 102856 
"131072/128" 184670 59610 156174 102610 
"131072/256" 200779 80587 186730 109015 
"131072/512" 285057 108650 263323 14125 
"131072/1024" 316680 18822 303909 40476 
"131072/2048" 428139 110149 391424 16975 
"131072/4096" 392608 117076 424142 608657 
"131072/8192" 411936 168028 392250 385838 
"131072/16384" 400367 109093 389991 643437 
"262144/64" 163732 311403 169832 143900 
"262144/128" 181629 119967 181912 469019 
"262144/256" 213314 109302 205988 172963 
"262144/512" 300624 63271 251687 286304 
"262144/1024" 354168 23113 331626 103089 
"262144/2048" 434756 56984 363044 21899 
"262144/4096" 409426 19194 392732 18016 
"262144/8192" 404756 646868 389994 11678 
"262144/16384" 390698 659705 387519 98814 
"524288/64" 171061 203117 172109 22104 
"524288/128" 186071 83033 183586 46051 
"524288/256" 207089 51925 202080 287721 
"524288/512" 299873 88589 254015 260829 
"524288/1024" 339842 32557 323379 661499 
"524288/2048" 394222 24633 390251 73767 
"524288/4096" 406863 14133 388326 125451 
"524288/8192" 413689 18533 376174 115047 
"524288/16384" 430541 220700 380234 129936 
