Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 28044 27645 23827 30591 
"64/8" 47579 31667 13217 33434 
"64/16" 73147 64068 70718 48631 
"64/32" 84525 91810 27571 96082 
"64/64" 160854 179338 181767 29382 
"128/4" 30253 7397 22126 8574 
"128/8" 54912 27705 53892 28551 
"128/16" 68928 47074 75246 62771 
"128/32" 118415 121662 108550 27936 
"128/64" 170662 5719 147499 129279 
"128/128" 196023 10303 194814 76100 
"256/4" 16069 26575 10222 15357 
"256/8" 57435 28048 36097 16507 
"256/16" 84996 55907 93565 59563 
"256/32" 128579 129027 111455 102860 
"256/64" 168197 161324 170197 196483 
"256/128" 208622 238566 210876 271228 
"256/256" 274627 145536 259370 84989 
"512/4" 17770 11332 13325 9617 
"512/8" 29135 16224 19222 16507 
"512/16" 96582 38337 61309 26934 
"512/32" 135660 102938 83239 60655 
"512/64" 169817 193714 174637 110156 
"512/128" 203498 54128 206037 100056 
"512/256" 254477 327769 226651 85208 
"512/512" 439445 159500 287334 311644 
"1024/4" 22215 17126 18028 11470 
"1024/8" 47208 18200 25511 9794 
"1024/16" 92872 51490 53048 31865 
"1024/32" 141552 83933 118820 46349 
"1024/64" 193285 196513 189943 121327 
"1024/128" 240873 166228 204924 76881 
"1024/256" 254655 47729 276830 170802 
"1024/512" 378117 134348 273498 179933 
"1024/1024" 495393 265222 356050 220641 
"2048/4" 16078 27652 18556 12571 
"2048/8" 55869 36395 25233 15922 
"2048/16" 78747 76563 65605 56858 
"2048/32" 146864 132393 115451 130679 
"2048/64" 175269 233334 160779 161386 
"2048/128" 239588 312340 281316 99282 
"2048/256" 277732 361319 128168 383876 
"2048/512" 499885 423132 112453 170581 
"2048/1024" 560964 491364 250795 79642 
"2048/2048" 637197 628019 428451 742572 
"4096/4" 27019 16687 16367 19092 
"4096/8" 43760 27943 25207 30784 
"4096/16" 75222 65610 59613 72921 
"4096/32" 106059 118350 89753 121456 
"4096/64" 202361 215330 151692 213680 
"4096/128" 238653 270150 165595 284539 
"4096/256" 279858 374985 259468 371482 
"4096/512" 403664 485254 467634 425298 
"4096/1024" 531131 632012 586147 628612 
"4096/2048" 819540 760345 203761 912037 
"4096/4096" 306768 249544 301513 1145110 
"8192/4" 23953 24295 22845 34937 
"8192/8" 23864 29895 32756 30517 
"8192/16" 54071 73404 55823 75184 
"8192/32" 103345 132231 93726 109657 
"8192/64" 192278 164359 193435 188409 
"8192/128" 245292 308154 174520 309810 
"8192/256" 219412 362590 208261 357791 
"8192/512" 519070 534126 266468 441733 
"8192/1024" 581699 548625 298749 695065 
"8192/2048" 675962 694180 257311 772253 
"8192/4096" 828908 501040 776933 1002799 
"8192/8192" 828308 604660 315438 1320015 
"16384/4" 10068 19067 9256 16692 
"16384/8" 19542 22760 19592 19892 
"16384/16" 34710 49252 28023 48974 
"16384/32" 87090 70982 49469 59087 
"16384/64" 146802 98295 105047 111410 
"16384/128" 170345 91828 182504 184591 
"16384/256" 280798 142648 246002 345850 
"16384/512" 416717 161506 302662 413432 
"16384/1024" 533682 257274 314188 779708 
"16384/2048" 598545 381741 651500 844397 
"16384/4096" 614852 519269 314817 882276 
"16384/8192" 886247 680089 919523 950624 
"16384/16384" 663451 808837 849922 1420739 
"32768/64" 84706 93883 118703 201715 
"32768/128" 216220 130125 199659 281868 
"32768/256" 268742 104124 359318 325505 
"32768/512" 465554 149690 420485 143066 
"32768/1024" 573920 264006 683807 748281 
"32768/2048" 669898 306942 516274 916071 
"32768/4096" 832651 526681 483703 1066527 
"32768/8192" 828520 790066 427948 658416 
"32768/16384" 991467 872928 672965 796716 
"65536/64" 86353 79455 82523 66569 
"65536/128" 166628 76021 143103 89601 
"65536/256" 262866 117089 115073 86663 
"65536/512" 392071 163819 213463 156141 
"65536/1024" 408136 240079 451838 532082 
"65536/2048" 739842 270150 634910 402872 
"65536/4096" 778003 547337 640907 553229 
"65536/8192" 882544 645344 378855 676248 
"65536/16384" 971726 629349 982489 799336 
"131072/64" 100372 60595 94081 71831 
"131072/128" 149253 87653 116279 90771 
"131072/256" 219364 86366 149467 108029 
"131072/512" 322034 149834 122975 145879 
"131072/1024" 378159 302932 395537 289978 
"131072/2048" 686064 364321 576995 306837 
"131072/4096" 723683 759846 636426 1161018 
"131072/8192" 722897 668322 586420 1337593 
"131072/16384" 694999 510747 759041 170618 
"262144/64" 107180 158944 71455 161952 
"262144/128" 158478 270791 111995 173332 
"262144/256" 240179 108843 134437 132322 
"262144/512" 325885 118739 236976 162171 
"262144/1024" 457245 242171 312876 281052 
"262144/2048" 632964 369591 478407 372972 
"262144/4096" 666849 259970 386064 402698 
"262144/8192" 672041 379970 562992 520152 
"262144/16384" 751619 1022665 909575 769280 
"524288/64" 111775 70340 85543 56659 
"524288/128" 145568 104420 107926 108124 
"524288/256" 182654 122453 136940 315992 
"524288/512" 342821 153743 154635 353535 
"524288/1024" 362102 288559 355811 552600 
"524288/2048" 621965 343203 218540 328247 
"524288/4096" 575914 500588 374361 512428 
"524288/8192" 627725 548617 442139 605388 
"524288/16384" 801341 1108808 342729 637298 
