Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/caching-5 6-HDD-1-NVMe/read-caching-5 6-HDD-1-NVMe/write-caching-5 
"64/4" 12302 6003 12463 42381 
"64/8" 23615 74075 20163 109040 
"64/16" 40458 29197 41748 119156 
"64/32" 46677 178741 54885 188798 
"64/64" 93019 209747 106487 209911 
"128/4" 14181 21170 6591 62319 
"128/8" 26287 65609 22273 105521 
"128/16" 40632 105355 40482 120758 
"128/32" 56716 148973 68515 147987 
"128/64" 88158 228961 95243 243832 
"128/128" 148314 303350 146613 295665 
"256/4" 12378 19294 12416 73208 
"256/8" 29813 124812 10255 93256 
"256/16" 45730 148495 39831 153198 
"256/32" 95124 189178 77853 254211 
"256/64" 111259 338633 110005 344611 
"256/128" 140748 275544 169338 306188 
"256/256" 205942 398744 253431 395659 
"512/4" 11204 82330 18507 67130 
"512/8" 15128 122337 23330 92218 
"512/16" 60944 142143 49512 111791 
"512/32" 73860 92720 73068 133162 
"512/64" 100968 321777 95733 165269 
"512/128" 143176 266113 151297 359784 
"512/256" 198992 157050 231364 184701 
"512/512" 305482 212710 236929 137669 
"1024/4" 14127 73101 20297 71146 
"1024/8" 23501 85740 17597 107654 
"1024/16" 52467 103864 28005 101265 
"1024/32" 82594 145850 85299 145499 
"1024/64" 107697 105556 109087 125967 
"1024/128" 150474 120230 145228 152629 
"1024/256" 195868 119961 224905 185577 
"1024/512" 345149 276171 278788 152765 
"1024/1024" 431143 195378 298452 90933 
"2048/4" 15540 82077 23600 67971 
"2048/8" 23056 136361 26684 89844 
"2048/16" 46463 202412 38868 111322 
"2048/32" 91760 283264 84398 145270 
"2048/64" 119618 299365 123835 118821 
"2048/128" 153718 423132 171305 133916 
"2048/256" 195044 600576 233340 448940 
"2048/512" 322932 658949 320594 410671 
"2048/1024" 378698 675904 374749 109865 
"2048/2048" 609007 738042 585991 31455 
"4096/4" 16037 91121 16578 82928 
"4096/8" 25995 150113 23550 124565 
"4096/16" 48977 213789 35211 208067 
"4096/32" 80367 289141 62279 339692 
"4096/64" 124430 314760 133017 322900 
"4096/128" 160550 478670 159055 363181 
"4096/256" 199009 555698 236094 613264 
"4096/512" 339015 594319 352286 599441 
"4096/1024" 397288 514755 448621 256995 
"4096/2048" 603950 832003 417871 802842 
"4096/4096" 598043 813679 485364 630157 
"8192/4" 15511 76834 17285 76161 
"8192/8" 20482 116715 19850 91085 
"8192/16" 63567 236229 47808 226806 
"8192/32" 82184 304354 64495 324525 
"8192/64" 118760 221907 120633 386799 
"8192/128" 157175 426110 174057 437587 
"8192/256" 214488 480778 206409 537746 
"8192/512" 304332 571987 359690 589737 
"8192/1024" 433070 292717 339141 618027 
"8192/2048" 541722 424148 473034 746629 
"8192/4096" 529060 112865 595089 785279 
"8192/8192" 547523 107215 580903 630005 
"16384/4" 15969 68593 17006 86248 
"16384/8" 21426 119792 38823 102816 
"16384/16" 88496 195128 70393 199267 
"16384/32" 103038 208216 87910 295403 
"16384/64" 109167 113837 109925 415678 
"16384/128" 165543 100737 171060 375609 
"16384/256" 204938 86869 245130 362542 
"16384/512" 329081 49617 251435 625246 
"16384/1024" 423009 37576 383871 467779 
"16384/2048" 558836 70813 534217 438357 
"16384/4096" 532709 34934 516843 25856 
"16384/8192" 622589 35842 530534 28438 
"16384/16384" 599072 99676 554543 503053 
"32768/64" 129108 34078 148804 405464 
"32768/128" 152829 99563 133927 387003 
"32768/256" 195267 39101 175061 462192 
"32768/512" 262121 98128 219484 340467 
"32768/1024" 428345 110328 361192 656632 
"32768/2048" 659316 44757 592162 660510 
"32768/4096" 552861 116079 481655 677276 
"32768/8192" 515026 75176 551715 437584 
"32768/16384" 572868 111016 561000 92642 
"65536/64" 158933 103425 165824 108620 
"65536/128" 177228 100669 168466 102257 
"65536/256" 184457 27297 185205 40600 
"65536/512" 276976 16693 238241 102584 
"65536/1024" 356631 17155 325926 38132 
"65536/2048" 466980 24876 462929 114539 
"65536/4096" 496435 20084 510238 116369 
"65536/8192" 432045 108774 418741 122276 
"65536/16384" 450871 11247 443574 99864 
"131072/64" 157476 41148 163726 12896 
"131072/128" 179811 36700 162850 117849 
"131072/256" 228430 14522 207229 114135 
"131072/512" 267105 122409 258045 14146 
"131072/1024" 344724 26256 346692 52498 
"131072/2048" 471175 113076 372024 24718 
"131072/4096" 485847 109113 446003 109895 
"131072/8192" 428317 109349 353549 645175 
"131072/16384" 484313 113545 450608 618608 
"262144/64" 172439 355763 156534 321666 
"262144/128" 174090 246723 170697 225992 
"262144/256" 206544 106933 189748 482833 
"262144/512" 283794 41311 237294 600732 
"262144/1024" 327530 22493 322323 65085 
"262144/2048" 391246 110063 360614 11534 
"262144/4096" 444346 44422 383731 36477 
"262144/8192" 428723 127467 398858 14971 
"262144/16384" 438276 637863 388655 74638 
"524288/64" 168569 151406 155384 106803 
"524288/128" 186112 110888 160033 14196 
"524288/256" 203011 106128 203776 136395 
"524288/512" 292139 113004 239140 201268 
"524288/1024" 337059 114638 289356 612295 
"524288/2048" 410273 51229 389037 46010 
"524288/4096" 403386 37731 394548 19415 
"524288/8192" 390206 17155 376573 72391 
"524288/16384" 412028 648397 385001 18625 
