Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 29357 29398 
"64/8" 33698 42468 
"64/16" 69492 60311 
"64/32" 104254 102542 
"64/64" 137602 173879 
"128/4" 10291 13959 
"128/8" 55577 42653 
"128/16" 78377 83122 
"128/32" 129685 137772 
"128/64" 11800 251014 
"128/128" 187402 415597 
"256/4" 14484 14320 
"256/8" 50335 53658 
"256/16" 75632 93127 
"256/32" 143821 150493 
"256/64" 144947 222823 
"256/128" 202676 376909 
"256/256" 237458 561343 
"512/4" 19178 14305 
"512/8" 58374 26755 
"512/16" 96495 105679 
"512/32" 129033 174623 
"512/64" 188230 293580 
"512/128" 54225 395353 
"512/256" 251349 665926 
"512/512" 376500 903136 
"1024/4" 20696 26534 
"1024/8" 25951 22671 
"1024/16" 54185 70762 
"1024/32" 132112 174984 
"1024/64" 177560 315069 
"1024/128" 204348 445221 
"1024/256" 121142 658050 
"1024/512" 404239 848337 
"1024/1024" 630148 1259592 
"2048/4" 14489 24523 
"2048/8" 34197 34936 
"2048/16" 65024 75006 
"2048/32" 86223 106169 
"2048/64" 188927 299856 
"2048/128" 213622 136078 
"2048/256" 273976 851516 
"2048/512" 220402 877436 
"2048/1024" 555630 1280015 
"2048/2048" 913453 1357061 
"4096/4" 20688 21135 
"4096/8" 30299 25310 
"4096/16" 57841 60038 
"4096/32" 147084 108348 
"4096/64" 139996 188989 
"4096/128" 218743 490589 
"4096/256" 174349 838991 
"4096/512" 423318 924603 
"4096/1024" 535134 1364802 
"4096/2048" 881796 1697480 
"4096/4096" 920047 529347 
"8192/4" 17296 21247 
"8192/8" 24680 37242 
"8192/16" 40894 111123 
"8192/32" 107705 139326 
"8192/64" 188664 220375 
"8192/128" 254434 357137 
"8192/256" 280682 782952 
"8192/512" 471295 973976 
"8192/1024" 600360 1255480 
"8192/2048" 526442 1509269 
"8192/4096" 541475 1613905 
"8192/8192" 727008 1740015 
"16384/4" 10185 7425 
"16384/8" 18708 31546 
"16384/16" 26376 70278 
"16384/32" 56405 141975 
"16384/64" 92877 193542 
"16384/128" 248819 441259 
"16384/256" 281076 834685 
"16384/512" 486073 1070083 
"16384/1024" 576047 1454940 
"16384/2048" 623652 1742830 
"16384/4096" 813866 1841910 
"16384/8192" 885425 1859101 
"16384/16384" 996168 1960008 
"32768/64" 79431 219364 
"32768/128" 160894 200341 
"32768/256" 255630 850189 
"32768/512" 467006 1110511 
"32768/1024" 589722 1478095 
"32768/2048" 817827 1648625 
"32768/4096" 857263 1252316 
"32768/8192" 872529 1879871 
"32768/16384" 1021191 2189222 
"65536/64" 81122 222367 
"65536/128" 130387 321199 
"65536/256" 224358 687717 
"65536/512" 283903 1015554 
"65536/1024" 432620 1357469 
"65536/2048" 812124 1726860 
"65536/4096" 859431 1724672 
"65536/8192" 958983 1841409 
"65536/16384" 1001009 2114676 
"131072/64" 80324 176159 
"131072/128" 107789 240896 
"131072/256" 164644 477620 
"131072/512" 206055 769450 
"131072/1024" 316194 1559618 
"131072/2048" 493975 1849859 
"131072/4096" 585890 1864332 
"131072/8192" 730479 1861819 
"131072/16384" 871408 2274605 
"262144/64" 75870 134324 
"262144/128" 113369 219447 
"262144/256" 137597 443270 
"262144/512" 185283 776948 
"262144/1024" 282433 1399169 
"262144/2048" 462242 1899276 
"262144/4096" 518776 2034125 
"262144/8192" 612268 1896406 
"262144/16384" 859280 2464224 
"524288/64" 75154 149395 
"524288/128" 106134 218984 
"524288/256" 141125 403935 
"524288/512" 202430 624012 
"524288/1024" 263136 1126464 
"524288/2048" 367330 1801874 
"524288/4096" 488845 1928705 
"524288/8192" 593222 2311207 
"524288/16384" 780944 2472391 
