Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 5735102 4564786 
"64/8" 4564786 3738358 
"64/16" 3363612 4274062 
"64/32" 4897948 4564786 
"64/64" 4274062 4018152 
"128/4" 3657016 3053774 
"128/8" 4407601 6330599 
"128/16" 6406138 4135958 
"128/32" 6114306 7917784 
"128/64" 4557257 7582312 
"128/128" 4557257 9129573 
"256/4" 3197509 3823789 
"256/8" 4477549 4840911 
"256/16" 4998665 4929815 
"256/32" 4929815 6719046 
"256/64" 8024634 6073004 
"256/128" 5217259 8534922 
"256/256" 5971678 8534922 
"512/4" 3678421 5807059 
"512/8" 7435738 8018812 
"512/16" 5227492 7647578 
"512/32" 5684095 8109658 
"512/64" 7758090 8528336 
"512/128" 5807059 9638369 
"512/256" 5684095 10694336 
"512/512" 8394979 10235583 
"1024/4" 3984917 6016997 
"1024/8" 7420395 4629166 
"1024/16" 8199542 9485232 
"1024/32" 6208343 5660167 
"1024/64" 8680108 8750850 
"1024/128" 8895850 10039528 
"1024/256" 6819511 9765601 
"1024/512" 6208343 10039528 
"1024/1024" 6059442 9765601 
"2048/4" 6243566 6670210 
"2048/8" 6780783 8029434 
"2048/16" 5953632 7343043 
"2048/32" 8059569 7817519 
"2048/64" 9752360 9441504 
"2048/128" 6603549 9024882 
"2048/256" 9708272 9441504 
"2048/512" 8903279 10834854 
"2048/1024" 9483197 11015480 
"2048/2048" 8036946 9441504 
"4096/4" 4208889 6628532 
"4096/8" 5396016 7612471 
"4096/16" 8811067 8660056 
"4096/32" 9593374 10041975 
"4096/64" 9183139 9550708 
"4096/128" 6989921 9685316 
"4096/256" 9701724 7123239 
"4096/512" 9482180 9989424 
"4096/1024" 9105266 9891647 
"4096/2048" 6758923 9461292 
"4096/4096" 8620945 8430572 
"8192/4" 4354953 6220301 
"8192/8" 6895660 7236972 
"8192/16" 7719891 9471217 
"8192/32" 6590145 9571475 
"8192/64" 7328036 9224572 
"8192/128" 7142200 10076743 
"8192/256" 10343693 10064936 
"8192/512" 9536939 10254172 
"8192/1024" 10315743 11442544 
"8192/2048" 10190307 7154097 
"8192/4096" 6177802 6141364 
"8192/8192" 5588034 7321790 
"16384/4" 5323045 6313339 
"16384/8" 6697931 7327103 
"16384/16" 6056817 6048288 
"16384/32" 9900792 9106976 
"16384/64" 9389438 10144884 
"16384/128" 9599293 7961193 
"16384/256" 10474243 9677701 
"16384/512" 9604660 10310799 
"16384/1024" 10429731 11121805 
"16384/2048" 7481865 9026826 
"16384/4096" 8376536 7933620 
"16384/8192" 6540472 6614761 
"16384/16384" 6912867 6798654 
"32768/64" 10431952 10249138 
"32768/128" 8567014 10412984 
"32768/256" 10673373 9787840 
"32768/512" 10556955 10515761 
"32768/1024" 10646090 10475685 
"32768/2048" 8291539 10279033 
"32768/4096" 8323173 8335794 
"32768/8192" 6242740 5969687 
"32768/16384" 5434129 6316184 
"65536/64" 9144063 9033179 
"65536/128" 10142046 9725094 
"65536/256" 10291658 10701548 
"65536/512" 10546750 9947880 
"65536/1024" 10532606 9940326 
"65536/2048" 10146538 10217823 
"65536/4096" 8461737 8667725 
"65536/8192" 6291291 6725038 
"65536/16384" 6857237 6627747 
"131072/64" 10166015 11047968 
"131072/128" 10041604 10236812 
"131072/256" 9707030 11435424 
"131072/512" 9404479 11472413 
"131072/1024" 9577826 11118125 
"131072/2048" 9412691 10978471 
"131072/4096" 9177463 9137042 
"131072/8192" 6540522 6700024 
"131072/16384" 6663884 6747555 
"262144/64" 10934016 11477419 
"262144/128" 9233633 12194465 
"262144/256" 11605470 12011688 
"262144/512" 10965640 12095464 
"262144/1024" 11069413 12075936 
"262144/2048" 10724661 11931396 
"262144/4096" 9059409 9497969 
"262144/8192" 6975985 6833772 
"262144/16384" 6965997 6855588 
"524288/64" 10997106 12043516 
"524288/128" 11087597 12194723 
"524288/256" 9810594 12307749 
"524288/512" 9335941 12432724 
"524288/1024" 12008134 12509817 
"524288/2048" 12124193 12302860 
"524288/4096" 8500683 9777312 
"524288/8192" 6822573 6896520 
"524288/16384" 7013515 6933005 
