Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 3057153 4897948 
"64/8" 4207076 4897948 
"64/16" 2662899 4018152 
"64/32" 2561267 3363612 
"64/64" 2662899 4274062 
"128/4" 3053774 3785961 
"128/8" 3759450 3657016 
"128/16" 3759450 3536566 
"128/32" 4012317 7082197 
"128/64" 3657016 5122535 
"128/128" 4135958 7082197 
"256/4" 5117791 3823789 
"256/8" 3245838 4197489 
"256/16" 3410808 5841722 
"256/32" 3545976 6249745 
"256/64" 5687020 6249745 
"256/128" 5810112 6891544 
"256/256" 3705040 6936061 
"512/4" 3710197 3934520 
"512/8" 4973263 6018636 
"512/16" 5886650 6395018 
"512/32" 3913012 6338392 
"512/64" 3905895 6018636 
"512/128" 3788747 5870558 
"512/256" 4000485 4784885 
"512/512" 4061007 7091952 
"1024/4" 3655895 4033569 
"1024/8" 4574926 6163794 
"1024/16" 4374559 6744549 
"1024/32" 4162573 6650556 
"1024/64" 4433259 4634161 
"1024/128" 7319232 7054742 
"1024/256" 5169641 7008693 
"1024/512" 7420395 5630486 
"1024/1024" 5042191 4614246 
"2048/4" 5785224 3784436 
"2048/8" 6845629 6603549 
"2048/16" 6114678 6759439 
"2048/32" 6298503 6378005 
"2048/64" 7343043 7042051 
"2048/128" 7419150 6690992 
"2048/256" 7262337 4923146 
"2048/512" 7368238 7088541 
"2048/1024" 4321315 7286980 
"2048/2048" 7343043 7065219 
"4096/4" 5159420 6131713 
"4096/8" 6389405 6471234 
"4096/16" 7135072 4441761 
"4096/32" 7380284 4633432 
"4096/64" 4887857 4649735 
"4096/128" 5019235 4819300 
"4096/256" 4746074 4911613 
"4096/512" 4910209 5211065 
"4096/1024" 5792648 5062125 
"4096/2048" 4964124 4893426 
"4096/4096" 4551192 6512939 
"8192/4" 4291316 6290911 
"8192/8" 4699856 6850292 
"8192/16" 6692839 6995337 
"8192/32" 4911476 7154097 
"8192/64" 5065711 6687628 
"8192/128" 6965556 7427838 
"8192/256" 5078440 7440706 
"8192/512" 5053790 7440706 
"8192/1024" 7640921 5958192 
"8192/2048" 6917874 7269124 
"8192/4096" 5449769 6192276 
"8192/8192" 5724900 5645881 
"16384/4" 6177694 6417699 
"16384/8" 5659275 6948516 
"16384/16" 5647647 6122653 
"16384/32" 6262707 7320858 
"16384/64" 5343741 7491652 
"16384/128" 7028827 5944691 
"16384/256" 7043235 7167383 
"16384/512" 7403675 7550092 
"16384/1024" 6720201 5163459 
"16384/2048" 6488597 7327103 
"16384/4096" 4575257 5940066 
"16384/8192" 5347483 5287006 
"16384/16384" 5305783 5820327 
"32768/64" 5079456 7533045 
"32768/128" 6773125 7084918 
"32768/256" 7740943 5069339 
"32768/512" 7039196 7574561 
"32768/1024" 5618741 7638550 
"32768/2048" 6778470 6767456 
"32768/4096" 6300549 6432659 
"32768/8192" 5705748 5074955 
"32768/16384" 5445109 5326511 
"65536/64" 8642653 8039291 
"65536/128" 7831769 8173639 
"65536/256" 8118118 7552876 
"65536/512" 5175847 8126998 
"65536/1024" 8863653 5376184 
"65536/2048" 8056964 8239546 
"65536/4096" 6901311 6887650 
"65536/8192" 5578580 5391263 
"65536/16384" 4198352 5220773 
"131072/64" 9046975 8793869 
"131072/128" 8735877 8861482 
"131072/256" 8188346 8732824 
"131072/512" 8848930 9022032 
"131072/1024" 8930434 9055171 
"131072/2048" 8884970 8623105 
"131072/4096" 7128132 7311865 
"131072/8192" 5683945 5623938 
"131072/16384" 5539558 5613086 
"262144/64" 8624580 8814582 
"262144/128" 8304919 8915864 
"262144/256" 8870262 9023869 
"262144/512" 8802373 8269006 
"262144/1024" 8341399 9060977 
"262144/2048" 8917383 7151676 
"262144/4096" 7061695 7368945 
"262144/8192" 5745241 5626609 
"262144/16384" 5746982 5677189 
"524288/64" 9070912 9021233 
"524288/128" 9082826 9031200 
"524288/256" 8704183 9084252 
"524288/512" 7485761 8397615 
"524288/1024" 9113429 9098121 
"524288/2048" 9041002 8986616 
"524288/4096" 6829608 7532015 
"524288/8192" 5793553 5699154 
"524288/16384" 5808888 5717112 
