Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 1828508 2561267 
"64/8" 2133730 2133730 
"64/16" 2379626 2467108 
"64/32" 3541098 3363612 
"64/64" 2358717 2467108 
"128/4" 1705404 1663139 
"128/8" 2166499 3036502 
"128/16" 2621367 2558895 
"128/32" 2673584 4267461 
"128/64" 3199360 4934216 
"128/128" 5122535 5122535 
"256/4" 2330140 2911402 
"256/8" 2223962 3717869 
"256/16" 2458168 2061693 
"256/32" 4197489 4907284 
"256/64" 3368013 3410808 
"256/128" 4819184 7120034 
"256/256" 3123106 5117791 
"512/4" 1753325 2800557 
"512/8" 2625909 3504346 
"512/16" 2575520 4305250 
"512/32" 2910635 4784885 
"512/64" 3163620 5951911 
"512/128" 3481620 5760329 
"512/256" 4610256 4610256 
"512/512" 3239989 3182373 
"1024/4" 2625597 3074849 
"1024/8" 3594699 3458646 
"1024/16" 4029784 2559871 
"1024/32" 4415030 4720752 
"1024/64" 3083680 5813392 
"1024/128" 5048117 5782087 
"1024/256" 3461434 3794792 
"1024/512" 5169641 7590887 
"1024/1024" 3655895 5363307 
"2048/4" 2479196 2622235 
"2048/8" 3271351 4394265 
"2048/16" 4122233 4248644 
"2048/32" 4207028 4540600 
"2048/64" 3065856 4818211 
"2048/128" 3841986 4623699 
"2048/256" 4385291 4347560 
"2048/512" 4079167 3862718 
"2048/1024" 6167360 7013303 
"2048/2048" 4829046 5689430 
"4096/4" 2701744 3119752 
"4096/8" 3599532 3349029 
"4096/16" 3954116 2684016 
"4096/32" 4371684 4633432 
"4096/64" 4413235 4751325 
"4096/128" 4088687 4447510 
"4096/256" 3977000 3984379 
"4096/512" 4149921 4316760 
"4096/1024" 3098371 4491697 
"4096/2048" 6013663 5969780 
"4096/4096" 4899008 4703198 
"8192/4" 2393271 2904014 
"8192/8" 3153193 2430172 
"8192/16" 4051471 3223903 
"8192/32" 4081792 3942233 
"8192/64" 3469697 4339005 
"8192/128" 3032953 4295608 
"8192/256" 3844314 3986600 
"8192/512" 3022813 3399327 
"8192/1024" 3372633 3449147 
"8192/2048" 4339005 4268923 
"8192/4096" 5558204 5509188 
"8192/8192" 4496285 4019714 
"16384/4" 1994134 2184496 
"16384/8" 3507562 2863334 
"16384/16" 2949358 3893497 
"16384/32" 3388733 3831626 
"16384/64" 3935641 4332113 
"16384/128" 3619327 3782069 
"16384/256" 3433432 3957399 
"16384/512" 3036948 3695031 
"16384/1024" 3572477 3753561 
"16384/2048" 3886231 3693442 
"16384/4096" 3683543 3465289 
"16384/8192" 5408935 5403406 
"16384/16384" 4176255 4273385 
"32768/64" 3842425 4054867 
"32768/128" 3878752 3973279 
"32768/256" 3292912 3461693 
"32768/512" 3744848 3675643 
"32768/1024" 3316272 3649777 
"32768/2048" 3323650 3676823 
"32768/4096" 3235014 3667307 
"32768/8192" 4151004 3678004 
"32768/16384" 6144498 5811911 
"65536/64" 4743133 4019869 
"65536/128" 4268038 4231637 
"65536/256" 3923587 3756301 
"65536/512" 3099632 3821793 
"65536/1024" 3712468 3843059 
"65536/2048" 3838551 3709713 
"65536/4096" 2904832 3619729 
"65536/8192" 2996212 3609794 
"65536/16384" 4391034 4663547 
"131072/64" 4886770 4735077 
"131072/128" 3405962 4426310 
"131072/256" 4032483 3825138 
"131072/512" 3890181 3941528 
"131072/1024" 3969705 3874772 
"131072/2048" 3851993 3752860 
"131072/4096" 3394333 3618676 
"131072/8192" 3797002 3721435 
"131072/16384" 4446142 4281860 
"262144/64" 4696744 5012891 
"262144/128" 4285846 4508453 
"262144/256" 3456042 4030810 
"262144/512" 4036581 3995001 
"262144/1024" 3947483 3907349 
"262144/2048" 3707629 3852909 
"262144/4096" 3642457 3682422 
"262144/8192" 3567563 3714142 
"262144/16384" 4015750 4191157 
"524288/64" 4469670 4917394 
"524288/128" 3804230 4503105 
"524288/256" 3924606 4021727 
"524288/512" 3806667 3827671 
"524288/1024" 3953720 3825021 
"524288/2048" 3618672 3864717 
"524288/4096" 3362288 3543515 
"524288/8192" 3190440 3691260 
"524288/16384" 3857327 4002103 
