Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 852702 1690338 
"64/8" 1124074 1124074 
"64/16" 1933893 2133730 
"64/32" 2379626 1828508 
"64/64" 1484662 1310683 
"128/4" 1057236 1391557 
"128/8" 1243315 1294270 
"128/16" 2248149 2202044 
"128/32" 1658003 1622919 
"128/64" 1684006 1642783 
"128/128" 1487977 1642783 
"256/4" 1842366 1707589 
"256/8" 2187712 1489641 
"256/16" 1481420 1694118 
"256/32" 1696795 2943325 
"256/64" 2692393 3368013 
"256/128" 2582316 3087188 
"256/256" 1707589 1942349 
"512/4" 1064794 1909204 
"512/8" 1426135 2337255 
"512/16" 2424328 1399189 
"512/32" 2413429 2845081 
"512/64" 2600470 2625909 
"512/128" 2521095 3431550 
"512/256" 2135087 2357784 
"512/512" 1834193 3029721 
"1024/4" 1987669 1729884 
"1024/8" 2382379 2337008 
"1024/16" 1743932 2604895 
"1024/32" 2426801 2348509 
"1024/64" 2559871 2916180 
"1024/128" 2008114 1812371 
"1024/256" 2976816 2069060 
"1024/512" 3483896 3436508 
"1024/1024" 2751762 2798378 
"2048/4" 1272054 1253308 
"2048/8" 1562145 2311106 
"2048/16" 2260624 2316716 
"2048/32" 2741930 1699359 
"2048/64" 2111168 1773019 
"2048/128" 2311728 1833573 
"2048/256" 2109095 1980705 
"2048/512" 3199462 2155672 
"2048/1024" 2473485 3165272 
"2048/2048" 2832339 2602375 
"4096/4" 1233671 1391217 
"4096/8" 1653054 1526040 
"4096/16" 1577755 2590526 
"4096/32" 2541097 2727047 
"4096/64" 2732686 2710696 
"4096/128" 2700046 2185509 
"4096/256" 2541097 2623759 
"4096/512" 2046000 1804455 
"4096/1024" 3005151 2196126 
"4096/2048" 2461720 3290024 
"4096/4096" 2901120 2925823 
"8192/4" 1598141 1468879 
"8192/8" 1555949 1815976 
"8192/16" 2138288 1594655 
"8192/32" 1816456 1953278 
"8192/64" 1797263 1833516 
"8192/128" 1805574 2396109 
"8192/256" 1862638 2535436 
"8192/512" 2067645 1816456 
"8192/1024" 2351344 1966807 
"8192/2048" 2659668 2926772 
"8192/4096" 3183872 2724410 
"8192/8192" 2563240 2831736 
"16384/4" 1736488 1608496 
"16384/8" 1562168 1537527 
"16384/16" 1713839 1699597 
"16384/32" 2181584 1898915 
"16384/64" 2146758 1813188 
"16384/128" 2120918 2252078 
"16384/256" 1768531 2276851 
"16384/512" 2072872 2621399 
"16384/1024" 2595263 2814548 
"16384/2048" 2093203 2826240 
"16384/4096" 2403383 3118961 
"16384/8192" 3034668 3334148 
"16384/16384" 2362890 3006126 
"32768/64" 2377597 1964738 
"32768/128" 2431781 2394289 
"32768/256" 2404468 1876765 
"32768/512" 2344422 1866925 
"32768/1024" 2383122 2815575 
"32768/2048" 2325461 2699867 
"32768/4096" 2394623 2678870 
"32768/8192" 2633696 2809072 
"32768/16384" 2639564 3332434 
"65536/64" 2715733 2560199 
"65536/128" 2670563 2052556 
"65536/256" 2532694 2519739 
"65536/512" 1989320 2511910 
"65536/1024" 2586579 2616618 
"65536/2048" 2490156 2172796 
"65536/4096" 2126964 2706188 
"65536/8192" 2312000 2721595 
"65536/16384" 2503970 3467361 
"131072/64" 3013916 2919918 
"131072/128" 2598264 2754952 
"131072/256" 2693128 2608967 
"131072/512" 2659682 2111580 
"131072/1024" 2638593 2772780 
"131072/2048" 2601202 2708773 
"131072/4096" 2542813 2641560 
"131072/8192" 2067055 2459099 
"131072/16384" 3003969 3079402 
"262144/64" 3040905 2580384 
"262144/128" 2668291 2472124 
"262144/256" 2433367 2726802 
"262144/512" 2730181 2371508 
"262144/1024" 2384665 2670468 
"262144/2048" 2638776 2718859 
"262144/4096" 2429302 2624747 
"262144/8192" 2625274 2662140 
"262144/16384" 2854111 2913394 
"524288/64" 2927726 3111520 
"524288/128" 2797291 2863055 
"524288/256" 2647155 2671327 
"524288/512" 2719817 2762519 
"524288/1024" 2492788 2696901 
"524288/2048" 2478666 2698688 
"524288/4096" 2332461 2616231 
"524288/8192" 2343867 2633422 
"524288/16384" 2671123 2840070 
