Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 29711 29603 
"64/8" 61485 60597 
"64/16" 95399 113082 
"64/32" 137320 186051 
"64/64" 169701 281731 
"128/4" 32104 32340 
"128/8" 61924 51907 
"128/16" 102479 96754 
"128/32" 146613 152398 
"128/64" 210471 299124 
"128/128" 205162 476031 
"256/4" 28816 31675 
"256/8" 58594 58356 
"256/16" 87106 104147 
"256/32" 147800 178754 
"256/64" 191746 295975 
"256/128" 208825 577651 
"256/256" 254211 805021 
"512/4" 34254 23995 
"512/8" 62507 63667 
"512/16" 107428 92516 
"512/32" 159547 216222 
"512/64" 177524 368110 
"512/128" 251349 469723 
"512/256" 259771 665926 
"512/512" 393542 932550 
"1024/4" 31999 18268 
"1024/8" 60129 58423 
"1024/16" 102164 116376 
"1024/32" 154124 189524 
"1024/64" 204465 319523 
"1024/128" 231101 490415 
"1024/256" 254791 720655 
"1024/512" 423491 1102176 
"1024/1024" 589578 1358390 
"2048/4" 20821 26431 
"2048/8" 47498 58315 
"2048/16" 101281 125582 
"2048/32" 152266 204430 
"2048/64" 211789 338909 
"2048/128" 256770 538391 
"2048/256" 283339 799971 
"2048/512" 459900 930068 
"2048/1024" 570463 1242072 
"2048/2048" 834881 1423398 
"4096/4" 21850 29498 
"4096/8" 35409 35198 
"4096/16" 70504 117148 
"4096/32" 76233 197275 
"4096/64" 209782 323844 
"4096/128" 254978 567389 
"4096/256" 285556 959458 
"4096/512" 447791 1133699 
"4096/1024" 597876 1285648 
"4096/2048" 805213 1276003 
"4096/4096" 829472 1574862 
"8192/4" 16732 26890 
"8192/8" 18270 46872 
"8192/16" 33175 73993 
"8192/32" 70682 117631 
"8192/64" 79217 293442 
"8192/128" 252246 564534 
"8192/256" 282815 796511 
"8192/512" 477385 979529 
"8192/1024" 587960 1478168 
"8192/2048" 812867 1470199 
"8192/4096" 853683 1814825 
"8192/8192" 957687 1880169 
"16384/4" 7844 18226 
"16384/8" 28725 24954 
"16384/16" 24324 85993 
"16384/32" 60084 200462 
"16384/64" 106943 378970 
"16384/128" 114959 611047 
"16384/256" 282965 856052 
"16384/512" 462630 1555907 
"16384/1024" 579677 1923471 
"16384/2048" 778234 1669780 
"16384/4096" 849302 1713240 
"16384/8192" 865781 1890192 
"16384/16384" 979024 2138341 
"32768/64" 91872 286513 
"32768/128" 159713 597496 
"32768/256" 139642 416795 
"32768/512" 315927 1184412 
"32768/1024" 407020 1536028 
"32768/2048" 744878 1744729 
"32768/4096" 828985 2060096 
"32768/8192" 869152 1903011 
"32768/16384" 945990 2260033 
"65536/64" 77563 296776 
"65536/128" 113977 463735 
"65536/256" 182694 715638 
"65536/512" 253329 1163638 
"65536/1024" 313122 1837851 
"65536/2048" 424884 1790936 
"65536/4096" 379567 2261889 
"65536/8192" 606001 2177064 
"65536/16384" 884987 2747136 
"131072/64" 70253 148616 
"131072/128" 107026 347241 
"131072/256" 148541 390496 
"131072/512" 213724 615046 
"131072/1024" 292342 1121884 
"131072/2048" 373177 2106789 
"131072/4096" 501152 2035530 
"131072/8192" 739162 2347780 
"131072/16384" 820538 2767448 
"262144/64" 75430 142964 
"262144/128" 106209 264271 
"262144/256" 137264 448873 
"262144/512" 185163 785673 
"262144/1024" 213850 1003314 
"262144/2048" 324463 1256984 
"262144/4096" 426138 1976373 
"262144/8192" 549163 1565328 
"262144/16384" 811385 2474338 
"524288/64" 74986 151810 
"524288/128" 103017 213994 
"524288/256" 135524 329076 
"524288/512" 189213 736160 
"524288/1024" 223825 1019964 
"524288/2048" 410843 2097630 
"524288/4096" 486867 1923688 
"524288/8192" 569137 2515668 
"524288/16384" 767972 2403393 
