Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 15369 13349 
"64/8" 19808 16327 
"64/16" 41696 30274 
"64/32" 50073 37602 
"64/64" 102895 60720 
"128/4" 15638 13112 
"128/8" 26457 21753 
"128/16" 46713 39300 
"128/32" 73274 56141 
"128/64" 93845 66768 
"128/128" 157034 83614 
"256/4" 9420 14273 
"256/8" 26865 26039 
"256/16" 47233 46460 
"256/32" 92517 45804 
"256/64" 116107 49805 
"256/128" 149446 70253 
"256/256" 209314 93394 
"512/4" 10964 10680 
"512/8" 33249 17643 
"512/16" 56870 30734 
"512/32" 67582 63437 
"512/64" 111373 78588 
"512/128" 156913 83427 
"512/256" 201022 84321 
"512/512" 42236 68282 
"1024/4" 10721 17642 
"1024/8" 26617 17828 
"1024/16" 50441 28811 
"1024/32" 75571 63820 
"1024/64" 110918 82889 
"1024/128" 154635 70983 
"1024/256" 200084 106401 
"1024/512" 290577 107822 
"1024/1024" 361079 112266 
"2048/4" 10398 18651 
"2048/8" 23782 20635 
"2048/16" 60306 37732 
"2048/32" 85426 61731 
"2048/64" 127967 77472 
"2048/128" 167347 57603 
"2048/256" 213330 81551 
"2048/512" 355193 101788 
"2048/1024" 417112 122078 
"2048/2048" 579664 62183 
"4096/4" 16417 19807 
"4096/8" 26439 22254 
"4096/16" 42500 37045 
"4096/32" 88230 80308 
"4096/64" 133094 59906 
"4096/128" 172579 102068 
"4096/256" 212614 115292 
"4096/512" 311529 117165 
"4096/1024" 447802 95846 
"4096/2048" 576238 98511 
"4096/4096" 514894 81916 
"8192/4" 17943 16261 
"8192/8" 21337 26069 
"8192/16" 68586 32632 
"8192/32" 82118 48533 
"8192/64" 116335 69029 
"8192/128" 155433 96473 
"8192/256" 203999 110385 
"8192/512" 381237 112427 
"8192/1024" 405564 105642 
"8192/2048" 662039 123045 
"8192/4096" 544064 125692 
"8192/8192" 524153 124889 
"16384/4" 15721 18865 
"16384/8" 28457 23355 
"16384/16" 83900 34164 
"16384/32" 95357 52451 
"16384/64" 124118 74248 
"16384/128" 154849 80011 
"16384/256" 201168 107752 
"16384/512" 254129 119496 
"16384/1024" 415226 122202 
"16384/2048" 541956 125678 
"16384/4096" 571648 125658 
"16384/8192" 516941 125425 
"16384/16384" 600055 124941 
"32768/64" 155731 69431 
"32768/128" 161045 95999 
"32768/256" 183154 101275 
"32768/512" 229110 116352 
"32768/1024" 361717 121527 
"32768/2048" 547583 122143 
"32768/4096" 437770 119710 
"32768/8192" 424880 115406 
"32768/16384" 482933 121687 
"65536/64" 156696 74945 
"65536/128" 168593 83765 
"65536/256" 182398 99264 
"65536/512" 238747 107824 
"65536/1024" 324105 120170 
"65536/2048" 467643 123276 
"65536/4096" 380992 125077 
"65536/8192" 434672 120862 
"65536/16384" 393259 123221 
"131072/64" 159694 72393 
"131072/128" 167336 85672 
"131072/256" 203579 102495 
"131072/512" 298426 105486 
"131072/1024" 296741 113631 
"131072/2048" 420411 120575 
"131072/4096" 403540 124420 
"131072/8192" 359101 122809 
"131072/16384" 434495 123233 
"262144/64" 166864 69507 
"262144/128" 190643 82545 
"262144/256" 205959 101907 
"262144/512" 307529 107435 
"262144/1024" 346015 116222 
"262144/2048" 363078 120753 
"262144/4096" 347031 122272 
"262144/8192" 434240 121625 
"262144/16384" 393083 121437 
"524288/64" 165858 71176 
"524288/128" 184977 83919 
"524288/256" 209503 89941 
"524288/512" 282942 108268 
"524288/1024" 330882 116035 
"524288/2048" 402895 121015 
"524288/4096" 411315 121782 
"524288/8192" 377204 122424 
"524288/16384" 492376 121490 
