Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 28059 30668 
"64/8" 50317 46955 
"64/16" 86125 91186 
"64/32" 140409 102385 
"64/64" 193424 261173 
"128/4" 13467 11893 
"128/8" 54677 49268 
"128/16" 96096 64903 
"128/32" 128906 130727 
"128/64" 194532 216934 
"128/128" 200638 606767 
"256/4" 25780 28406 
"256/8" 57129 23679 
"256/16" 87948 96822 
"256/32" 151641 165374 
"256/64" 160312 254211 
"256/128" 222776 419626 
"256/256" 240167 792543 
"512/4" 25608 20716 
"512/8" 57514 45600 
"512/16" 37948 54025 
"512/32" 124572 179273 
"512/64" 158804 368362 
"512/128" 229583 430201 
"512/256" 247098 717308 
"512/512" 385488 1147892 
"1024/4" 23747 31839 
"1024/8" 44334 37743 
"1024/16" 95816 77040 
"1024/32" 141106 159274 
"1024/64" 176734 319903 
"1024/128" 205748 466296 
"1024/256" 250979 656040 
"1024/512" 408623 1029275 
"1024/1024" 573671 1387350 
"2048/4" 29223 34813 
"2048/8" 44407 44549 
"2048/16" 76040 125421 
"2048/32" 139785 191028 
"2048/64" 194027 172388 
"2048/128" 227151 468657 
"2048/256" 248574 833585 
"2048/512" 422093 928359 
"2048/1024" 543811 1302925 
"2048/2048" 819196 1393382 
"4096/4" 35352 36634 
"4096/8" 54923 64602 
"4096/16" 64519 127260 
"4096/32" 91103 172020 
"4096/64" 198171 232358 
"4096/128" 244390 361105 
"4096/256" 260459 414534 
"4096/512" 450350 1012378 
"4096/1024" 584969 541937 
"4096/2048" 771962 1504787 
"4096/4096" 821028 1475451 
"8192/4" 44898 38409 
"8192/8" 58257 57223 
"8192/16" 78965 108777 
"8192/32" 106016 163627 
"8192/64" 129497 285306 
"8192/128" 243990 553771 
"8192/256" 242258 469749 
"8192/512" 434423 310409 
"8192/1024" 530539 694770 
"8192/2048" 817236 753704 
"8192/4096" 843311 1800843 
"8192/8192" 862057 1883674 
"16384/4" 49670 40408 
"16384/8" 69698 57022 
"16384/16" 105724 103179 
"16384/32" 135561 191547 
"16384/64" 147880 362118 
"16384/128" 173804 468675 
"16384/256" 274826 796038 
"16384/512" 415751 1158203 
"16384/1024" 466778 1536667 
"16384/2048" 799102 1627197 
"16384/4096" 846321 1515654 
"16384/8192" 845707 1852336 
"16384/16384" 998890 2157475 
"32768/64" 186923 255732 
"32768/128" 212808 401027 
"32768/256" 193206 668039 
"32768/512" 369979 1114483 
"32768/1024" 554675 1315459 
"32768/2048" 517832 1641595 
"32768/4096" 855652 1486954 
"32768/8192" 871583 1886166 
"32768/16384" 1008742 2301743 
"65536/64" 201716 286178 
"65536/128" 199014 448066 
"65536/256" 249462 605419 
"65536/512" 379491 895557 
"65536/1024" 489622 1504533 
"65536/2048" 612440 1389066 
"65536/4096" 720651 1820084 
"65536/8192" 731093 1858604 
"65536/16384" 1001680 2023038 
"131072/64" 213520 289042 
"131072/128" 246809 466212 
"131072/256" 254646 752358 
"131072/512" 404596 922347 
"131072/1024" 476424 1164816 
"131072/2048" 678114 1683801 
"131072/4096" 756714 1796412 
"131072/8192" 786869 1874867 
"131072/16384" 922028 2126206 
"262144/64" 231222 273223 
"262144/128" 251090 509247 
"262144/256" 273267 818892 
"262144/512" 419917 921925 
"262144/1024" 488854 1222834 
"262144/2048" 744997 1460460 
"262144/4096" 786780 1731122 
"262144/8192" 988819 1426727 
"262144/16384" 1052572 1828482 
"524288/64" 225131 285484 
"524288/128" 258186 582945 
"524288/256" 291249 911799 
"524288/512" 486884 1084866 
"524288/1024" 564456 1712475 
"524288/2048" 738469 1679904 
"524288/4096" 815540 1737169 
"524288/8192" 777701 2344172 
"524288/16384" 1130082 2401178 
