Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 16798 12272 
"64/8" 23522 16410 
"64/16" 38814 28581 
"64/32" 50195 48160 
"64/64" 129254 48932 
"128/4" 16038 12778 
"128/8" 26727 19532 
"128/16" 49400 33632 
"128/32" 71670 56836 
"128/64" 94672 67728 
"128/128" 186815 56585 
"256/4" 10344 9324 
"256/8" 37531 25381 
"256/16" 54491 40881 
"256/32" 81972 56560 
"256/64" 96387 57117 
"256/128" 145045 83437 
"256/256" 185229 84996 
"512/4" 8958 9928 
"512/8" 25584 21261 
"512/16" 49084 33257 
"512/32" 81502 60484 
"512/64" 112059 75393 
"512/128" 144516 89981 
"512/256" 186643 85889 
"512/512" 357329 97427 
"1024/4" 14464 17762 
"1024/8" 33057 17829 
"1024/16" 56577 29945 
"1024/32" 91616 60047 
"1024/64" 123107 78708 
"1024/128" 158265 94411 
"1024/256" 210271 58712 
"1024/512" 303406 74598 
"1024/1024" 452111 119474 
"2048/4" 15227 19444 
"2048/8" 25385 20342 
"2048/16" 54845 52378 
"2048/32" 92106 53930 
"2048/64" 127055 79419 
"2048/128" 171971 68244 
"2048/256" 223040 97556 
"2048/512" 365267 68467 
"2048/1024" 462500 75424 
"2048/2048" 537112 101101 
"4096/4" 18076 18902 
"4096/8" 22001 22764 
"4096/16" 44432 34226 
"4096/32" 90216 68858 
"4096/64" 133185 56688 
"4096/128" 173025 100876 
"4096/256" 208820 107991 
"4096/512" 341930 115059 
"4096/1024" 413566 84437 
"4096/2048" 584969 119525 
"4096/4096" 523316 122389 
"8192/4" 17855 18940 
"8192/8" 29107 22432 
"8192/16" 78603 37069 
"8192/32" 64588 52906 
"8192/64" 121897 48397 
"8192/128" 161868 66876 
"8192/256" 218821 112671 
"8192/512" 356747 114783 
"8192/1024" 416811 119872 
"8192/2048" 521449 113959 
"8192/4096" 540300 115117 
"8192/8192" 533786 126476 
"16384/4" 16579 18222 
"16384/8" 32283 23890 
"16384/16" 106653 31658 
"16384/32" 107319 48444 
"16384/64" 110655 74820 
"16384/128" 142726 82324 
"16384/256" 195366 98800 
"16384/512" 345050 118632 
"16384/1024" 421463 117740 
"16384/2048" 605112 125287 
"16384/4096" 613102 125429 
"16384/8192" 599820 126165 
"16384/16384" 659104 125082 
"32768/64" 131839 67449 
"32768/128" 155852 81074 
"32768/256" 196641 98425 
"32768/512" 299374 117301 
"32768/1024" 341910 117778 
"32768/2048" 592701 118443 
"32768/4096" 536318 123939 
"32768/8192" 598055 124174 
"32768/16384" 525726 123690 
"65536/64" 163783 67476 
"65536/128" 175912 85970 
"65536/256" 189680 96346 
"65536/512" 292358 113002 
"65536/1024" 350870 116580 
"65536/2048" 426819 119240 
"65536/4096" 391098 121029 
"65536/8192" 414462 124528 
"65536/16384" 376342 123855 
"131072/64" 182832 75115 
"131072/128" 184331 84171 
"131072/256" 205495 102722 
"131072/512" 303794 103318 
"131072/1024" 296118 109816 
"131072/2048" 398072 122158 
"131072/4096" 428687 121988 
"131072/8192" 431457 121260 
"131072/16384" 423204 119617 
"262144/64" 170512 74702 
"262144/128" 179710 84730 
"262144/256" 207341 102538 
"262144/512" 313418 106256 
"262144/1024" 351566 118748 
"262144/2048" 430994 122689 
"262144/4096" 443450 122781 
"262144/8192" 431125 120425 
"262144/16384" 400338 121721 
"524288/64" 172436 71803 
"524288/128" 181212 86343 
"524288/256" 210270 95503 
"524288/512" 302543 106502 
"524288/1024" 325889 117303 
"524288/2048" 410879 120933 
"524288/4096" 434471 121107 
"524288/8192" 408765 121709 
"524288/16384" 419476 120846 
