Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 28307 27363 
"64/8" 48082 56934 
"64/16" 93570 106487 
"64/32" 128758 154201 
"64/64" 167897 283217 
"128/4" 29816 30584 
"128/8" 49459 51593 
"128/16" 99295 71546 
"128/32" 135580 141437 
"128/64" 202531 273522 
"128/128" 233137 447838 
"256/4" 28412 28880 
"256/8" 58128 26865 
"256/16" 85962 89666 
"256/32" 152394 186193 
"256/64" 194984 278546 
"256/128" 215835 489442 
"256/256" 245943 31465 
"512/4" 31145 30856 
"512/8" 58440 58016 
"512/16" 100331 86662 
"512/32" 152468 194451 
"512/64" 172159 330341 
"512/128" 242193 501419 
"512/256" 243125 665720 
"512/512" 393253 803757 
"1024/4" 28885 30321 
"1024/8" 58165 56599 
"1024/16" 102400 114670 
"1024/32" 87135 186658 
"1024/64" 186625 320500 
"1024/128" 222217 484387 
"1024/256" 258067 767670 
"1024/512" 434282 929283 
"1024/1024" 571154 1326505 
"2048/4" 30505 29783 
"2048/8" 57766 57696 
"2048/16" 100406 121327 
"2048/32" 155280 190828 
"2048/64" 207708 326218 
"2048/128" 239108 510855 
"2048/256" 265417 853377 
"2048/512" 444457 942002 
"2048/1024" 572402 1322992 
"2048/2048" 824148 1394966 
"4096/4" 30591 30690 
"4096/8" 58138 55840 
"4096/16" 100791 106290 
"4096/32" 152910 191170 
"4096/64" 204861 301439 
"4096/128" 252623 581898 
"4096/256" 272014 945517 
"4096/512" 121875 1132429 
"4096/1024" 594566 1424201 
"4096/2048" 789995 1567534 
"4096/4096" 824971 1674482 
"8192/4" 45797 39447 
"8192/8" 64470 57737 
"8192/16" 103562 98197 
"8192/32" 148424 151188 
"8192/64" 164125 215811 
"8192/128" 258113 549432 
"8192/256" 282482 767252 
"8192/512" 461131 949903 
"8192/1024" 605118 1465746 
"8192/2048" 832603 1434895 
"8192/4096" 880865 1798486 
"8192/8192" 903803 1969287 
"16384/4" 56391 51075 
"16384/8" 78932 62924 
"16384/16" 86427 107465 
"16384/32" 145645 203416 
"16384/64" 201693 354003 
"16384/128" 197857 457666 
"16384/256" 257265 806180 
"16384/512" 460599 1254215 
"16384/1024" 567864 1643817 
"16384/2048" 817974 1727539 
"16384/4096" 858115 1404536 
"16384/8192" 858426 1840479 
"16384/16384" 986458 2165770 
"32768/64" 135247 302544 
"32768/128" 221625 555493 
"32768/256" 202605 856697 
"32768/512" 355104 1160921 
"32768/1024" 541610 1161618 
"32768/2048" 480462 1543324 
"32768/4096" 850121 1638171 
"32768/8192" 879582 1884511 
"32768/16384" 996867 2173091 
"65536/64" 220573 286421 
"65536/128" 242334 565146 
"65536/256" 248372 842961 
"65536/512" 400366 1311135 
"65536/1024" 382383 1603171 
"65536/2048" 714414 1740297 
"65536/4096" 711929 1828012 
"65536/8192" 754589 1876519 
"65536/16384" 878112 2402782 
"131072/64" 244629 323104 
"131072/128" 239686 481946 
"131072/256" 261406 826654 
"131072/512" 406486 1134998 
"131072/1024" 481367 1665528 
"131072/2048" 713157 1839141 
"131072/4096" 696557 2221560 
"131072/8192" 768110 2239697 
"131072/16384" 904937 2744048 
"262144/64" 246554 320130 
"262144/128" 270776 645833 
"262144/256" 273338 947366 
"262144/512" 447891 1113553 
"262144/1024" 545597 1479158 
"262144/2048" 763264 1425639 
"262144/4096" 817228 2044595 
"262144/8192" 852847 1947014 
"262144/16384" 1051276 2701344 
"524288/64" 203424 288076 
"524288/128" 274998 811763 
"524288/256" 283407 1093111 
"524288/512" 485407 1167731 
"524288/1024" 578534 1644396 
"524288/2048" 808131 1981375 
"524288/4096" 805088 2089004 
"524288/8192" 859247 2676634 
"524288/16384" 823254 2734070 
