Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 3014 13206 
"64/8" 24844 19036 
"64/16" 40198 25754 
"64/32" 36762 36823 
"64/64" 91435 46508 
"128/4" 37460 7364 
"128/8" 23180 21487 
"128/16" 44769 32794 
"128/32" 70485 46024 
"128/64" 91494 54192 
"128/128" 134023 79751 
"256/4" 13453 8238 
"256/8" 25211 43739 
"256/16" 39373 40360 
"256/32" 77645 52860 
"256/64" 100709 62851 
"256/128" 138819 68799 
"256/256" 182584 59979 
"512/4" 8135 7620 
"512/8" 28702 17552 
"512/16" 48179 23578 
"512/32" 70223 56748 
"512/64" 95862 51251 
"512/128" 137115 62514 
"512/256" 187343 88290 
"512/512" 305874 102315 
"1024/4" 12669 16212 
"1024/8" 24691 15887 
"1024/16" 54671 39779 
"1024/32" 84530 43801 
"1024/64" 106933 82156 
"1024/128" 150654 68303 
"1024/256" 212582 102780 
"1024/512" 285402 108645 
"1024/1024" 394910 92762 
"2048/4" 13974 19268 
"2048/8" 35502 20901 
"2048/16" 57335 42495 
"2048/32" 85113 43952 
"2048/64" 123484 57339 
"2048/128" 96118 96567 
"2048/256" 196077 102379 
"2048/512" 323540 109132 
"2048/1024" 367817 119187 
"2048/2048" 161693 103784 
"4096/4" 17705 19744 
"4096/8" 24735 21724 
"4096/16" 68097 34969 
"4096/32" 49030 51510 
"4096/64" 114445 81582 
"4096/128" 163682 83479 
"4096/256" 212108 81157 
"4096/512" 306516 117216 
"4096/1024" 431429 110756 
"4096/2048" 163414 124396 
"4096/4096" 480975 88948 
"8192/4" 15887 19997 
"8192/8" 23914 24704 
"8192/16" 75964 38570 
"8192/32" 98946 50628 
"8192/64" 136030 76974 
"8192/128" 164882 80614 
"8192/256" 203548 110281 
"8192/512" 314823 93343 
"8192/1024" 418644 120936 
"8192/2048" 445433 123667 
"8192/4096" 533678 125964 
"8192/8192" 413943 123200 
"16384/4" 17541 17618 
"16384/8" 41728 22156 
"16384/16" 89411 33058 
"16384/32" 114044 52947 
"16384/64" 121431 81267 
"16384/128" 125944 94166 
"16384/256" 192085 106788 
"16384/512" 316561 116936 
"16384/1024" 450496 119436 
"16384/2048" 586234 121810 
"16384/4096" 615177 121891 
"16384/8192" 594290 124472 
"16384/16384" 592098 125148 
"32768/64" 157181 78902 
"32768/128" 162423 92648 
"32768/256" 183955 103524 
"32768/512" 260049 117841 
"32768/1024" 358609 121479 
"32768/2048" 581189 118551 
"32768/4096" 568416 124202 
"32768/8192" 591789 124603 
"32768/16384" 632415 124466 
"65536/64" 164742 83566 
"65536/128" 179723 92270 
"65536/256" 186260 105597 
"65536/512" 250206 110739 
"65536/1024" 346091 119531 
"65536/2048" 449918 123152 
"65536/4096" 451253 124415 
"65536/8192" 449233 124135 
"65536/16384" 455392 123243 
"131072/64" 179500 77600 
"131072/128" 184670 85521 
"131072/256" 200779 104912 
"131072/512" 285057 109624 
"131072/1024" 316680 118373 
"131072/2048" 428139 122229 
"131072/4096" 392608 124291 
"131072/8192" 411936 123078 
"131072/16384" 400367 121754 
"262144/64" 163732 69101 
"262144/128" 181629 90691 
"262144/256" 213314 96582 
"262144/512" 300624 109368 
"262144/1024" 354168 117104 
"262144/2048" 434756 120785 
"262144/4096" 409426 120423 
"262144/8192" 404756 121173 
"262144/16384" 390698 121299 
"524288/64" 171061 73774 
"524288/128" 186071 86217 
"524288/256" 207089 102936 
"524288/512" 299873 107719 
"524288/1024" 339842 115083 
"524288/2048" 394222 122881 
"524288/4096" 406863 120797 
"524288/8192" 413689 121507 
"524288/16384" 430541 123021 
