Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 28044 27071 
"64/8" 47579 47269 
"64/16" 73147 73547 
"64/32" 84525 117179 
"64/64" 160854 183884 
"128/4" 30253 30657 
"128/8" 54912 41397 
"128/16" 68928 77249 
"128/32" 118415 129154 
"128/64" 170662 230238 
"128/128" 196023 380003 
"256/4" 16069 28249 
"256/8" 57435 50622 
"256/16" 84996 94016 
"256/32" 128579 148065 
"256/64" 168197 221034 
"256/128" 208622 377572 
"256/256" 274627 650041 
"512/4" 17770 17627 
"512/8" 29135 26845 
"512/16" 96582 101690 
"512/32" 135660 197983 
"512/64" 169817 255750 
"512/128" 203498 410623 
"512/256" 254477 596058 
"512/512" 439445 1077618 
"1024/4" 22215 26319 
"1024/8" 47208 35288 
"1024/16" 92872 56712 
"1024/32" 141552 183680 
"1024/64" 193285 317797 
"1024/128" 240873 492553 
"1024/256" 254655 749060 
"1024/512" 378117 911726 
"1024/1024" 495393 1034232 
"2048/4" 16078 26532 
"2048/8" 55869 45828 
"2048/16" 78747 101758 
"2048/32" 146864 104758 
"2048/64" 175269 309270 
"2048/128" 239588 530281 
"2048/256" 277732 765877 
"2048/512" 499885 1127168 
"2048/1024" 560964 1373553 
"2048/2048" 637197 1340333 
"4096/4" 27019 24010 
"4096/8" 43760 47356 
"4096/16" 75222 99145 
"4096/32" 106059 164996 
"4096/64" 202361 187381 
"4096/128" 238653 512131 
"4096/256" 279858 627648 
"4096/512" 403664 1057560 
"4096/1024" 531131 395486 
"4096/2048" 819540 1497051 
"4096/4096" 306768 1589432 
"8192/4" 23953 23882 
"8192/8" 23864 47963 
"8192/16" 54071 91793 
"8192/32" 103345 150735 
"8192/64" 192278 239673 
"8192/128" 245292 533504 
"8192/256" 219412 751199 
"8192/512" 519070 910630 
"8192/1024" 581699 586575 
"8192/2048" 675962 1277227 
"8192/4096" 828908 1715601 
"8192/8192" 828308 1706315 
"16384/4" 10068 12677 
"16384/8" 19542 34003 
"16384/16" 34710 85158 
"16384/32" 87090 172172 
"16384/64" 146802 305437 
"16384/128" 170345 223078 
"16384/256" 280798 860092 
"16384/512" 416717 1066529 
"16384/1024" 533682 1371624 
"16384/2048" 598545 1530200 
"16384/4096" 614852 1755654 
"16384/8192" 886247 1842157 
"16384/16384" 663451 2064527 
"32768/64" 84706 239777 
"32768/128" 216220 264117 
"32768/256" 268742 812720 
"32768/512" 465554 1110781 
"32768/1024" 573920 1355790 
"32768/2048" 669898 1115043 
"32768/4096" 832651 1504435 
"32768/8192" 828520 1838825 
"32768/16384" 991467 1638405 
"65536/64" 86353 277547 
"65536/128" 166628 456505 
"65536/256" 262866 727538 
"65536/512" 392071 1082738 
"65536/1024" 408136 1740198 
"65536/2048" 739842 1407134 
"65536/4096" 778003 1524019 
"65536/8192" 882544 1831325 
"65536/16384" 971726 2122825 
"131072/64" 100372 221629 
"131072/128" 149253 396495 
"131072/256" 219364 710071 
"131072/512" 322034 839097 
"131072/1024" 378159 1819589 
"131072/2048" 686064 1976331 
"131072/4096" 723683 1787203 
"131072/8192" 722897 2153027 
"131072/16384" 694999 2175796 
"262144/64" 107180 142613 
"262144/128" 158478 286507 
"262144/256" 240179 387185 
"262144/512" 325885 741632 
"262144/1024" 457245 1377848 
"262144/2048" 632964 1782323 
"262144/4096" 666849 1780516 
"262144/8192" 672041 1895638 
"262144/16384" 751619 2504503 
"524288/64" 111775 139848 
"524288/128" 145568 249943 
"524288/256" 182654 384786 
"524288/512" 342821 713870 
"524288/1024" 362102 942916 
"524288/2048" 621965 1705756 
"524288/4096" 575914 2104939 
"524288/8192" 627725 2424847 
"524288/16384" 801341 2718882 
