Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 12302 12371 
"64/8" 23615 16744 
"64/16" 40458 23970 
"64/32" 46677 36384 
"64/64" 93019 53073 
"128/4" 14181 11789 
"128/8" 26287 17733 
"128/16" 40632 27699 
"128/32" 56716 52353 
"128/64" 88158 63907 
"128/128" 148314 70642 
"256/4" 12378 12915 
"256/8" 29813 17868 
"256/16" 45730 31888 
"256/32" 95124 56713 
"256/64" 111259 58248 
"256/128" 140748 82902 
"256/256" 205942 76669 
"512/4" 11204 11279 
"512/8" 15128 14371 
"512/16" 60944 32909 
"512/32" 73860 56406 
"512/64" 100968 50950 
"512/128" 143176 83020 
"512/256" 198992 70699 
"512/512" 305482 86137 
"1024/4" 14127 17607 
"1024/8" 23501 20894 
"1024/16" 52467 24533 
"1024/32" 82594 47590 
"1024/64" 107697 61944 
"1024/128" 150474 86772 
"1024/256" 195868 73903 
"1024/512" 345149 73441 
"1024/1024" 431143 79514 
"2048/4" 15540 16548 
"2048/8" 23056 20107 
"2048/16" 46463 34792 
"2048/32" 91760 44647 
"2048/64" 119618 77015 
"2048/128" 153718 84743 
"2048/256" 195044 103100 
"2048/512" 322932 69515 
"2048/1024" 378698 111838 
"2048/2048" 609007 112048 
"4096/4" 16037 19197 
"4096/8" 25995 25005 
"4096/16" 48977 37103 
"4096/32" 80367 50878 
"4096/64" 124430 54908 
"4096/128" 160550 63932 
"4096/256" 199009 72647 
"4096/512" 339015 113223 
"4096/1024" 397288 67052 
"4096/2048" 603950 119214 
"4096/4096" 598043 79753 
"8192/4" 15511 18247 
"8192/8" 20482 22303 
"8192/16" 63567 31381 
"8192/32" 82184 45529 
"8192/64" 118760 87006 
"8192/128" 157175 88872 
"8192/256" 214488 107994 
"8192/512" 304332 114938 
"8192/1024" 433070 120702 
"8192/2048" 541722 124025 
"8192/4096" 529060 122403 
"8192/8192" 547523 123353 
"16384/4" 15969 16477 
"16384/8" 21426 22710 
"16384/16" 88496 34880 
"16384/32" 103038 49445 
"16384/64" 109167 77630 
"16384/128" 165543 80149 
"16384/256" 204938 85372 
"16384/512" 329081 117745 
"16384/1024" 423009 118710 
"16384/2048" 558836 123039 
"16384/4096" 532709 104846 
"16384/8192" 622589 110669 
"16384/16384" 599072 124032 
"32768/64" 129108 67920 
"32768/128" 152829 98854 
"32768/256" 195267 100559 
"32768/512" 262121 117465 
"32768/1024" 428345 114702 
"32768/2048" 659316 101050 
"32768/4096" 552861 103620 
"32768/8192" 515026 116732 
"32768/16384" 572868 123170 
"65536/64" 158933 69640 
"65536/128" 177228 80570 
"65536/256" 184457 101488 
"65536/512" 276976 108090 
"65536/1024" 356631 117075 
"65536/2048" 466980 122113 
"65536/4096" 496435 114322 
"65536/8192" 432045 117698 
"65536/16384" 450871 123386 
"131072/64" 157476 67217 
"131072/128" 179811 87342 
"131072/256" 228430 106651 
"131072/512" 267105 109046 
"131072/1024" 344724 116145 
"131072/2048" 471175 123271 
"131072/4096" 485847 121730 
"131072/8192" 428317 121509 
"131072/16384" 484313 123456 
"262144/64" 172439 74370 
"262144/128" 174090 88723 
"262144/256" 206544 94250 
"262144/512" 283794 107526 
"262144/1024" 327530 117991 
"262144/2048" 391246 123917 
"262144/4096" 444346 121189 
"262144/8192" 428723 120443 
"262144/16384" 438276 122867 
"524288/64" 168569 71052 
"524288/128" 186112 88816 
"524288/256" 203011 96538 
"524288/512" 292139 107959 
"524288/1024" 337059 115340 
"524288/2048" 410273 120540 
"524288/4096" 403386 118978 
"524288/8192" 390206 122837 
"524288/16384" 412028 124069 
