Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 29357 26654 
"64/8" 33698 46540 
"64/16" 69492 63179 
"64/32" 104254 126991 
"64/64" 137602 156905 
"128/4" 10291 24791 
"128/8" 55577 48762 
"128/16" 78377 82852 
"128/32" 129685 117972 
"128/64" 11800 198708 
"128/128" 187402 273522 
"256/4" 14484 14486 
"256/8" 50335 53814 
"256/16" 75632 88916 
"256/32" 143821 154321 
"256/64" 144947 241030 
"256/128" 202676 384329 
"256/256" 237458 532133 
"512/4" 19178 8198 
"512/8" 58374 26873 
"512/16" 96495 97653 
"512/32" 129033 147544 
"512/64" 188230 243815 
"512/128" 54225 316653 
"512/256" 251349 474078 
"512/512" 376500 715159 
"1024/4" 20696 15745 
"1024/8" 25951 38765 
"1024/16" 54185 57022 
"1024/32" 132112 196504 
"1024/64" 177560 247751 
"1024/128" 204348 496596 
"1024/256" 121142 632840 
"1024/512" 404239 846331 
"1024/1024" 630148 941093 
"2048/4" 14489 20027 
"2048/8" 34197 45359 
"2048/16" 65024 41631 
"2048/32" 86223 105704 
"2048/64" 188927 278787 
"2048/128" 213622 584953 
"2048/256" 273976 677877 
"2048/512" 220402 1039590 
"2048/1024" 555630 1004458 
"2048/2048" 913453 1194904 
"4096/4" 20688 16255 
"4096/8" 30299 44530 
"4096/16" 57841 75618 
"4096/32" 147084 87128 
"4096/64" 139996 234592 
"4096/128" 218743 413446 
"4096/256" 174349 713692 
"4096/512" 423318 903784 
"4096/1024" 535134 396664 
"4096/2048" 881796 1347461 
"4096/4096" 920047 1429177 
"8192/4" 17296 19706 
"8192/8" 24680 43671 
"8192/16" 40894 81880 
"8192/32" 107705 97880 
"8192/64" 188664 165823 
"8192/128" 254434 338583 
"8192/256" 280682 755926 
"8192/512" 471295 848916 
"8192/1024" 600360 981543 
"8192/2048" 526442 772184 
"8192/4096" 541475 1446067 
"8192/8192" 727008 1599034 
"16384/4" 10185 7965 
"16384/8" 18708 38100 
"16384/16" 26376 62313 
"16384/32" 56405 105217 
"16384/64" 92877 223075 
"16384/128" 248819 349831 
"16384/256" 281076 728695 
"16384/512" 486073 867070 
"16384/1024" 576047 1072605 
"16384/2048" 623652 1163380 
"16384/4096" 813866 1387520 
"16384/8192" 885425 1488633 
"16384/16384" 996168 1603280 
"32768/64" 79431 208818 
"32768/128" 160894 296999 
"32768/256" 255630 684890 
"32768/512" 467006 895030 
"32768/1024" 589722 1084777 
"32768/2048" 817827 1163220 
"32768/4096" 857263 1523801 
"32768/8192" 872529 1620975 
"32768/16384" 1021191 1728535 
"65536/64" 81122 205643 
"65536/128" 130387 287988 
"65536/256" 224358 464106 
"65536/512" 283903 900926 
"65536/1024" 432620 1207655 
"65536/2048" 812124 1340725 
"65536/4096" 859431 1650414 
"65536/8192" 958983 1866327 
"65536/16384" 1001009 1907777 
"131072/64" 80324 158423 
"131072/128" 107789 273365 
"131072/256" 164644 442780 
"131072/512" 206055 709310 
"131072/1024" 316194 1168813 
"131072/2048" 493975 1512641 
"131072/4096" 585890 1761796 
"131072/8192" 730479 1886687 
"131072/16384" 871408 2020716 
"262144/64" 75870 116289 
"262144/128" 113369 204067 
"262144/256" 137597 328307 
"262144/512" 185283 540262 
"262144/1024" 282433 1168189 
"262144/2048" 462242 1583510 
"262144/4096" 518776 1778851 
"262144/8192" 612268 1744324 
"262144/16384" 859280 2161071 
"524288/64" 75154 122247 
"524288/128" 106134 207307 
"524288/256" 141125 358164 
"524288/512" 202430 520129 
"524288/1024" 263136 861629 
"524288/2048" 367330 1367394 
"524288/4096" 488845 1496191 
"524288/8192" 593222 1738015 
"524288/16384" 780944 2126548 
