Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 5735102 5860307 
"64/8" 4564786 4897948 
"64/16" 3363612 4897948 
"64/32" 4897948 3541098 
"64/64" 4274062 5283570 
"128/4" 3657016 5325799 
"128/8" 4407601 5325799 
"128/16" 6406138 4135958 
"128/32" 6114306 5847904 
"128/64" 4557257 6406138 
"128/128" 4557257 10779307 
"256/4" 3197509 3950402 
"256/8" 4477549 9518507 
"256/16" 4998665 4572895 
"256/32" 4929815 6249745 
"256/64" 8024634 10245071 
"256/128" 5217259 5242734 
"256/256" 5971678 5242734 
"512/4" 3678421 6491676 
"512/8" 7435738 4228947 
"512/16" 5227492 8808176 
"512/32" 5684095 5067142 
"512/64" 7758090 10235583 
"512/128" 5807059 6909408 
"512/256" 5684095 6999490 
"512/512" 8394979 6931711 
"1024/4" 3984917 3999762 
"1024/8" 7420395 7769397 
"1024/16" 8199542 10689164 
"1024/32" 6208343 6025439 
"1024/64" 8680108 7020149 
"1024/128" 8895850 12348754 
"1024/256" 6819511 5194651 
"1024/512" 6208343 9832672 
"1024/1024" 6059442 6529233 
"2048/4" 6243566 5640860 
"2048/8" 6780783 5785224 
"2048/16" 5953632 5953632 
"2048/32" 8059569 9024882 
"2048/64" 9752360 6623917 
"2048/128" 6603549 9610516 
"2048/256" 9708272 6802261 
"2048/512" 8903279 6711905 
"2048/1024" 9483197 8431376 
"2048/2048" 8036946 8159088 
"4096/4" 4208889 4219226 
"4096/8" 5396016 7935986 
"4096/16" 8811067 8256354 
"4096/32" 9593374 9227530 
"4096/64" 9183139 9332798 
"4096/128" 6989921 7038605 
"4096/256" 9701724 7173805 
"4096/512" 9482180 10239486 
"4096/1024" 9105266 7087972 
"4096/2048" 6758923 6532752 
"4096/4096" 8620945 8463799 
"8192/4" 4354953 4478702 
"8192/8" 6895660 8226319 
"8192/16" 7719891 6930432 
"8192/32" 6590145 10422130 
"8192/64" 7328036 10556617 
"8192/128" 7142200 7243074 
"8192/256" 10343693 11266205 
"8192/512" 9536939 8819674 
"8192/1024" 10315743 8605412 
"8192/2048" 10190307 10501766 
"8192/4096" 6177802 6848927 
"8192/8192" 5588034 5619105 
"16384/4" 5323045 4254600 
"16384/8" 6697931 7677462 
"16384/16" 6056817 8519852 
"16384/32" 9900792 7674033 
"16384/64" 9389438 10603539 
"16384/128" 9599293 6564213 
"16384/256" 10474243 8423769 
"16384/512" 9604660 9781010 
"16384/1024" 10429731 7288248 
"16384/2048" 7481865 6986664 
"16384/4096" 8376536 8355148 
"16384/8192" 6540472 6764523 
"16384/16384" 6912867 5561715 
"32768/64" 10431952 9773224 
"32768/128" 8567014 10549662 
"32768/256" 10673373 10793234 
"32768/512" 10556955 10743456 
"32768/1024" 10646090 10941018 
"32768/2048" 8291539 11591566 
"32768/4096" 8323173 8064811 
"32768/8192" 6242740 6868236 
"32768/16384" 5434129 6664415 
"65536/64" 9144063 12192516 
"65536/128" 10142046 10359926 
"65536/256" 10291658 11429051 
"65536/512" 10546750 9370367 
"65536/1024" 10532606 11115247 
"65536/2048" 10146538 11917633 
"65536/4096" 8461737 8893478 
"65536/8192" 6291291 6587245 
"65536/16384" 6857237 5874990 
"131072/64" 10166015 10846774 
"131072/128" 10041604 11352303 
"131072/256" 9707030 11077799 
"131072/512" 9404479 11512534 
"131072/1024" 9577826 11760537 
"131072/2048" 9412691 12369961 
"131072/4096" 9177463 9111752 
"131072/8192" 6540522 6843733 
"131072/16384" 6663884 6870332 
"262144/64" 10934016 12306661 
"262144/128" 9233633 11903752 
"262144/256" 11605470 12342579 
"262144/512" 10965640 12327495 
"262144/1024" 11069413 11874057 
"262144/2048" 10724661 12453861 
"262144/4096" 9059409 9255864 
"262144/8192" 6975985 6923841 
"262144/16384" 6965997 6946983 
"524288/64" 10997106 11835762 
"524288/128" 11087597 11988363 
"524288/256" 9810594 12595226 
"524288/512" 9335941 12380507 
"524288/1024" 12008134 12223192 
"524288/2048" 12124193 12072276 
"524288/4096" 8500683 9420651 
"524288/8192" 6822573 6973592 
"524288/16384" 7013515 6863115 
