Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 3057153 3958892 
"64/8" 4207076 4564786 
"64/16" 2662899 4018152 
"64/32" 2561267 4274062 
"64/64" 2662899 3541098 
"128/4" 3053774 3468030 
"128/8" 3759450 3657016 
"128/16" 3759450 5325799 
"128/32" 4012317 3982553 
"128/64" 3657016 4012317 
"128/128" 4135958 3895854 
"256/4" 5117791 3605511 
"256/8" 3245838 6249745 
"256/16" 3410808 3823789 
"256/32" 3545976 4264168 
"256/64" 5687020 5687020 
"256/128" 5810112 4652146 
"256/256" 3705040 5117791 
"512/4" 3710197 4973263 
"512/8" 4973263 5968453 
"512/16" 5886650 5807059 
"512/32" 3913012 4131319 
"512/64" 3905895 4099771 
"512/128" 3788747 4271001 
"512/256" 4000485 5744919 
"512/512" 4061007 3877684 
"1024/4" 3655895 5690162 
"1024/8" 4574926 6025439 
"1024/16" 4374559 6280976 
"1024/32" 4162573 4232305 
"1024/64" 4433259 4048778 
"1024/128" 7319232 4433259 
"1024/256" 5169641 4339202 
"1024/512" 7420395 6650556 
"1024/1024" 5042191 6692005 
"2048/4" 5785224 6171791 
"2048/8" 6845629 6171791 
"2048/16" 6114678 4594025 
"2048/32" 6298503 6543188 
"2048/64" 7343043 4875642 
"2048/128" 7419150 6829301 
"2048/256" 7262337 4983122 
"2048/512" 7368238 6479029 
"2048/1024" 4321315 5816563 
"2048/2048" 7343043 7286980 
"4096/4" 5159420 5389246 
"4096/8" 6389405 6953144 
"4096/16" 7135072 7073381 
"4096/32" 7380284 6706156 
"4096/64" 4887857 6693092 
"4096/128" 5019235 5036894 
"4096/256" 4746074 6850558 
"4096/512" 4910209 6649056 
"4096/1024" 5792648 5120972 
"4096/2048" 4964124 8276241 
"4096/4096" 4551192 4597474 
"8192/4" 4291316 5932474 
"8192/8" 4699856 7061469 
"8192/16" 6692839 4687034 
"8192/32" 4911476 6770651 
"8192/64" 5065711 4821197 
"8192/128" 6965556 4979812 
"8192/256" 5078440 7565215 
"8192/512" 5053790 6496691 
"8192/1024" 7640921 6924845 
"8192/2048" 6917874 4941141 
"8192/4096" 5449769 4584473 
"8192/8192" 5724900 4273171 
"16384/4" 6177694 4240161 
"16384/8" 5659275 4827566 
"16384/16" 5647647 6212881 
"16384/32" 6262707 6641612 
"16384/64" 5343741 7317740 
"16384/128" 7028827 7627187 
"16384/256" 7043235 6025484 
"16384/512" 7403675 5123041 
"16384/1024" 6720201 5070872 
"16384/2048" 6488597 5025996 
"16384/4096" 4575257 6017042 
"16384/8192" 5347483 5494566 
"16384/16384" 5305783 4257763 
"32768/64" 5079456 7455810 
"32768/128" 6773125 7737457 
"32768/256" 7740943 7136050 
"32768/512" 7039196 6859324 
"32768/1024" 5618741 6788514 
"32768/2048" 6778470 6874076 
"32768/4096" 6300549 6079269 
"32768/8192" 5705748 5571818 
"32768/16384" 5445109 5761720 
"65536/64" 8642653 9136464 
"65536/128" 7831769 5445951 
"65536/256" 8118118 8552302 
"65536/512" 5175847 8028256 
"65536/1024" 8863653 9120095 
"65536/2048" 8056964 8493374 
"65536/4096" 6901311 6838812 
"65536/8192" 5578580 5686014 
"65536/16384" 4198352 5011191 
"131072/64" 9046975 8946857 
"131072/128" 8735877 8695805 
"131072/256" 8188346 8806829 
"131072/512" 8848930 8810922 
"131072/1024" 8930434 8794994 
"131072/2048" 8884970 8561200 
"131072/4096" 7128132 7009169 
"131072/8192" 5683945 5709683 
"131072/16384" 5539558 5731410 
"262144/64" 8624580 9056648 
"262144/128" 8304919 9099973 
"262144/256" 8870262 9110454 
"262144/512" 8802373 9045398 
"262144/1024" 8341399 8334697 
"262144/2048" 8917383 9055380 
"262144/4096" 7061695 7251146 
"262144/8192" 5745241 5739093 
"262144/16384" 5746982 5744640 
"524288/64" 9070912 8771469 
"524288/128" 9082826 8784118 
"524288/256" 8704183 8506471 
"524288/512" 7485761 9139678 
"524288/1024" 9113429 8423381 
"524288/2048" 9041002 8455186 
"524288/4096" 6829608 7321662 
"524288/8192" 5793553 5755719 
"524288/16384" 5808888 5640780 
