Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 1828508 1638743 
"64/8" 2133730 4018152 
"64/16" 2379626 2561267 
"64/32" 3541098 3541098 
"64/64" 2358717 2662899 
"128/4" 1705404 2090572 
"128/8" 2166499 3380677 
"128/16" 2621367 2727923 
"128/32" 2673584 4934216 
"128/64" 3199360 4596273 
"128/128" 5122535 2409592 
"256/4" 2330140 2699161 
"256/8" 2223962 3654598 
"256/16" 2458168 4070199 
"256/32" 4197489 3123106 
"256/64" 3368013 3557725 
"256/128" 4819184 4840911 
"256/256" 3123106 3368013 
"512/4" 1753325 2047551 
"512/8" 2625909 3849877 
"512/16" 2575520 3046915 
"512/32" 2910635 3610395 
"512/64" 3163620 3279573 
"512/128" 3481620 5067142 
"512/256" 4610256 4916336 
"512/512" 3239989 3431550 
"1024/4" 2625597 2900425 
"1024/8" 3594699 2659742 
"1024/16" 4029784 4574926 
"1024/32" 4415030 3130886 
"1024/64" 3083680 4654248 
"1024/128" 5048117 5096034 
"1024/256" 3461434 5536137 
"1024/512" 5169641 4995276 
"1024/1024" 3655895 4898425 
"2048/4" 2479196 1980705 
"2048/8" 3271351 2575842 
"2048/16" 4122233 2977647 
"2048/32" 4207028 3175804 
"2048/64" 3065856 4559883 
"2048/128" 3841986 2916978 
"2048/256" 4385291 4886737 
"2048/512" 4079167 4934459 
"2048/1024" 6167360 4923146 
"2048/2048" 4829046 4559883 
"4096/4" 2701744 2689478 
"4096/8" 3599532 3602551 
"4096/16" 3954116 3664018 
"4096/32" 4371684 4623457 
"4096/64" 4413235 3091680 
"4096/128" 4088687 4491697 
"4096/256" 3977000 4117102 
"4096/512" 4149921 3245890 
"4096/1024" 3098371 4858827 
"4096/2048" 6013663 5113352 
"4096/4096" 4899008 4607338 
"8192/4" 2393271 2509144 
"8192/8" 3153193 3744193 
"8192/16" 4051471 3156669 
"8192/32" 4081792 4641448 
"8192/64" 3469697 5139206 
"8192/128" 3032953 3007204 
"8192/256" 3844314 3025209 
"8192/512" 3022813 4186227 
"8192/1024" 3372633 2808359 
"8192/2048" 4339005 4415961 
"8192/4096" 5558204 5580773 
"8192/8192" 4496285 4500997 
"16384/4" 1994134 2189856 
"16384/8" 3507562 2507112 
"16384/16" 2949358 3750898 
"16384/32" 3388733 3306554 
"16384/64" 3935641 3882279 
"16384/128" 3619327 3875055 
"16384/256" 3433432 3696820 
"16384/512" 3036948 3839762 
"16384/1024" 3572477 3644859 
"16384/2048" 3886231 3554001 
"16384/4096" 3683543 4047368 
"16384/8192" 5408935 4165875 
"16384/16384" 4176255 4391355 
"32768/64" 3842425 4521047 
"32768/128" 3878752 3952256 
"32768/256" 3292912 3435131 
"32768/512" 3744848 3014024 
"32768/1024" 3316272 3472626 
"32768/2048" 3323650 2929605 
"32768/4096" 3235014 3573387 
"32768/8192" 4151004 3436162 
"32768/16384" 6144498 5927719 
"65536/64" 4743133 4836180 
"65536/128" 4268038 4227277 
"65536/256" 3923587 4089118 
"65536/512" 3099632 4013706 
"65536/1024" 3712468 3992428 
"65536/2048" 3838551 3767525 
"65536/4096" 2904832 3479475 
"65536/8192" 2996212 3867553 
"65536/16384" 4391034 4717491 
"131072/64" 4886770 4906658 
"131072/128" 3405962 4482613 
"131072/256" 4032483 4101498 
"131072/512" 3890181 4008813 
"131072/1024" 3969705 4017660 
"131072/2048" 3851993 3852803 
"131072/4096" 3394333 3700195 
"131072/8192" 3797002 3805043 
"131072/16384" 4446142 4386333 
"262144/64" 4696744 4889286 
"262144/128" 4285846 4529328 
"262144/256" 3456042 4147460 
"262144/512" 4036581 4054324 
"262144/1024" 3947483 4068802 
"262144/2048" 3707629 3895844 
"262144/4096" 3642457 3687695 
"262144/8192" 3567563 3738134 
"262144/16384" 4015750 4168830 
"524288/64" 4469670 4456183 
"524288/128" 3804230 4072296 
"524288/256" 3924606 3677844 
"524288/512" 3806667 3812613 
"524288/1024" 3953720 3861900 
"524288/2048" 3618672 3568407 
"524288/4096" 3362288 3618249 
"524288/8192" 3190440 3416867 
"524288/16384" 3857327 4083784 
