Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 852702 1828508 
"64/8" 1124074 1357066 
"64/16" 1933893 1599680 
"64/32" 2379626 1828508 
"64/64" 1484662 1879725 
"128/4" 1057236 1561553 
"128/8" 1243315 2166499 
"128/16" 2248149 2202044 
"128/32" 1658003 1663139 
"128/64" 1684006 2511022 
"128/128" 1487977 1579934 
"256/4" 1842366 1368162 
"256/8" 2187712 2266207 
"256/16" 1481420 2223962 
"256/32" 1696795 1718521 
"256/64" 2692393 1897721 
"256/128" 2582316 1938842 
"256/256" 1707589 2266207 
"512/4" 1064794 1546280 
"512/8" 1426135 1391933 
"512/16" 2424328 2169601 
"512/32" 2413429 2178404 
"512/64" 2600470 1961520 
"512/128" 2521095 2039772 
"512/256" 2135087 2105777 
"512/512" 1834193 1809465 
"1024/4" 1987669 1356245 
"1024/8" 2382379 1370965 
"1024/16" 1743932 2586074 
"1024/32" 2426801 2737730 
"1024/64" 2559871 1720874 
"1024/128" 2008114 2666347 
"1024/256" 2976816 2138070 
"1024/512" 3483896 2343383 
"1024/1024" 2751762 2619192 
"2048/4" 1272054 1249480 
"2048/8" 1562145 1820362 
"2048/16" 2260624 1846580 
"2048/32" 2741930 2525110 
"2048/64" 2111168 1780738 
"2048/128" 2311728 2470639 
"2048/256" 2109095 2720222 
"2048/512" 3199462 3210223 
"2048/1024" 2473485 3482209 
"2048/2048" 2832339 2909075 
"4096/4" 1233671 1261851 
"4096/8" 1653054 1386165 
"4096/16" 1577755 1707434 
"4096/32" 2541097 2401165 
"4096/64" 2732686 2416702 
"4096/128" 2700046 1891888 
"4096/256" 2541097 2425231 
"4096/512" 2046000 2063448 
"4096/1024" 3005151 3133979 
"4096/2048" 2461720 2392470 
"4096/4096" 2901120 2884558 
"8192/4" 1598141 1571463 
"8192/8" 1555949 1314510 
"8192/16" 2138288 1692947 
"8192/32" 1816456 2264859 
"8192/64" 1797263 1848808 
"8192/128" 1805574 2994102 
"8192/256" 1862638 2681462 
"8192/512" 2067645 1956058 
"8192/1024" 2351344 2469648 
"8192/2048" 2659668 3008521 
"8192/4096" 3183872 2830803 
"8192/8192" 2563240 2539371 
"16384/4" 1736488 1272752 
"16384/8" 1562168 1547568 
"16384/16" 1713839 2429039 
"16384/32" 2181584 1739257 
"16384/64" 2146758 1848997 
"16384/128" 2120918 2011529 
"16384/256" 1768531 1687493 
"16384/512" 2072872 2367285 
"16384/1024" 2595263 1854235 
"16384/2048" 2093203 1851937 
"16384/4096" 2403383 2138940 
"16384/8192" 3034668 2829265 
"16384/16384" 2362890 2015718 
"32768/64" 2377597 2545269 
"32768/128" 2431781 1775563 
"32768/256" 2404468 2365240 
"32768/512" 2344422 2022475 
"32768/1024" 2383122 1842769 
"32768/2048" 2325461 2283198 
"32768/4096" 2394623 1997926 
"32768/8192" 2633696 2106059 
"32768/16384" 2639564 3753849 
"65536/64" 2715733 1960517 
"65536/128" 2670563 2618188 
"65536/256" 2532694 2295396 
"65536/512" 1989320 2560509 
"65536/1024" 2586579 2718446 
"65536/2048" 2490156 2329497 
"65536/4096" 2126964 2283801 
"65536/8192" 2312000 1965283 
"65536/16384" 2503970 3461641 
"131072/64" 3013916 2266578 
"131072/128" 2598264 2339189 
"131072/256" 2693128 2635734 
"131072/512" 2659682 2566867 
"131072/1024" 2638593 2610156 
"131072/2048" 2601202 2690360 
"131072/4096" 2542813 2663315 
"131072/8192" 2067055 2699674 
"131072/16384" 3003969 3062010 
"262144/64" 3040905 2953272 
"262144/128" 2668291 2452669 
"262144/256" 2433367 2537255 
"262144/512" 2730181 2582669 
"262144/1024" 2384665 2816510 
"262144/2048" 2638776 2726518 
"262144/4096" 2429302 2637902 
"262144/8192" 2625274 2600844 
"262144/16384" 2854111 2939494 
"524288/64" 2927726 2848790 
"524288/128" 2797291 2669071 
"524288/256" 2647155 2753181 
"524288/512" 2719817 2588694 
"524288/1024" 2492788 2728266 
"524288/2048" 2478666 2588783 
"524288/4096" 2332461 2523187 
"524288/8192" 2343867 2585386 
"524288/16384" 2671123 2711319 
