Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 29711 27504 
"64/8" 61485 55269 
"64/16" 95399 89903 
"64/32" 137320 172537 
"64/64" 169701 282027 
"128/4" 32104 32762 
"128/8" 61924 60637 
"128/16" 102479 110631 
"128/32" 146613 174603 
"128/64" 210471 288981 
"128/128" 205162 351630 
"256/4" 28816 29177 
"256/8" 58594 55907 
"256/16" 87106 106757 
"256/32" 147800 185903 
"256/64" 191746 262284 
"256/128" 208825 506050 
"256/256" 254211 643033 
"512/4" 34254 31389 
"512/8" 62507 64419 
"512/16" 107428 94449 
"512/32" 159547 178825 
"512/64" 177524 326772 
"512/128" 251349 387926 
"512/256" 259771 606667 
"512/512" 393542 820650 
"1024/4" 31999 33995 
"1024/8" 60129 63511 
"1024/16" 102164 113690 
"1024/32" 154124 227658 
"1024/64" 204465 260699 
"1024/128" 231101 521626 
"1024/256" 254791 778101 
"1024/512" 423491 910953 
"1024/1024" 589578 994020 
"2048/4" 20821 27768 
"2048/8" 47498 43397 
"2048/16" 101281 74410 
"2048/32" 152266 198814 
"2048/64" 211789 288370 
"2048/128" 256770 527287 
"2048/256" 283339 675638 
"2048/512" 459900 966485 
"2048/1024" 570463 1071223 
"2048/2048" 834881 1081882 
"4096/4" 21850 28200 
"4096/8" 35409 57329 
"4096/16" 70504 103596 
"4096/32" 76233 204554 
"4096/64" 209782 325002 
"4096/128" 254978 435608 
"4096/256" 285556 794562 
"4096/512" 447791 973374 
"4096/1024" 597876 1227852 
"4096/2048" 805213 1090521 
"4096/4096" 829472 1109108 
"8192/4" 16732 16884 
"8192/8" 18270 44536 
"8192/16" 33175 70373 
"8192/32" 70682 223629 
"8192/64" 79217 370811 
"8192/128" 252246 576207 
"8192/256" 282815 775023 
"8192/512" 477385 913390 
"8192/1024" 587960 1059903 
"8192/2048" 812867 1387274 
"8192/4096" 853683 1237082 
"8192/8192" 957687 1541016 
"16384/4" 7844 8169 
"16384/8" 28725 45172 
"16384/16" 24324 83484 
"16384/32" 60084 147986 
"16384/64" 106943 299788 
"16384/128" 114959 404104 
"16384/256" 282965 804001 
"16384/512" 462630 1097741 
"16384/1024" 579677 1287127 
"16384/2048" 778234 1241212 
"16384/4096" 849302 1750065 
"16384/8192" 865781 1630092 
"16384/16384" 979024 2145351 
"32768/64" 91872 266267 
"32768/128" 159713 498547 
"32768/256" 139642 768589 
"32768/512" 315927 988564 
"32768/1024" 407020 1525289 
"32768/2048" 744878 1587443 
"32768/4096" 828985 1632760 
"32768/8192" 869152 2219305 
"32768/16384" 945990 2280773 
"65536/64" 77563 249145 
"65536/128" 113977 491233 
"65536/256" 182694 551784 
"65536/512" 253329 490387 
"65536/1024" 313122 1642711 
"65536/2048" 424884 1892631 
"65536/4096" 379567 2087059 
"65536/8192" 606001 2296681 
"65536/16384" 884987 2347020 
"131072/64" 70253 161192 
"131072/128" 107026 264821 
"131072/256" 148541 502572 
"131072/512" 213724 680653 
"131072/1024" 292342 1411273 
"131072/2048" 373177 1711367 
"131072/4096" 501152 1932957 
"131072/8192" 739162 1996739 
"131072/16384" 820538 2482418 
"262144/64" 75430 121235 
"262144/128" 106209 228496 
"262144/256" 137264 335307 
"262144/512" 185163 540326 
"262144/1024" 213850 964281 
"262144/2048" 324463 1360359 
"262144/4096" 426138 1525396 
"262144/8192" 549163 2156679 
"262144/16384" 811385 2317093 
"524288/64" 74986 122593 
"524288/128" 103017 200426 
"524288/256" 135524 365882 
"524288/512" 189213 511682 
"524288/1024" 223825 753419 
"524288/2048" 410843 1206516 
"524288/4096" 486867 1434004 
"524288/8192" 569137 1637697 
"524288/16384" 767972 2249516 
