Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 15369 13487 
"64/8" 19808 23783 
"64/16" 41696 50630 
"64/32" 50073 71263 
"64/64" 102895 222989 
"128/4" 15638 13784 
"128/8" 26457 24720 
"128/16" 46713 51425 
"128/32" 73274 75553 
"128/64" 93845 112768 
"128/128" 157034 285144 
"256/4" 9420 9971 
"256/8" 26865 24866 
"256/16" 47233 62899 
"256/32" 92517 98051 
"256/64" 116107 164512 
"256/128" 149446 231719 
"256/256" 209314 488551 
"512/4" 10964 9507 
"512/8" 33249 20587 
"512/16" 56870 66510 
"512/32" 67582 122253 
"512/64" 111373 217603 
"512/128" 156913 288105 
"512/256" 201022 407971 
"512/512" 42236 888930 
"1024/4" 10721 18053 
"1024/8" 26617 29741 
"1024/16" 50441 54459 
"1024/32" 75571 132353 
"1024/64" 110918 185979 
"1024/128" 154635 334191 
"1024/256" 200084 511500 
"1024/512" 290577 593571 
"1024/1024" 361079 870871 
"2048/4" 10398 16031 
"2048/8" 23782 33596 
"2048/16" 60306 49703 
"2048/32" 85426 112489 
"2048/64" 127967 233518 
"2048/128" 167347 390828 
"2048/256" 213330 581626 
"2048/512" 355193 913453 
"2048/1024" 417112 865239 
"2048/2048" 579664 992734 
"4096/4" 16417 13411 
"4096/8" 26439 32499 
"4096/16" 42500 74292 
"4096/32" 88230 80558 
"4096/64" 133094 133090 
"4096/128" 172579 409719 
"4096/256" 212614 601540 
"4096/512" 311529 875416 
"4096/1024" 447802 1254114 
"4096/2048" 576238 1180762 
"4096/4096" 514894 1183773 
"8192/4" 17943 17020 
"8192/8" 21337 32131 
"8192/16" 68586 63457 
"8192/32" 82118 109103 
"8192/64" 116335 169792 
"8192/128" 155433 250880 
"8192/256" 203999 735096 
"8192/512" 381237 982020 
"8192/1024" 405564 1094475 
"8192/2048" 662039 1318748 
"8192/4096" 544064 1124491 
"8192/8192" 524153 1345814 
"16384/4" 15721 18083 
"16384/8" 28457 32730 
"16384/16" 83900 67377 
"16384/32" 95357 92235 
"16384/64" 124118 189717 
"16384/128" 154849 286584 
"16384/256" 201168 563427 
"16384/512" 254129 989128 
"16384/1024" 415226 1202044 
"16384/2048" 541956 1438825 
"16384/4096" 571648 1468214 
"16384/8192" 516941 1611476 
"16384/16384" 600055 1549732 
"32768/64" 155731 238779 
"32768/128" 161045 319715 
"32768/256" 183154 570653 
"32768/512" 229110 928322 
"32768/1024" 361717 1259384 
"32768/2048" 547583 1569496 
"32768/4096" 437770 1574477 
"32768/8192" 424880 1599991 
"32768/16384" 482933 1628871 
"65536/64" 156696 246436 
"65536/128" 168593 335694 
"65536/256" 182398 686916 
"65536/512" 238747 865446 
"65536/1024" 324105 884580 
"65536/2048" 467643 1505192 
"65536/4096" 380992 1634069 
"65536/8192" 434672 1620171 
"65536/16384" 393259 1543288 
"131072/64" 159694 257510 
"131072/128" 167336 311559 
"131072/256" 203579 744855 
"131072/512" 298426 826212 
"131072/1024" 296741 1145482 
"131072/2048" 420411 1521066 
"131072/4096" 403540 1482445 
"131072/8192" 359101 1477219 
"131072/16384" 434495 1380738 
"262144/64" 166864 229532 
"262144/128" 190643 289397 
"262144/256" 205959 833645 
"262144/512" 307529 1017999 
"262144/1024" 346015 1061737 
"262144/2048" 363078 1406270 
"262144/4096" 347031 1449992 
"262144/8192" 434240 1279674 
"262144/16384" 393083 1395015 
"524288/64" 165858 233517 
"524288/128" 184977 327010 
"524288/256" 209503 739458 
"524288/512" 282942 843124 
"524288/1024" 330882 1023082 
"524288/2048" 402895 1163732 
"524288/4096" 411315 1165335 
"524288/8192" 377204 1115316 
"524288/16384" 492376 1161617 
