Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 28059 23738 
"64/8" 50317 46283 
"64/16" 86125 79002 
"64/32" 140409 162411 
"64/64" 193424 223732 
"128/4" 13467 24686 
"128/8" 54677 50553 
"128/16" 96096 108463 
"128/32" 128906 116261 
"128/64" 194532 255433 
"128/128" 200638 330828 
"256/4" 25780 25502 
"256/8" 57129 29363 
"256/16" 87948 79402 
"256/32" 151641 159006 
"256/64" 160312 276751 
"256/128" 222776 467900 
"256/256" 240167 71407 
"512/4" 25608 20015 
"512/8" 57514 46494 
"512/16" 37948 94641 
"512/32" 124572 66727 
"512/64" 158804 305482 
"512/128" 229583 446387 
"512/256" 247098 57663 
"512/512" 385488 804962 
"1024/4" 23747 27338 
"1024/8" 44334 58198 
"1024/16" 95816 57063 
"1024/32" 141106 165109 
"1024/64" 176734 232994 
"1024/128" 205748 558382 
"1024/256" 250979 331304 
"1024/512" 408623 831100 
"1024/1024" 573671 1164956 
"2048/4" 29223 33902 
"2048/8" 44407 69295 
"2048/16" 76040 71066 
"2048/32" 139785 133055 
"2048/64" 194027 260586 
"2048/128" 227151 509552 
"2048/256" 248574 614277 
"2048/512" 422093 834232 
"2048/1024" 543811 1056727 
"2048/2048" 819196 504820 
"4096/4" 35352 33018 
"4096/8" 54923 49108 
"4096/16" 64519 109779 
"4096/32" 91103 136774 
"4096/64" 198171 196046 
"4096/128" 244390 226635 
"4096/256" 260459 374200 
"4096/512" 450350 917149 
"4096/1024" 584969 1069743 
"4096/2048" 771962 1236690 
"4096/4096" 821028 1362205 
"8192/4" 44898 42121 
"8192/8" 58257 58389 
"8192/16" 78965 94059 
"8192/32" 106016 176657 
"8192/64" 129497 226975 
"8192/128" 243990 465454 
"8192/256" 242258 728951 
"8192/512" 434423 863314 
"8192/1024" 530539 1076608 
"8192/2048" 817236 1385428 
"8192/4096" 843311 1350257 
"8192/8192" 862057 1297876 
"16384/4" 49670 48391 
"16384/8" 69698 76401 
"16384/16" 105724 110408 
"16384/32" 135561 169935 
"16384/64" 147880 251381 
"16384/128" 173804 480244 
"16384/256" 274826 742024 
"16384/512" 415751 958914 
"16384/1024" 466778 1006262 
"16384/2048" 799102 1236611 
"16384/4096" 846321 1528226 
"16384/8192" 845707 1383080 
"16384/16384" 998890 1367040 
"32768/64" 186923 281829 
"32768/128" 212808 448427 
"32768/256" 193206 688969 
"32768/512" 369979 879115 
"32768/1024" 554675 1154252 
"32768/2048" 517832 1130089 
"32768/4096" 855652 1437002 
"32768/8192" 871583 1821135 
"32768/16384" 1008742 1826314 
"65536/64" 201716 297330 
"65536/128" 199014 403117 
"65536/256" 249462 657562 
"65536/512" 379491 736168 
"65536/1024" 489622 1256752 
"65536/2048" 612440 1349784 
"65536/4096" 720651 1396525 
"65536/8192" 731093 1549788 
"65536/16384" 1001680 1625228 
"131072/64" 213520 357623 
"131072/128" 246809 524649 
"131072/256" 254646 706446 
"131072/512" 404596 872719 
"131072/1024" 476424 1204572 
"131072/2048" 678114 1445353 
"131072/4096" 756714 1637353 
"131072/8192" 786869 1916147 
"131072/16384" 922028 1866186 
"262144/64" 231222 281930 
"262144/128" 251090 541113 
"262144/256" 273267 839489 
"262144/512" 419917 1026329 
"262144/1024" 488854 1272000 
"262144/2048" 744997 1316955 
"262144/4096" 786780 1546626 
"262144/8192" 988819 1779540 
"262144/16384" 1052572 2156286 
"524288/64" 225131 295344 
"524288/128" 258186 536436 
"524288/256" 291249 939222 
"524288/512" 486884 1231220 
"524288/1024" 564456 1383812 
"524288/2048" 738469 1550533 
"524288/4096" 815540 1533126 
"524288/8192" 777701 1980080 
"524288/16384" 1130082 2093993 
