Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 16798 13649 
"64/8" 23522 30175 
"64/16" 38814 40276 
"64/32" 50195 62140 
"64/64" 129254 170240 
"128/4" 16038 14507 
"128/8" 26727 26111 
"128/16" 49400 48393 
"128/32" 71670 65473 
"128/64" 94672 116361 
"128/128" 186815 247086 
"256/4" 10344 12892 
"256/8" 37531 24770 
"256/16" 54491 67051 
"256/32" 81972 101874 
"256/64" 96387 172604 
"256/128" 145045 232471 
"256/256" 185229 556687 
"512/4" 8958 12240 
"512/8" 25584 23359 
"512/16" 49084 64744 
"512/32" 81502 128508 
"512/64" 112059 198918 
"512/128" 144516 307670 
"512/256" 186643 432802 
"512/512" 357329 664895 
"1024/4" 14464 17564 
"1024/8" 33057 36346 
"1024/16" 56577 39757 
"1024/32" 91616 141222 
"1024/64" 123107 200196 
"1024/128" 158265 368483 
"1024/256" 210271 485317 
"1024/512" 303406 733078 
"1024/1024" 452111 1083546 
"2048/4" 15227 15669 
"2048/8" 25385 24560 
"2048/16" 54845 43728 
"2048/32" 92106 78284 
"2048/64" 127055 234942 
"2048/128" 171971 359429 
"2048/256" 223040 683813 
"2048/512" 365267 709864 
"2048/1024" 462500 1119821 
"2048/2048" 537112 1066038 
"4096/4" 18076 17297 
"4096/8" 22001 32888 
"4096/16" 44432 54807 
"4096/32" 90216 96868 
"4096/64" 133185 173037 
"4096/128" 173025 402237 
"4096/256" 208820 616211 
"4096/512" 341930 966257 
"4096/1024" 413566 937519 
"4096/2048" 584969 1216549 
"4096/4096" 523316 1191407 
"8192/4" 17855 18869 
"8192/8" 29107 33823 
"8192/16" 78603 56152 
"8192/32" 64588 108681 
"8192/64" 121897 159504 
"8192/128" 161868 241538 
"8192/256" 218821 657945 
"8192/512" 356747 973176 
"8192/1024" 416811 955132 
"8192/2048" 521449 1214519 
"8192/4096" 540300 1310899 
"8192/8192" 533786 1175825 
"16384/4" 16579 17402 
"16384/8" 32283 34170 
"16384/16" 106653 67240 
"16384/32" 107319 97328 
"16384/64" 110655 209249 
"16384/128" 142726 272258 
"16384/256" 195366 736426 
"16384/512" 345050 1005334 
"16384/1024" 421463 1349350 
"16384/2048" 605112 1532657 
"16384/4096" 613102 1579329 
"16384/8192" 599820 1413027 
"16384/16384" 659104 1657776 
"32768/64" 131839 250391 
"32768/128" 155852 307880 
"32768/256" 196641 679664 
"32768/512" 299374 799394 
"32768/1024" 341910 1270961 
"32768/2048" 592701 1580015 
"32768/4096" 536318 1492363 
"32768/8192" 598055 1534862 
"32768/16384" 525726 1637917 
"65536/64" 163783 261327 
"65536/128" 175912 291915 
"65536/256" 189680 599131 
"65536/512" 292358 877321 
"65536/1024" 350870 1386474 
"65536/2048" 426819 1701663 
"65536/4096" 391098 1476339 
"65536/8192" 414462 1624710 
"65536/16384" 376342 1587514 
"131072/64" 182832 233202 
"131072/128" 184331 309145 
"131072/256" 205495 792315 
"131072/512" 303794 879252 
"131072/1024" 296118 1157963 
"131072/2048" 398072 1488692 
"131072/4096" 428687 1392087 
"131072/8192" 431457 1623524 
"131072/16384" 423204 1457778 
"262144/64" 170512 256059 
"262144/128" 179710 309206 
"262144/256" 207341 887723 
"262144/512" 313418 979058 
"262144/1024" 351566 1075934 
"262144/2048" 430994 1260145 
"262144/4096" 443450 1457473 
"262144/8192" 431125 1463078 
"262144/16384" 400338 1447886 
"524288/64" 172436 252282 
"524288/128" 181212 327713 
"524288/256" 210270 751929 
"524288/512" 302543 963704 
"524288/1024" 325889 1318230 
"524288/2048" 410879 1264228 
"524288/4096" 434471 1185102 
"524288/8192" 408765 1168918 
"524288/16384" 419476 1350129 
