Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 28307 23171 
"64/8" 48082 46540 
"64/16" 93570 99354 
"64/32" 128758 174330 
"64/64" 167897 250919 
"128/4" 29816 27426 
"128/8" 49459 59422 
"128/16" 99295 113077 
"128/32" 135580 154016 
"128/64" 202531 231828 
"128/128" 233137 300464 
"256/4" 28412 28451 
"256/8" 58128 53577 
"256/16" 85962 93087 
"256/32" 152394 179651 
"256/64" 194984 262541 
"256/128" 215835 503913 
"256/256" 245943 706964 
"512/4" 31145 30541 
"512/8" 58440 63022 
"512/16" 100331 100079 
"512/32" 152468 183517 
"512/64" 172159 327969 
"512/128" 242193 371292 
"512/256" 243125 574684 
"512/512" 393253 850554 
"1024/4" 28885 31781 
"1024/8" 58165 62279 
"1024/16" 102400 103091 
"1024/32" 87135 207158 
"1024/64" 186625 247636 
"1024/128" 222217 497344 
"1024/256" 258067 731954 
"1024/512" 434282 825668 
"1024/1024" 571154 1000037 
"2048/4" 30505 30821 
"2048/8" 57766 54636 
"2048/16" 100406 106307 
"2048/32" 155280 192337 
"2048/64" 207708 285315 
"2048/128" 239108 513266 
"2048/256" 265417 632878 
"2048/512" 444457 930068 
"2048/1024" 572402 1061690 
"2048/2048" 824148 1056857 
"4096/4" 30591 32882 
"4096/8" 58138 61146 
"4096/16" 100791 110804 
"4096/32" 152910 188054 
"4096/64" 204861 312169 
"4096/128" 252623 430251 
"4096/256" 272014 762167 
"4096/512" 121875 966474 
"4096/1024" 594566 1164278 
"4096/2048" 789995 1116387 
"4096/4096" 824971 1125898 
"8192/4" 45797 40413 
"8192/8" 64470 58500 
"8192/16" 103562 110584 
"8192/32" 148424 203927 
"8192/64" 164125 341334 
"8192/128" 258113 506617 
"8192/256" 282482 763400 
"8192/512" 461131 901314 
"8192/1024" 605118 1031860 
"8192/2048" 832603 1218654 
"8192/4096" 880865 1412190 
"8192/8192" 903803 1574199 
"16384/4" 56391 53783 
"16384/8" 78932 70400 
"16384/16" 86427 111986 
"16384/32" 145645 183034 
"16384/64" 201693 292253 
"16384/128" 197857 540014 
"16384/256" 257265 827678 
"16384/512" 460599 981667 
"16384/1024" 567864 1261560 
"16384/2048" 817974 1106116 
"16384/4096" 858115 1605490 
"16384/8192" 858426 1555027 
"16384/16384" 986458 1462060 
"32768/64" 135247 328883 
"32768/128" 221625 498798 
"32768/256" 202605 727514 
"32768/512" 355104 935424 
"32768/1024" 541610 1185362 
"32768/2048" 480462 1262404 
"32768/4096" 850121 1637429 
"32768/8192" 879582 2003897 
"32768/16384" 996867 1812394 
"65536/64" 220573 302839 
"65536/128" 242334 561292 
"65536/256" 248372 739267 
"65536/512" 400366 908417 
"65536/1024" 382383 1201238 
"65536/2048" 714414 1678348 
"65536/4096" 711929 1788396 
"65536/8192" 754589 2241160 
"65536/16384" 878112 1783290 
"131072/64" 244629 443331 
"131072/128" 239686 501463 
"131072/256" 261406 774871 
"131072/512" 406486 944513 
"131072/1024" 481367 1404574 
"131072/2048" 713157 1724541 
"131072/4096" 696557 1915613 
"131072/8192" 768110 2273505 
"131072/16384" 904937 2327148 
"262144/64" 246554 343494 
"262144/128" 270776 636065 
"262144/256" 273338 913750 
"262144/512" 447891 908585 
"262144/1024" 545597 1368939 
"262144/2048" 763264 1644690 
"262144/4096" 817228 1756265 
"262144/8192" 852847 2277412 
"262144/16384" 1051276 2439159 
"524288/64" 203424 393273 
"524288/128" 274998 575637 
"524288/256" 283407 1268243 
"524288/512" 485407 1358385 
"524288/1024" 578534 1531049 
"524288/2048" 808131 1680243 
"524288/4096" 805088 1873406 
"524288/8192" 859247 2091145 
"524288/16384" 823254 2333112 
