Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 3014 13766 
"64/8" 24844 26777 
"64/16" 40198 44569 
"64/32" 36762 61177 
"64/64" 91435 159991 
"128/4" 37460 21742 
"128/8" 23180 30289 
"128/16" 44769 48393 
"128/32" 70485 67899 
"128/64" 91494 110448 
"128/128" 134023 222601 
"256/4" 13453 9065 
"256/8" 25211 15829 
"256/16" 39373 51138 
"256/32" 77645 87461 
"256/64" 100709 153769 
"256/128" 138819 215705 
"256/256" 182584 424436 
"512/4" 8135 12687 
"512/8" 28702 17157 
"512/16" 48179 65297 
"512/32" 70223 34172 
"512/64" 95862 177774 
"512/128" 137115 287796 
"512/256" 187343 393253 
"512/512" 305874 640694 
"1024/4" 12669 18835 
"1024/8" 24691 36723 
"1024/16" 54671 34548 
"1024/32" 84530 93695 
"1024/64" 106933 175880 
"1024/128" 150654 254927 
"1024/256" 212582 472763 
"1024/512" 285402 625559 
"1024/1024" 394910 1056883 
"2048/4" 13974 16856 
"2048/8" 35502 33740 
"2048/16" 57335 59498 
"2048/32" 85113 68455 
"2048/64" 123484 302912 
"2048/128" 96118 382594 
"2048/256" 196077 452201 
"2048/512" 323540 755703 
"2048/1024" 367817 984090 
"2048/2048" 161693 1157703 
"4096/4" 17705 16882 
"4096/8" 24735 30546 
"4096/16" 68097 55090 
"4096/32" 49030 97183 
"4096/64" 114445 94628 
"4096/128" 163682 406510 
"4096/256" 212108 677819 
"4096/512" 306516 801718 
"4096/1024" 431429 1036192 
"4096/2048" 163414 1123101 
"4096/4096" 480975 1026840 
"8192/4" 15887 18073 
"8192/8" 23914 35251 
"8192/16" 75964 57359 
"8192/32" 98946 115673 
"8192/64" 136030 175926 
"8192/128" 164882 239750 
"8192/256" 203548 631951 
"8192/512" 314823 897266 
"8192/1024" 418644 1140466 
"8192/2048" 445433 1237483 
"8192/4096" 533678 1156862 
"8192/8192" 413943 1326845 
"16384/4" 17541 18680 
"16384/8" 41728 36847 
"16384/16" 89411 66914 
"16384/32" 114044 108473 
"16384/64" 121431 205612 
"16384/128" 125944 324964 
"16384/256" 192085 621334 
"16384/512" 316561 807288 
"16384/1024" 450496 1056689 
"16384/2048" 586234 1163636 
"16384/4096" 615177 1260311 
"16384/8192" 594290 1154293 
"16384/16384" 592098 1155749 
"32768/64" 157181 234351 
"32768/128" 162423 298420 
"32768/256" 183955 706315 
"32768/512" 260049 875074 
"32768/1024" 358609 974973 
"32768/2048" 581189 1274130 
"32768/4096" 568416 1349361 
"32768/8192" 591789 1245642 
"32768/16384" 632415 1318045 
"65536/64" 164742 245032 
"65536/128" 179723 376970 
"65536/256" 186260 742347 
"65536/512" 250206 964173 
"65536/1024" 346091 1192276 
"65536/2048" 449918 1407949 
"65536/4096" 451253 1258179 
"65536/8192" 449233 1422683 
"65536/16384" 455392 1233826 
"131072/64" 179500 213865 
"131072/128" 184670 317397 
"131072/256" 200779 753421 
"131072/512" 285057 914750 
"131072/1024" 316680 1093341 
"131072/2048" 428139 1273656 
"131072/4096" 392608 1235548 
"131072/8192" 411936 1412064 
"131072/16384" 400367 1238585 
"262144/64" 163732 223641 
"262144/128" 181629 288290 
"262144/256" 213314 755507 
"262144/512" 300624 964942 
"262144/1024" 354168 1084292 
"262144/2048" 434756 1131975 
"262144/4096" 409426 1093852 
"262144/8192" 404756 951821 
"262144/16384" 390698 1104848 
"524288/64" 171061 257111 
"524288/128" 186071 280608 
"524288/256" 207089 683382 
"524288/512" 299873 626189 
"524288/1024" 339842 962996 
"524288/2048" 394222 1035340 
"524288/4096" 406863 1153267 
"524288/8192" 413689 1058851 
"524288/16384" 430541 1041082 
