Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 28044 27515 
"64/8" 47579 42583 
"64/16" 73147 71093 
"64/32" 84525 120493 
"64/64" 160854 165414 
"128/4" 30253 27491 
"128/8" 54912 49845 
"128/16" 68928 73991 
"128/32" 118415 142716 
"128/64" 170662 200939 
"128/128" 196023 272411 
"256/4" 16069 14809 
"256/8" 57435 48485 
"256/16" 84996 106884 
"256/32" 128579 128965 
"256/64" 168197 238991 
"256/128" 208622 391475 
"256/256" 274627 453858 
"512/4" 17770 18621 
"512/8" 29135 21631 
"512/16" 96582 115469 
"512/32" 135660 157246 
"512/64" 169817 247326 
"512/128" 203498 286033 
"512/256" 254477 467168 
"512/512" 439445 677267 
"1024/4" 22215 29840 
"1024/8" 47208 55211 
"1024/16" 92872 59935 
"1024/32" 141552 190651 
"1024/64" 193285 289578 
"1024/128" 240873 503701 
"1024/256" 254655 616490 
"1024/512" 378117 782923 
"1024/1024" 495393 894448 
"2048/4" 16078 25394 
"2048/8" 55869 42021 
"2048/16" 78747 61302 
"2048/32" 146864 188405 
"2048/64" 175269 285201 
"2048/128" 239588 544811 
"2048/256" 277732 742572 
"2048/512" 499885 826447 
"2048/1024" 560964 907757 
"2048/2048" 637197 1289623 
"4096/4" 27019 23891 
"4096/8" 43760 54700 
"4096/16" 75222 92538 
"4096/32" 106059 127868 
"4096/64" 202361 189875 
"4096/128" 238653 239028 
"4096/256" 279858 768646 
"4096/512" 403664 871861 
"4096/1024" 531131 1153878 
"4096/2048" 819540 1270436 
"4096/4096" 306768 1471785 
"8192/4" 23953 18444 
"8192/8" 23864 52370 
"8192/16" 54071 95717 
"8192/32" 103345 172140 
"8192/64" 192278 136610 
"8192/128" 245292 370444 
"8192/256" 219412 735301 
"8192/512" 519070 892673 
"8192/1024" 581699 1070570 
"8192/2048" 675962 1316424 
"8192/4096" 828908 1239895 
"8192/8192" 828308 1249953 
"16384/4" 10068 7902 
"16384/8" 19542 39515 
"16384/16" 34710 103827 
"16384/32" 87090 162896 
"16384/64" 146802 231406 
"16384/128" 170345 325893 
"16384/256" 280798 753182 
"16384/512" 416717 890001 
"16384/1024" 533682 1038940 
"16384/2048" 598545 1231227 
"16384/4096" 614852 1234744 
"16384/8192" 886247 1420357 
"16384/16384" 663451 1587135 
"32768/64" 84706 261486 
"32768/128" 216220 434387 
"32768/256" 268742 718925 
"32768/512" 465554 845909 
"32768/1024" 573920 946094 
"32768/2048" 669898 1169277 
"32768/4096" 832651 1400283 
"32768/8192" 828520 1670831 
"32768/16384" 991467 1721110 
"65536/64" 86353 227907 
"65536/128" 166628 410475 
"65536/256" 262866 744448 
"65536/512" 392071 956926 
"65536/1024" 408136 1131534 
"65536/2048" 739842 1333816 
"65536/4096" 778003 1433830 
"65536/8192" 882544 1459726 
"65536/16384" 971726 1739317 
"131072/64" 100372 215051 
"131072/128" 149253 333963 
"131072/256" 219364 495604 
"131072/512" 322034 621663 
"131072/1024" 378159 1298487 
"131072/2048" 686064 1509332 
"131072/4096" 723683 1574627 
"131072/8192" 722897 2169887 
"131072/16384" 694999 1932420 
"262144/64" 107180 124781 
"262144/128" 158478 266626 
"262144/256" 240179 315618 
"262144/512" 325885 642944 
"262144/1024" 457245 1371290 
"262144/2048" 632964 1639239 
"262144/4096" 666849 1887872 
"262144/8192" 672041 1932018 
"262144/16384" 751619 2280501 
"524288/64" 111775 120414 
"524288/128" 145568 221025 
"524288/256" 182654 387508 
"524288/512" 342821 540165 
"524288/1024" 362102 1038372 
"524288/2048" 621965 1496904 
"524288/4096" 575914 1308770 
"524288/8192" 627725 1796633 
"524288/16384" 801341 2318720 
