Mode 6-HDD-1-NVMe/base-5 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 12302 13701 
"64/8" 23615 25898 
"64/16" 40458 40952 
"64/32" 46677 57043 
"64/64" 93019 143104 
"128/4" 14181 16460 
"128/8" 26287 26027 
"128/16" 40632 38741 
"128/32" 56716 66561 
"128/64" 88158 100072 
"128/128" 148314 231828 
"256/4" 12378 7837 
"256/8" 29813 25902 
"256/16" 45730 47189 
"256/32" 95124 88215 
"256/64" 111259 146790 
"256/128" 140748 198004 
"256/256" 205942 400529 
"512/4" 11204 11384 
"512/8" 15128 17439 
"512/16" 60944 47037 
"512/32" 73860 115805 
"512/64" 100968 174325 
"512/128" 143176 273084 
"512/256" 198992 375643 
"512/512" 305482 657969 
"1024/4" 14127 14801 
"1024/8" 23501 30476 
"1024/16" 52467 39498 
"1024/32" 82594 55516 
"1024/64" 107697 186285 
"1024/128" 150474 273568 
"1024/256" 195868 436134 
"1024/512" 345149 599118 
"1024/1024" 431143 1084640 
"2048/4" 15540 15278 
"2048/8" 23056 35046 
"2048/16" 46463 44270 
"2048/32" 91760 71115 
"2048/64" 119618 204762 
"2048/128" 153718 377383 
"2048/256" 195044 523144 
"2048/512" 322932 774858 
"2048/1024" 378698 934317 
"2048/2048" 609007 1149954 
"4096/4" 16037 17005 
"4096/8" 25995 26199 
"4096/16" 48977 56755 
"4096/32" 80367 79725 
"4096/64" 124430 140163 
"4096/128" 160550 359864 
"4096/256" 199009 500844 
"4096/512" 339015 723155 
"4096/1024" 397288 928751 
"4096/2048" 603950 1113060 
"4096/4096" 598043 1167602 
"8192/4" 15511 18255 
"8192/8" 20482 30197 
"8192/16" 63567 61724 
"8192/32" 82184 105770 
"8192/64" 118760 178680 
"8192/128" 157175 269252 
"8192/256" 214488 589565 
"8192/512" 304332 745139 
"8192/1024" 433070 959935 
"8192/2048" 541722 957581 
"8192/4096" 529060 1413178 
"8192/8192" 547523 1320471 
"16384/4" 15969 17433 
"16384/8" 21426 36269 
"16384/16" 88496 62673 
"16384/32" 103038 115622 
"16384/64" 109167 245137 
"16384/128" 165543 278596 
"16384/256" 204938 624894 
"16384/512" 329081 936758 
"16384/1024" 423009 1195811 
"16384/2048" 558836 1430797 
"16384/4096" 532709 1403446 
"16384/8192" 622589 1427320 
"16384/16384" 599072 1292331 
"32768/64" 129108 249426 
"32768/128" 152829 294028 
"32768/256" 195267 491782 
"32768/512" 262121 904216 
"32768/1024" 428345 1196215 
"32768/2048" 659316 1198280 
"32768/4096" 552861 1534810 
"32768/8192" 515026 1311555 
"32768/16384" 572868 1450944 
"65536/64" 158933 235391 
"65536/128" 177228 336492 
"65536/256" 184457 483553 
"65536/512" 276976 724146 
"65536/1024" 356631 1124751 
"65536/2048" 466980 1265273 
"65536/4096" 496435 1206902 
"65536/8192" 432045 1163451 
"65536/16384" 450871 1481807 
"131072/64" 157476 259686 
"131072/128" 179811 339597 
"131072/256" 228430 655297 
"131072/512" 267105 625477 
"131072/1024" 344724 1143426 
"131072/2048" 471175 1247792 
"131072/4096" 485847 1393982 
"131072/8192" 428317 1261388 
"131072/16384" 484313 1339561 
"262144/64" 172439 254701 
"262144/128" 174090 305729 
"262144/256" 206544 747172 
"262144/512" 283794 935887 
"262144/1024" 327530 1039103 
"262144/2048" 391246 1317519 
"262144/4096" 444346 1282449 
"262144/8192" 428723 1264319 
"262144/16384" 438276 1293229 
"524288/64" 168569 241710 
"524288/128" 186112 287071 
"524288/256" 203011 586779 
"524288/512" 292139 708127 
"524288/1024" 337059 848066 
"524288/2048" 410273 952117 
"524288/4096" 403386 1166658 
"524288/8192" 390206 1102362 
"524288/16384" 412028 1052569 
